"x","ale","Dataset","Target","Feature","Model"
1.5,-0.129917549863392,"Forestfires","area","X1","sebart"
2.0000005,-0.282919041572056,"Forestfires","area","X1","sebart"
2.5000005,-0.990808406642435,"Forestfires","area","X1","sebart"
3.5,-0.736116276970875,"Forestfires","area","X1","sebart"
4.0000005,0.205254158586718,"Forestfires","area","X1","sebart"
5.0000005,-0.0354480915577732,"Forestfires","area","X1","sebart"
6.0000005,-0.206052640049912,"Forestfires","area","X1","sebart"
6.5000005,-0.0778480852969567,"Forestfires","area","X1","sebart"
7.5,0.60109748838059,"Forestfires","area","X1","sebart"
8.5,2.14243692922075,"Forestfires","area","X1","sebart"
1.5,-6.46628592235052,"Forestfires","area","X1","bart"
2.0000005,-7.67137790255515,"Forestfires","area","X1","bart"
2.5000005,-7.00356448503128,"Forestfires","area","X1","bart"
3.5,-2.80425334125798,"Forestfires","area","X1","bart"
4.0000005,0.727244384991449,"Forestfires","area","X1","bart"
5.0000005,3.37132350460643,"Forestfires","area","X1","bart"
6.0000005,6.01540262422142,"Forestfires","area","X1","bart"
6.5000005,4.44149132899318,"Forestfires","area","X1","bart"
7.5,3.30105711435069,"Forestfires","area","X1","bart"
8.5,4.80993197097456,"Forestfires","area","X1","bart"
2.5,-0.239302530944529,"Forestfires","area","X2","sebart"
3.0000005,-0.0516551367187053,"Forestfires","area","X2","sebart"
3.5000005,0.107782933193004,"Forestfires","area","X2","sebart"
4.0000005,0.273900185768016,"Forestfires","area","X2","sebart"
4.0000015,0.229388818399752,"Forestfires","area","X2","sebart"
4.0000025,0.229388818399752,"Forestfires","area","X2","sebart"
4.5000015,-0.00294753109519741,"Forestfires","area","X2","sebart"
5.0000005,-0.276368977559844,"Forestfires","area","X2","sebart"
5.5000005,-0.177052532077999,"Forestfires","area","X2","sebart"
7.5,-0.875932159348367,"Forestfires","area","X2","sebart"
2.5,2.31334547960447,"Forestfires","area","X2","bart"
3.0000005,-7.04037539584453,"Forestfires","area","X2","bart"
3.5000005,-2.27619651057298,"Forestfires","area","X2","bart"
4.0000005,2.48798237469857,"Forestfires","area","X2","bart"
4.0000015,2.48798237469857,"Forestfires","area","X2","bart"
4.0000025,2.48798237469857,"Forestfires","area","X2","bart"
4.5000015,0.428633670572897,"Forestfires","area","X2","bart"
5.0000005,-1.63071503355277,"Forestfires","area","X2","bart"
5.5000005,-0.20434170152219,"Forestfires","area","X2","bart"
7.5,-33.5009058116812,"Forestfires","area","X2","bart"
52.3,1.11391368603904,"Forestfires","area","X3","sebart"
87.8,0.237708891611052,"Forestfires","area","X3","sebart"
90.2,0.0823021839387171,"Forestfires","area","X3","sebart"
90.95,0.164243102918108,"Forestfires","area","X3","sebart"
91.4,0.165116691844091,"Forestfires","area","X3","sebart"
91.85,-0.024893003089112,"Forestfires","area","X3","sebart"
92.3,-0.022147734763602,"Forestfires","area","X3","sebart"
92.9,-0.000864893318260784,"Forestfires","area","X3","sebart"
93.8,-0.458921539832665,"Forestfires","area","X3","sebart"
95.25,-0.651326248078182,"Forestfires","area","X3","sebart"
52.3,5.90892907462662,"Forestfires","area","X3","bart"
87.8,2.19308707682187,"Forestfires","area","X3","bart"
90.2,0.52583731486889,"Forestfires","area","X3","bart"
90.95,0.283759697147038,"Forestfires","area","X3","bart"
91.4,-0.131607982306805,"Forestfires","area","X3","bart"
