"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Repeat","Fold","Dataset","Target"
"sebart",0.0883291659966484,0.0859113353402761,0.0767841361821239,126.242,0.805523590333717,0.203680088514605,0.782508630609896,0.18936823528728,0.888377445339471,0.257598642291732,0.874568469505178,0.239612074717253,0.931530494821634,0.300283910160291,0.918296892980437,0.286231998349432,1,1,"bikesharing","windspeed"
"bart",0.0871951502418952,0.108195794832094,0.0965357691204034,31.8,0.277905638665132,0.0401433862770979,0.272151898734177,0.0395819040674289,0.332566168009206,0.0509745898448389,0.32566168009206,0.0504114831534116,0.383774453394707,0.0601153197409456,0.378020713463751,0.059550241514387,1,1,"bikesharing","windspeed"
"sebart",0.0865489233226566,0.0871811426047157,0.0777378139954912,119.8,0.827963176064442,0.208424854761656,0.804948216340621,0.191055908335368,0.909090909090909,0.261422137950274,0.89355581127733,0.244516787553324,0.943037974683544,0.303515090810289,0.933831990794016,0.289000432983459,1,2,"bikesharing","windspeed"
"bart",0.0857738079814818,0.110462274706671,0.0978208980582764,35.022,0.268699654775604,0.0405075912714432,0.262370540851554,0.0399042164025091,0.326812428078251,0.0514299591052951,0.323935558112773,0.050901794079363,0.366513233601841,0.0606185887209735,0.361910241657077,0.06006885086098,1,2,"bikesharing","windspeed"
"sebart",0.0880822704029525,0.08718013769642,0.076803113864239,124.368,0.839470655926352,0.210209582999151,0.811277330264672,0.191244582185491,0.899884925201381,0.262140034406202,0.886651323360184,0.244269259917937,0.930955120828539,0.300782949678023,0.923475258918297,0.286527663865351,1,3,"bikesharing","windspeed"
"bart",0.0875150631577429,0.109671570155635,0.096192048073385,28.763,0.255466052934407,0.0402450582486554,0.251438434982739,0.0396575527372313,0.314729574223245,0.0511561171036828,0.314729574223245,0.0505613811069857,0.356156501726122,0.060321054527342,0.350402761795167,0.0597266905301246,1,3,"bikesharing","windspeed"
"sebart",0.0873650067397343,0.0853179814768102,0.0761107991218805,118.384,0.819332566168009,0.20642235827783,0.796892980437284,0.19060548348851,0.898158803222094,0.26036509528542,0.88722669735328,0.242170430426242,0.935558112773303,0.302238401288489,0.929228998849252,0.287265975055503,1,4,"bikesharing","windspeed"
"bart",0.0855621158840881,0.107819168667747,0.0954895778889636,32.5569999999999,0.260644418872267,0.0409932938165005,0.25891829689298,0.0402638870437999,0.327387802071346,0.0521452051753846,0.322784810126582,0.0515023216465003,0.372266973532796,0.06144726805853,0.36536248561565,0.0608416541657531,1,4,"bikesharing","windspeed"
"sebart",0.0904122280629299,0.0855715081123325,0.0765833860676326,123.167,0.806674338319908,0.207749900384745,0.778481012658228,0.191985956806268,0.882623705408516,0.260839569312225,0.868814729574223,0.242866577164046,0.925776754890679,0.302950223538608,0.913693901035673,0.287985007148586,1,5,"bikesharing","windspeed"
"bart",0.0889239760145427,0.108509273342429,0.0969399628741605,34.003,0.241657077100115,0.0402228835265645,0.238780207134638,0.0396379632958025,0.311277330264672,0.0511743660423917,0.305523590333717,0.0505897683539057,0.361910241657077,0.0603819675358447,0.356731875719217,0.059793157055409,1,5,"bikesharing","windspeed"
"sebart",0.0909797919755618,0.0858231229009189,0.0770511648376893,121.321,0.815304948216341,0.208180237181946,0.806674338319908,0.192537897967012,0.885500575373993,0.261670091653009,0.878596087456847,0.243986605990864,0.93210586881473,0.304042139853657,0.919447640966628,0.289430106008299,1,6,"bikesharing","windspeed"
"bart",0.089560354549835,0.108292848751953,0.0966193161738565,28.954,0.260069044879171,0.0393640093411099,0.256616800920598,0.0388032952071245,0.314729574223245,0.0502384733978141,0.314729574223245,0.0496653404646082,0.369965477560414,0.0593876204860008,0.36536248561565,0.0588131422615926,1,6,"bikesharing","windspeed"
"sebart",0.0892119040584604,0.0856723434301122,0.0766624952044484,5838.045,0.813578826237054,0.206573737838686,0.795742232451093,0.19202308412084,0.882623705408516,0.260232266305169,0.872842347525892,0.242398298287826,0.934407364787112,0.302820182085527,0.920598388952819,0.288130747056294,1,7,"bikesharing","windspeed"
"bart",0.0892131039893338,0.107547889140663,0.0960425157854583,258.34,0.244533947065593,0.0401970489626877,0.24108170310702,0.0394780926304451,0.310701956271577,0.0512974935780489,0.302071346375144,0.0506129270971897,0.344073647871116,0.0605894006281572,0.344649021864212,0.0599656331905253,1,7,"bikesharing","windspeed"
"sebart",0.0877218505523559,0.0845267124722493,0.0749237125509694,120.312,0.831415420023015,0.214216452790273,0.799769850402762,0.193214749915728,0.89873417721519,0.264829388563425,0.880322209436133,0.248020551894085,0.935558112773303,0.303661859257128,0.929228998849252,0.28912674907882,1,8,"bikesharing","windspeed"
"bart",0.0854538341663501,0.106505307665799,0.0941750458075622,31.3270000000002,0.249712313003452,0.0403434847015598,0.250863060989643,0.0397637616940749,0.310701956271577,0.0512429515463795,0.30897583429229,0.0506490582507407,0.361334867663982,0.0603987351660283,0.357307249712313,0.05983537604906,1,8,"bikesharing","windspeed"
"sebart",0.0869955437695886,0.0843022271836206,0.0755120822970574,114.809999999999,0.810701956271576,0.204750959886553,0.792865362485616,0.190522758075577,0.892980437284235,0.259908113354488,0.878596087456847,0.241882880589555,0.93210586881473,0.303505171420767,0.918872266973533,0.289013445734677,1,9,"bikesharing","windspeed"
"bart",0.0869741699194937,0.106869093223392,0.0947263804642401,27.9460000000008,0.253739930955121,0.0387741865039934,0.255466052934407,0.0381654784755579,0.30897583429229,0.049500155685638,0.304948216340621,0.0489184793042642,0.357882623705409,0.0585713015999179,0.35385500575374,0.0580109391654936,1,9,"bikesharing","windspeed"
"sebart",0.0939714373728605,0.0869986350173034,0.0781091961946349,117.416,0.799078871617732,0.205661581502998,0.781807714450201,0.190477247431133,0.8664363845711,0.258482240336584,0.853770869314911,0.240700684449562,0.910189982728843,0.30047455865506,0.903857225100748,0.286117734628961,1,10,"bikesharing","windspeed"
"bart",0.092951471805665,0.108613821283046,0.0970700247982665,33.2539999999999,0.260218767990789,0.0415736791504429,0.25503742084053,0.04100777497767,0.322394933793897,0.0526520845472794,0.317789291882556,0.0520908859396062,0.369602763385147,0.061931773243305,0.36384571099597,0.0613600102695642,1,10,"bikesharing","windspeed"
