"Repeat","Fold","Observation","Observed","Dataset","Target"
1,1,1,0,"bikesharing","windspeed"
1,1,2,0.2985,"bikesharing","windspeed"
1,1,3,0.2985,"bikesharing","windspeed"
1,1,4,0.2985,"bikesharing","windspeed"
1,1,5,0.1343,"bikesharing","windspeed"
1,1,6,0.2836,"bikesharing","windspeed"
1,1,7,0.3881,"bikesharing","windspeed"
1,1,8,0.1045,"bikesharing","windspeed"
1,1,9,0.3284,"bikesharing","windspeed"
1,1,10,0,"bikesharing","windspeed"
1,1,11,0.3284,"bikesharing","windspeed"
1,1,12,0,"bikesharing","windspeed"
1,1,13,0,"bikesharing","windspeed"
1,1,14,0,"bikesharing","windspeed"
1,1,15,0.1343,"bikesharing","windspeed"
1,1,16,0.2239,"bikesharing","windspeed"
1,1,17,0.0896,"bikesharing","windspeed"
1,1,18,0.1642,"bikesharing","windspeed"
1,1,19,0.2537,"bikesharing","windspeed"
1,1,20,0.4478,"bikesharing","windspeed"
1,1,21,0.2985,"bikesharing","windspeed"
1,1,22,0.2985,"bikesharing","windspeed"
1,1,23,0.2537,"bikesharing","windspeed"
1,1,24,0.3284,"bikesharing","windspeed"
1,1,25,0,"bikesharing","windspeed"
1,1,26,0.0896,"bikesharing","windspeed"
1,1,27,0.2836,"bikesharing","windspeed"
1,1,28,0.4179,"bikesharing","windspeed"
1,1,29,0.4627,"bikesharing","windspeed"
1,1,30,0.1343,"bikesharing","windspeed"
1,1,31,0.3582,"bikesharing","windspeed"
1,1,32,0.194,"bikesharing","windspeed"
1,1,33,0,"bikesharing","windspeed"
1,1,34,0.194,"bikesharing","windspeed"
1,1,35,0.2836,"bikesharing","windspeed"
1,1,36,0.1045,"bikesharing","windspeed"
1,1,37,0,"bikesharing","windspeed"
1,1,38,0.3284,"bikesharing","windspeed"
1,1,39,0.0896,"bikesharing","windspeed"
1,1,40,0.2239,"bikesharing","windspeed"
1,1,41,0.1045,"bikesharing","windspeed"
1,1,42,0.1642,"bikesharing","windspeed"
1,1,43,0.194,"bikesharing","windspeed"
1,1,44,0.1343,"bikesharing","windspeed"
1,1,45,0.0896,"bikesharing","windspeed"
1,1,46,0,"bikesharing","windspeed"
1,1,47,0.194,"bikesharing","windspeed"
1,1,48,0.1045,"bikesharing","windspeed"
1,1,49,0.194,"bikesharing","windspeed"
1,1,50,0.1343,"bikesharing","windspeed"
1,1,51,0.1343,"bikesharing","windspeed"
1,1,52,0.2239,"bikesharing","windspeed"
1,1,53,0.3881,"bikesharing","windspeed"
1,1,54,0.5522,"bikesharing","windspeed"
1,1,55,0.2537,"bikesharing","windspeed"
1,1,56,0.1045,"bikesharing","windspeed"
1,1,57,0.1343,"bikesharing","windspeed"
1,1,58,0.1642,"bikesharing","windspeed"
1,1,59,0.1343,"bikesharing","windspeed"
1,1,60,0.1642,"bikesharing","windspeed"
1,1,61,0.2836,"bikesharing","windspeed"
1,1,62,0.2537,"bikesharing","windspeed"
1,1,63,0.2239,"bikesharing","windspeed"
1,1,64,0.1045,"bikesharing","windspeed"
1,1,65,0,"bikesharing","windspeed"
1,1,66,0.1642,"bikesharing","windspeed"
1,1,67,0,"bikesharing","windspeed"
1,1,68,0,"bikesharing","windspeed"
1,1,69,0,"bikesharing","windspeed"
1,1,70,0.3284,"bikesharing","windspeed"
1,1,71,0.1045,"bikesharing","windspeed"
1,1,72,0.1642,"bikesharing","windspeed"
1,1,73,0.2239,"bikesharing","windspeed"
1,1,74,0.2836,"bikesharing","windspeed"
1,1,75,0.194,"bikesharing","windspeed"
1,1,76,0.1045,"bikesharing","windspeed"
1,1,77,0,"bikesharing","windspeed"
1,1,78,0.0896,"bikesharing","windspeed"
1,1,79,0.2239,"bikesharing","windspeed"
