"Model","Repeat","Fold","Sample","Dataset","Target"
"sebart",1,1,0.188280808080808,"bikesharing","windspeed"
"sebart",1,1,0.292159595959596,"bikesharing","windspeed"
"sebart",1,1,0.154672727272727,"bikesharing","windspeed"
"sebart",1,1,0.0859292929292929,"bikesharing","windspeed"
"sebart",1,1,0.12030101010101,"bikesharing","windspeed"
"sebart",1,1,0.162991919191919,"bikesharing","windspeed"
"sebart",1,1,0.223416161616162,"bikesharing","windspeed"
"sebart",1,1,0.0957707070707071,"bikesharing","windspeed"
"sebart",1,1,0.300010101010101,"bikesharing","windspeed"
"sebart",1,1,0.24060202020202,"bikesharing","windspeed"
"sebart",1,1,0.498389898989899,"bikesharing","windspeed"
"sebart",1,1,0.316923232323232,"bikesharing","windspeed"
"sebart",1,1,0.24919494949495,"bikesharing","windspeed"
"sebart",1,1,0.0859292929292929,"bikesharing","windspeed"
"sebart",1,1,0.24919494949495,"bikesharing","windspeed"
"sebart",1,1,0.281183838383838,"bikesharing","windspeed"
"sebart",1,1,0.0859292929292929,"bikesharing","windspeed"
"sebart",1,1,0.281183838383838,"bikesharing","windspeed"
"sebart",1,1,0.36090303030303,"bikesharing","windspeed"
"sebart",1,1,0.24919494949495,"bikesharing","windspeed"
"sebart",1,1,0.286610101010101,"bikesharing","windspeed"
"sebart",1,1,0.232009090909091,"bikesharing","windspeed"
"sebart",1,1,0.409772727272727,"bikesharing","windspeed"
"sebart",1,1,0.272727272727273,"bikesharing","windspeed"
"sebart",1,1,0,"bikesharing","windspeed"
"sebart",1,1,0.222087878787879,"bikesharing","windspeed"
"sebart",1,1,0.154535353535354,"bikesharing","windspeed"
"sebart",1,1,0.189044444444444,"bikesharing","windspeed"
"sebart",1,1,0.179852525252525,"bikesharing","windspeed"
"sebart",1,1,0.286610101010101,"bikesharing","windspeed"
"sebart",1,1,0.137622222222222,"bikesharing","windspeed"
"sebart",1,1,0.0760242424242424,"bikesharing","windspeed"
"sebart",1,1,0.180451515151515,"bikesharing","windspeed"
"sebart",1,1,0,"bikesharing","windspeed"
"sebart",1,1,0.189044444444444,"bikesharing","windspeed"
"sebart",1,1,0,"bikesharing","windspeed"
"sebart",1,1,0.196718181818182,"bikesharing","windspeed"
"sebart",1,1,0.286610101010101,"bikesharing","windspeed"
"sebart",1,1,0,"bikesharing","windspeed"
"sebart",1,1,0.180451515151515,"bikesharing","windspeed"
"sebart",1,1,0.378088888888889,"bikesharing","windspeed"
"sebart",1,1,0.247378787878788,"bikesharing","windspeed"
"sebart",1,1,0.0915565656565657,"bikesharing","windspeed"
"sebart",1,1,0.232009090909091,"bikesharing","windspeed"
"sebart",1,1,0.206230303030303,"bikesharing","windspeed"
"sebart",1,1,0.300010101010101,"bikesharing","windspeed"
