"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Repeat","Fold","Dataset","Target"
"bart",0.103158316235318,0.0273012514597189,0.00939665727585129,0.721,0.730769230769231,0.0449340821598008,0.807692307692308,0.044023647307873,0.826923076923077,0.0577364683634739,0.826923076923077,0.0569945850153172,0.884615384615385,0.069427940279828,0.865384615384615,0.0684565802236931,1,1,"forestfires","area"
"sebart",0.0199215557227727,0.00798988105670126,0.00805124520390921,4.189,0.788461538461538,0.0152981510410189,0.730769230769231,0.0085302215151689,0.903846153846154,0.0257014386552174,0.788461538461538,0.0154279429150171,0.903846153846154,0.0367333979407015,0.903846153846154,0.0259908145322138,1,1,"forestfires","area"
"bart_bc",0.165273072016546,0.0667811223887281,0.0179260409423778,2.058,0.807692307692308,0.104234453979396,0.788461538461538,0.102948163379474,0.807692307692308,0.119871251966356,0.807692307692308,0.118930142862636,0.826923076923077,0.133016280071137,0.826923076923077,0.13080374582944,1,1,"forestfires","area"
"sblm",0.0198769000571353,0.0079497105882411,0.00795596329873851,2.977,0.788461538461538,0.0149696758398048,0.692307692307692,0.00823777905201395,0.884615384615385,0.0256575744171804,0.788461538461538,0.0151177189678319,0.903846153846154,0.035954681033187,0.884615384615385,0.0257542334693233,1,1,"forestfires","area"
"bart",0.0299731218754951,0.0132037344890273,0.00720603643639595,0.698999999999998,0.846153846153846,0.0570938840037948,0.846153846153846,0.0563116909517279,0.884615384615385,0.0737974006839893,0.884615384615385,0.0726898580392158,0.884615384615385,0.0878959051215338,0.903846153846154,0.0871447493339838,1,2,"forestfires","area"
"sebart",0.00975268477295505,0.00321543090477817,0.00310544697154894,4.252,0.961538461538462,0.0189546687671986,0.903846153846154,0.00983218431469321,0.980769230769231,0.0304883369999473,0.961538461538462,0.01908800734018,0.980769230769231,0.0437102021625187,0.980769230769231,0.0308895293425564,1,2,"forestfires","area"
"bart_bc",0.079139650095816,0.041460750209438,0.0169403868385567,2.016,0.884615384615385,0.118557165313803,0.865384615384615,0.11600232292894,0.884615384615385,0.135798097557989,0.884615384615385,0.13469897301918,0.884615384615385,0.149504320811655,0.884615384615385,0.148486259581835,1,2,"forestfires","area"
"sblm",0.00884992620866875,0.00309862759194922,0.00302586219111054,2.852,0.980769230769231,0.0178845553729654,0.903846153846154,0.00905591629385089,0.980769230769231,0.0286986752162017,0.980769230769231,0.0180207213751481,0.980769230769231,0.040404167291728,0.980769230769231,0.0288094776614764,1,2,"forestfires","area"
"bart",0.035410492546309,0.0159526649630457,0.0105607740461276,0.683999999999997,0.807692307692308,0.0487191760001145,0.807692307692308,0.0478522569428832,0.884615384615385,0.0625501845674533,0.884615384615385,0.0615865728437565,0.923076923076923,0.0744528986421749,0.923076923076923,0.0734933620619856,1,3,"forestfires","area"
"sebart",0.0227931441647042,0.00675634879345243,0.00668490656806412,4.236,0.903846153846154,0.0178098362896317,0.884615384615385,0.00968444703777109,0.923076923076923,0.0294180380889935,0.923076923076923,0.0179004445922601,0.961538461538462,0.0405433388452209,0.923076923076923,0.0295849363907008,1,3,"forestfires","area"
"bart_bc",0.133711967270146,0.0695112420243048,0.0203806670693306,1.986,0.769230769230769,0.123965466995757,0.769230769230769,0.121695948554006,0.769230769230769,0.14223593622112,0.769230769230769,0.140532594158385,0.788461538461538,0.157928044807902,0.769230769230769,0.154846129868428,1,3,"forestfires","area"
"sblm",0.022951708317106,0.00670665274518832,0.00671248303367036,2.883,0.903846153846154,0.0173449718469088,0.865384615384615,0.00926062150079552,0.942307692307692,0.028095504525857,0.903846153846154,0.0174327583133117,0.961538461538462,0.0385434136185113,0.942307692307692,0.0285600695317715,1,3,"forestfires","area"
"bart",0.0513780422946177,0.0212685819581975,0.0169132922273717,0.693000000000012,0.634615384615385,0.0409622715941152,0.673076923076923,0.0396266476601665,0.730769230769231,0.0522139916111531,0.769230769230769,0.0514535184667627,0.826923076923077,0.0624118410577966,0.788461538461538,0.0615897863790574,1,4,"forestfires","area"
"sebart",0.0453871448296571,0.0153381487525602,0.0153624355093878,4.173,0.769230769230769,0.0138851815671973,0.769230769230769,0.00832541509680229,0.807692307692308,0.0227310269714518,0.769230769230769,0.0139733458047785,0.865384615384615,0.0334184082548875,0.807692307692308,0.0231954754570354,1,4,"forestfires","area"
"bart_bc",0.104071105479264,0.047314180693431,0.0241727410414644,2.03,0.846153846153846,0.122963039197879,0.807692307692308,0.113378194343864,0.865384615384615,0.14137254898119,0.865384615384615,0.139278176151897,0.884615384615385,0.158760053813202,0.865384615384615,0.153594592740753,1,4,"forestfires","area"
"sblm",0.0452180744210193,0.0152866342527998,0.0153110788486162,3.004,0.788461538461538,0.0138201976562126,0.75,0.00844477247295259,0.826923076923077,0.0237867299361194,0.788461538461538,0.0138878111416967,0.865384615384615,0.033476150236964,0.826923076923077,0.0240483519476903,1,4,"forestfires","area"
"bart",0.112386796113961,0.0340259496786791,0.0249471245001526,0.682000000000002,0.634615384615385,0.0271021601574263,0.673076923076923,0.026084123262249,0.711538461538462,0.0356860229555664,0.711538461538462,0.034518298786235,0.769230769230769,0.0434050612503972,0.75,0.0423633697115834,1,5,"forestfires","area"
"sebart",0.100168568567338,0.0238949979334411,0.0239270628018015,4.125,0.826923076923077,0.0153590895514551,0.75,0.00886034035716849,0.846153846153846,0.0251579077928497,0.826923076923077,0.0155339912980814,0.884615384615385,0.0363772971291031,0.846153846153846,0.0254831612982213,1,5,"forestfires","area"
"bart_bc",0.146181702688687,0.0545713302078872,0.0327558175766619,1.932,0.865384615384615,0.116378892212592,0.865384615384615,0.115136898316168,0.865384615384615,0.132335736839973,0.865384615384615,0.13153747885062,0.865384615384615,0.145127047036992,0.865384615384615,0.144137854474144,1,5,"forestfires","area"
"sblm",0.100230120120926,0.0238858319556762,0.0239452896011986,2.83399999999999,0.807692307692308,0.0142267222580821,0.730769230769231,0.00822609333023326,0.826923076923077,0.0243578102241085,0.807692307692308,0.0142983476734793,0.923076923076923,0.0352094409464352,0.826923076923077,0.024721047285899,1,5,"forestfires","area"
"bart",0.0327302070749829,0.0129505406854238,0.0103402809618012,0.680000000000007,0.807692307692308,0.0459401889939659,0.788461538461538,0.0449849961259516,0.846153846153846,0.0590946921358563,0.846153846153846,0.0582835111292794,0.923076923076923,0.0708632608115811,0.923076923076923,0.0700605761696065,1,6,"forestfires","area"
"sebart",0.0267599448700694,0.00766142792349783,0.00761242895869516,4.155,0.903846153846154,0.0180770164945205,0.826923076923077,0.00963864463552777,0.923076923076923,0.0304245331905209,0.903846153846154,0.0182896822069386,0.961538461538462,0.0442540778651024,0.923076923076923,0.0308007238606593,1,6,"forestfires","area"
"bart_bc",0.103540139704928,0.0524245482673682,0.0190282307382922,2.056,0.807692307692308,0.11799645322684,0.807692307692308,0.113160560993791,0.865384615384615,0.136786366470827,0.826923076923077,0.133574615412353,0.865384615384615,0.150458448241134,0.865384615384615,0.148360742176771,1,6,"forestfires","area"
"sblm",0.0263118391446254,0.00753604732119723,0.00754930010106422,2.851,0.884615384615385,0.0156996499234067,0.807692307692308,0.00871773553507682,0.942307692307692,0.0275106298333483,0.884615384615385,0.0158629571657278,0.961538461538462,0.038965657279108,0.942307692307692,0.0279045393963386,1,6,"forestfires","area"
"bart",0.0369000431398731,0.0139314163838099,0.0052278257629059,0.683999999999997,0.846153846153846,0.0427750042117066,0.826923076923077,0.0420676591625704,0.903846153846154,0.0555754883509472,0.884615384615385,0.0547300050767661,0.923076923076923,0.0666390194000009,0.923076923076923,0.0657839733861969,1,7,"forestfires","area"
"sebart",0.00746030997984486,0.00287516273381609,0.00280510725327419,4.25800000000001,0.961538461538462,0.0174774573329815,0.884615384615385,0.00937121316828699,0.980769230769231,0.0288997079857793,0.961538461538462,0.0175881758836179,1,0.0419802426607389,0.980769230769231,0.0291255874980344,1,7,"forestfires","area"
"bart_bc",0.0400169260380346,0.0246850278819154,0.0174269831265376,2.084,0.961538461538462,0.131490204894857,0.961538461538462,0.125024089039867,0.961538461538462,0.14932569070847,0.961538461538462,0.148095703219152,0.961538461538462,0.163549309195971,0.961538461538462,0.162545247745586,1,7,"forestfires","area"
"sblm",0.00688655657160627,0.00279532755982643,0.0027293496663122,2.81100000000001,0.961538461538462,0.016560487540977,0.903846153846154,0.00900836389706042,0.980769230769231,0.0273724902465958,0.961538461538462,0.0167365332274288,1,0.0387825568058478,0.980769230769231,0.0275280778248347,1,7,"forestfires","area"
"bart",0.0328113493537561,0.0150052066522785,0.00972738902226719,0.712999999999965,0.884615384615385,0.066528374692158,0.884615384615385,0.0656593896446718,0.903846153846154,0.0858253544758107,0.903846153846154,0.0850769620519778,0.942307692307692,0.103197535956656,0.942307692307692,0.1021185305695,1,8,"forestfires","area"
"sebart",0.0163619031164776,0.00626899290746035,0.00630870915407976,4.007,0.846153846153846,0.0168290720734251,0.788461538461538,0.00895042975228887,0.903846153846154,0.0269935799637681,0.846153846153846,0.0169943758118926,0.961538461538462,0.0406007682302785,0.903846153846154,0.0272423752792093,1,8,"forestfires","area"
"bart_bc",0.0785594216660837,0.035182442589404,0.0177664026948462,2.10300000000001,0.961538461538462,0.151872718071004,0.961538461538462,0.146196398219825,0.961538461538462,0.171823485800897,0.961538461538462,0.170216464596999,0.961538461538462,0.186838079424284,0.961538461538462,0.185168793122364,1,8,"forestfires","area"
"sblm",0.0164365302370661,0.00627410990898406,0.00625434960485423,2.82599999999996,0.865384615384615,0.0158863023451977,0.769230769230769,0.00859348119781757,0.884615384615385,0.0263221127761953,0.865384615384615,0.0159501791340558,0.903846153846154,0.0371020125770315,0.884615384615385,0.0265312764026075,1,8,"forestfires","area"
