"Repeat","Fold","Observation","Observed","Dataset","Target"
1,1,1,0,"forestfires","area"
1,1,2,0,"forestfires","area"
1,1,3,0,"forestfires","area"
1,1,4,0,"forestfires","area"
1,1,5,0,"forestfires","area"
1,1,6,0,"forestfires","area"
1,1,7,0,"forestfires","area"
1,1,8,0,"forestfires","area"
1,1,9,0,"forestfires","area"
1,1,10,0,"forestfires","area"
1,1,11,1.46,"forestfires","area"
1,1,12,2.01,"forestfires","area"
1,1,13,2.14,"forestfires","area"
1,1,14,4.69,"forestfires","area"
1,1,15,7.04,"forestfires","area"
1,1,16,8.31,"forestfires","area"
1,1,17,13.05,"forestfires","area"
1,1,18,13.99,"forestfires","area"
1,1,19,17.2,"forestfires","area"
1,1,20,26.13,"forestfires","area"
1,1,21,35.88,"forestfires","area"
1,1,22,64.1,"forestfires","area"
1,1,23,71.3,"forestfires","area"
1,1,24,103.39,"forestfires","area"
1,1,25,24.24,"forestfires","area"
1,1,26,0,"forestfires","area"
1,1,27,0,"forestfires","area"
1,1,28,0,"forestfires","area"
1,1,29,0,"forestfires","area"
1,1,30,14.29,"forestfires","area"
1,1,31,6.58,"forestfires","area"
1,1,32,3.93,"forestfires","area"
1,1,33,2.93,"forestfires","area"
1,1,34,1.75,"forestfires","area"
1,1,35,0,"forestfires","area"
1,1,36,18.3,"forestfires","area"
1,1,37,0,"forestfires","area"
1,1,38,16.33,"forestfires","area"
1,1,39,9.96,"forestfires","area"
1,1,40,0,"forestfires","area"
1,1,41,0,"forestfires","area"
1,1,42,3.95,"forestfires","area"
1,1,43,0,"forestfires","area"
1,1,44,0,"forestfires","area"
1,1,45,0,"forestfires","area"
1,1,46,0.72,"forestfires","area"
1,1,47,0,"forestfires","area"
1,1,48,0,"forestfires","area"
1,1,49,6.43,"forestfires","area"
1,1,50,6.84,"forestfires","area"
1,1,51,70.32,"forestfires","area"
1,1,52,0,"forestfires","area"
1,2,1,0,"forestfires","area"
1,2,2,0,"forestfires","area"
1,2,3,0,"forestfires","area"
1,2,4,0,"forestfires","area"
1,2,5,0,"forestfires","area"
