"Model","Repeat","Fold","Sample","Dataset","Target"
"sebart",1,1,52.4645454545455,"forestfires","area"
"sebart",1,1,7.32818181818182,"forestfires","area"
"sebart",1,1,6.23737373737374,"forestfires","area"
"sebart",1,1,66.1115151515151,"forestfires","area"
"sebart",1,1,7.02626262626263,"forestfires","area"
"sebart",1,1,49.1629292929293,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,2.64909090909091,"forestfires","area"
"sebart",1,1,4.56878787878788,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,0.756767676767677,"forestfires","area"
"sebart",1,1,8.9169696969697,"forestfires","area"
"sebart",1,1,5.81909090909091,"forestfires","area"
"sebart",1,1,0.711515151515151,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,1.89717171717172,"forestfires","area"
"sebart",1,1,7.02626262626263,"forestfires","area"
"sebart",1,1,1.3479797979798,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,6.23737373737374,"forestfires","area"
"sebart",1,1,0.522020202020202,"forestfires","area"
"sebart",1,1,9.42212121212122,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,28.4463636363636,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,10.2593939393939,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,2.32636363636364,"forestfires","area"
"sebart",1,1,0.711515151515151,"forestfires","area"
"sebart",1,1,1.63929292929293,"forestfires","area"
"sebart",1,1,44.0711111111111,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,1.59212121212121,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,3.66686868686869,"forestfires","area"
"sebart",1,1,4.08030303030303,"forestfires","area"
"sebart",1,1,3.28080808080808,"forestfires","area"
"sebart",1,1,1.11555555555556,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,31.1543434343435,"forestfires","area"
"sebart",1,1,7.88282828282829,"forestfires","area"
"sebart",1,1,6.23737373737374,"forestfires","area"
"sebart",1,1,6.23737373737374,"forestfires","area"
"sebart",1,1,5.98131313131313,"forestfires","area"
"sebart",1,1,6.58787878787879,"forestfires","area"
"sebart",1,1,10.0254545454545,"forestfires","area"
"sebart",1,1,1.11555555555556,"forestfires","area"
"sebart",1,1,1.07505050505051,"forestfires","area"
"sebart",1,1,13.0576767676768,"forestfires","area"
"sebart",1,1,29.529494949495,"forestfires","area"
"sebart",1,1,10.0254545454545,"forestfires","area"
"sebart",1,1,7.88282828282829,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,31.1543434343435,"forestfires","area"
"sebart",1,1,7.02626262626263,"forestfires","area"
"sebart",1,1,0.957272727272727,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,1.51393939393939,"forestfires","area"
"sebart",1,1,2.03121212121212,"forestfires","area"
"sebart",1,1,5.38585858585859,"forestfires","area"
"sebart",1,1,10.0254545454545,"forestfires","area"
"sebart",1,1,12.2915151515152,"forestfires","area"
"sebart",1,1,12.2915151515152,"forestfires","area"
"sebart",1,1,4.95535353535354,"forestfires","area"
"sebart",1,1,88.1486868686869,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,4.95535353535354,"forestfires","area"
"sebart",1,1,2.74707070707071,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,1.59212121212121,"forestfires","area"
"sebart",1,1,14.66,"forestfires","area"
"sebart",1,1,2.8839393939394,"forestfires","area"
"sebart",1,1,4.40959595959596,"forestfires","area"
"sebart",1,1,2.64909090909091,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,5.23606060606061,"forestfires","area"
"sebart",1,1,8.9169696969697,"forestfires","area"
"sebart",1,1,0.331515151515152,"forestfires","area"
"sebart",1,1,1.23909090909091,"forestfires","area"
"sebart",1,1,2.18242424242424,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,0.812222222222223,"forestfires","area"
"sebart",1,1,6.83787878787879,"forestfires","area"
"sebart",1,1,2.47525252525253,"forestfires","area"
"sebart",1,1,3.28080808080808,"forestfires","area"
"sebart",1,1,2.32636363636364,"forestfires","area"
"sebart",1,1,1.89717171717172,"forestfires","area"
"sebart",1,1,6.23737373737374,"forestfires","area"
"sebart",1,1,2.54313131313131,"forestfires","area"
"sebart",1,1,5.81909090909091,"forestfires","area"
"sebart",1,1,6.58787878787879,"forestfires","area"
"sebart",1,1,5.98131313131313,"forestfires","area"
"sebart",1,1,11.0185858585859,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,14.0778787878788,"forestfires","area"
"sebart",1,1,28.4463636363636,"forestfires","area"
"sebart",1,1,0,"forestfires","area"
"sebart",1,1,25.3787878787879,"forestfires","area"
"sebart",1,1,8.11393939393939,"forestfires","area"
