"Repeat","Fold","Observation","Observed","Dataset","Target"
1,1,1,0.54842,"parkinsons","DFA"
1,1,2,0.54405,"parkinsons","DFA"
1,1,3,0.57794,"parkinsons","DFA"
1,1,4,0.56122,"parkinsons","DFA"
1,1,5,0.57243,"parkinsons","DFA"
1,1,6,0.54779,"parkinsons","DFA"
1,1,7,0.54234,"parkinsons","DFA"
1,1,8,0.61864,"parkinsons","DFA"
1,1,9,0.58673,"parkinsons","DFA"
1,1,10,0.61068,"parkinsons","DFA"
1,1,11,0.57984,"parkinsons","DFA"
1,1,12,0.60661,"parkinsons","DFA"
1,1,13,0.5679,"parkinsons","DFA"
1,1,14,0.56978,"parkinsons","DFA"
1,1,15,0.61093,"parkinsons","DFA"
1,1,16,0.5922,"parkinsons","DFA"
1,1,17,0.57726,"parkinsons","DFA"
1,1,18,0.54735,"parkinsons","DFA"
1,1,19,0.56681,"parkinsons","DFA"
1,1,20,0.56869,"parkinsons","DFA"
1,1,21,0.59755,"parkinsons","DFA"
1,1,22,0.52499,"parkinsons","DFA"
1,1,23,0.55348,"parkinsons","DFA"
1,1,24,0.54699,"parkinsons","DFA"
1,1,25,0.56963,"parkinsons","DFA"
1,1,26,0.53565,"parkinsons","DFA"
1,1,27,0.55286,"parkinsons","DFA"
1,1,28,0.54621,"parkinsons","DFA"
1,1,29,0.55433,"parkinsons","DFA"
1,1,30,0.57198,"parkinsons","DFA"
1,1,31,0.56983,"parkinsons","DFA"
1,1,32,0.56939,"parkinsons","DFA"
1,1,33,0.59191,"parkinsons","DFA"
1,1,34,0.62221,"parkinsons","DFA"
1,1,35,0.59017,"parkinsons","DFA"
1,1,36,0.57095,"parkinsons","DFA"
1,1,37,0.60709,"parkinsons","DFA"
1,1,38,0.59993,"parkinsons","DFA"
1,1,39,0.57067,"parkinsons","DFA"
1,1,40,0.58429,"parkinsons","DFA"
1,1,41,0.58895,"parkinsons","DFA"
1,1,42,0.58323,"parkinsons","DFA"
1,1,43,0.57068,"parkinsons","DFA"
1,1,44,0.61602,"parkinsons","DFA"
1,1,45,0.53637,"parkinsons","DFA"
1,1,46,0.53211,"parkinsons","DFA"
1,1,47,0.54781,"parkinsons","DFA"
1,1,48,0.56091,"parkinsons","DFA"
1,1,49,0.54939,"parkinsons","DFA"
1,1,50,0.5514,"parkinsons","DFA"
1,1,51,0.552,"parkinsons","DFA"
