"x","ale","Scenario","Feature","Model"
-2.43369909167122,1.03285799955452,"Sigmoid","X1","sebart"
-1.25600593912032,0.608423836148501,"Sigmoid","X1","sebart"
-0.878168316082182,0.24353331302365,"Sigmoid","X1","sebart"
-0.672342553381966,0.268821083432025,"Sigmoid","X1","sebart"
-0.523840122847655,0.311603849673861,"Sigmoid","X1","sebart"
-0.372432796270848,0.318768271908555,"Sigmoid","X1","sebart"
-0.232443623353946,0.236604866763306,"Sigmoid","X1","sebart"
-0.108482912532366,0.159563782694192,"Sigmoid","X1","sebart"
0.0182748502395449,0.104505478372675,"Sigmoid","X1","sebart"
0.108645091088079,-0.0408398322864841,"Sigmoid","X1","sebart"
0.196091501564764,-0.197608457700866,"Sigmoid","X1","sebart"
0.303588871728069,-0.249427396624732,"Sigmoid","X1","sebart"
0.414509175131318,-0.305034369859488,"Sigmoid","X1","sebart"
0.547200733738572,-0.388269156426818,"Sigmoid","X1","sebart"
0.734459654966149,-0.399710650210538,"Sigmoid","X1","sebart"
0.946251892712593,-0.358985526528264,"Sigmoid","X1","sebart"
1.15258024060452,-0.332427034382435,"Sigmoid","X1","sebart"
1.38355016592565,-0.185040575093764,"Sigmoid","X1","sebart"
1.75577593224596,-0.195919698094467,"Sigmoid","X1","sebart"
2.59266321873377,-0.57096497978684,"Sigmoid","X1","sebart"
-2.43369909167122,0.542222430042979,"Sigmoid","X1","bart"
-1.25600593912032,0.308090412815512,"Sigmoid","X1","bart"
-0.878168316082182,0.133231311506183,"Sigmoid","X1","bart"
-0.672342553381966,0.0853917655682868,"Sigmoid","X1","bart"
-0.523840122847655,0.0909524040662965,"Sigmoid","X1","bart"
-0.372432796270848,0.0951051683628649,"Sigmoid","X1","bart"
-0.232443623353946,0.0588468681064197,"Sigmoid","X1","bart"
-0.108482912532366,0.0213250177498613,"Sigmoid","X1","bart"
0.0182748502395449,0.0128874701151101,"Sigmoid","X1","bart"
0.108645091088079,0.00780872156246015,"Sigmoid","X1","bart"
0.196091501564764,0.00400057995069103,"Sigmoid","X1","bart"
0.303588871728069,0.00318157884186671,"Sigmoid","X1","bart"
0.414509175131318,0.00352418167320123,"Sigmoid","X1","bart"
0.547200733738572,-0.00386914927059134,"Sigmoid","X1","bart"
0.734459654966149,-0.0239731724191193,"Sigmoid","X1","bart"
0.946251892712593,-0.0996246240547519,"Sigmoid","X1","bart"
1.15258024060452,-0.195431314569508,"Sigmoid","X1","bart"
1.38355016592565,-0.254696745577803,"Sigmoid","X1","bart"
1.75577593224596,-0.328855133147218,"Sigmoid","X1","bart"
2.59266321873377,-0.429513750692466,"Sigmoid","X1","bart"
-2.43369909167122,-0.305254060497921,"Sigmoid","X1","oracle"
-1.25600593912032,-1.92137699428101,"Sigmoid","X1","oracle"
-0.878168316082182,-1.44010160899765,"Sigmoid","X1","oracle"
-0.672342553381966,-0.492531295373772,"Sigmoid","X1","oracle"
-0.523840122847655,-0.23908443368131,"Sigmoid","X1","oracle"
-0.372432796270848,-0.0450805889714807,"Sigmoid","X1","oracle"
-0.232443623353946,0.0555042829755167,"Sigmoid","X1","oracle"
-0.108482912532366,0.169930305522857,"Sigmoid","X1","oracle"
0.0182748502395449,0.772468435619728,"Sigmoid","X1","oracle"
0.108645091088079,0.952214297683244,"Sigmoid","X1","oracle"
0.196091501564764,0.506574678719126,"Sigmoid","X1","oracle"
0.303588871728069,0.432137587599958,"Sigmoid","X1","oracle"
0.414509175131318,0.557788263686794,"Sigmoid","X1","oracle"
0.547200733738572,0.611702737062584,"Sigmoid","X1","oracle"
0.734459654966149,0.266471231273732,"Sigmoid","X1","oracle"
0.946251892712593,-0.211941880229694,"Sigmoid","X1","oracle"
1.15258024060452,-0.999781906313004,"Sigmoid","X1","oracle"
1.38355016592565,-1.35163166625275,"Sigmoid","X1","oracle"
1.75577593224596,0.720179761147623,"Sigmoid","X1","oracle"
2.59266321873377,2.20115953515757,"Sigmoid","X1","oracle"
-2.28489619670749,0.962321932194335,"Sigmoid","X2","sebart"
-1.54058154720162,0.540982998671484,"Sigmoid","X2","sebart"
-1.27668242255551,-0.109928625527783,"Sigmoid","X2","sebart"
-1.10103331453181,-0.217308124126161,"Sigmoid","X2","sebart"
-0.964284352084597,-0.165413838816806,"Sigmoid","X2","sebart"
-0.79989770769451,-0.131081589191386,"Sigmoid","X2","sebart"
-0.654890888240096,-0.125685940494889,"Sigmoid","X2","sebart"
-0.496741981847886,-0.14235725691452,"Sigmoid","X2","sebart"
-0.314627045570808,-0.246484608977025,"Sigmoid","X2","sebart"
-0.178682672348962,-0.300258281118483,"Sigmoid","X2","sebart"
-0.0464074791434762,-0.191956671179434,"Sigmoid","X2","sebart"
0.150674228249957,0.0659920465255002,"Sigmoid","X2","sebart"
0.32556742079639,0.268482002363334,"Sigmoid","X2","sebart"
0.440865344310794,0.412974506141167,"Sigmoid","X2","sebart"
0.551823302461393,0.360494897795392,"Sigmoid","X2","sebart"
0.762765507500627,0.0968735333220446,"Sigmoid","X2","sebart"
1.03463556475272,-0.134112479713337,"Sigmoid","X2","sebart"
1.2590996537055,-0.660270502959391,"Sigmoid","X2","sebart"
1.55684705695394,-0.360281312118759,"Sigmoid","X2","sebart"
2.4489181578821,-0.0602703104183536,"Sigmoid","X2","sebart"
-2.28489619670749,0.113480082707949,"Sigmoid","X2","bart"
-1.54058154720162,0.0925006312450864,"Sigmoid","X2","bart"
-1.27668242255551,0.0986577418120972,"Sigmoid","X2","bart"
-1.10103331453181,0.118626704726891,"Sigmoid","X2","bart"
-0.964284352084597,0.111218154657212,"Sigmoid","X2","bart"
-0.79989770769451,0.0892223822299046,"Sigmoid","X2","bart"
-0.654890888240096,0.0344557505864665,"Sigmoid","X2","bart"
-0.496741981847886,-0.0494133846487434,"Sigmoid","X2","bart"
-0.314627045570808,-0.113910019006904,"Sigmoid","X2","bart"
-0.178682672348962,-0.117868435052468,"Sigmoid","X2","bart"
-0.0464074791434762,-0.0623827292021944,"Sigmoid","X2","bart"
0.150674228249957,0.0199643573656848,"Sigmoid","X2","bart"
0.32556742079639,0.0796772394027623,"Sigmoid","X2","bart"
0.440865344310794,0.0952373664803094,"Sigmoid","X2","bart"
0.551823302461393,0.0700102375030454,"Sigmoid","X2","bart"
0.762765507500627,-0.0309036646176985,"Sigmoid","X2","bart"
1.03463556475272,-0.138580887657733,"Sigmoid","X2","bart"
1.2590996537055,-0.18405453012291,"Sigmoid","X2","bart"
1.55684705695394,-0.107460445611419,"Sigmoid","X2","bart"
2.4489181578821,-0.102800772255451,"Sigmoid","X2","bart"
-2.28489619670749,-2.82754493210516,"Sigmoid","X2","oracle"
-1.54058154720162,-1.67503075071814,"Sigmoid","X2","oracle"
-1.27668242255551,-1.04172765622635,"Sigmoid","X2","oracle"
-1.10103331453181,-0.602619474699502,"Sigmoid","X2","oracle"
-0.964284352084597,-0.280505286009002,"Sigmoid","X2","oracle"
-0.79989770769451,0.506388157143327,"Sigmoid","X2","oracle"
-0.654890888240096,0.981201124305827,"Sigmoid","X2","oracle"
-0.496741981847886,0.709507643858131,"Sigmoid","X2","oracle"
-0.314627045570808,0.442275654601169,"Sigmoid","X2","oracle"
-0.178682672348962,0.441099639194819,"Sigmoid","X2","oracle"
-0.0464074791434762,0.756531569579522,"Sigmoid","X2","oracle"
