"x","ale","Scenario","Feature","Model"
-2.43369909167122,2.57806273791961,"Sigmoid","X1","sebart"
-1.25600593912032,1.33526140235355,"Sigmoid","X1","sebart"
-0.878168316082182,0.591552721327007,"Sigmoid","X1","sebart"
-0.672342553381966,0.688762606649012,"Sigmoid","X1","sebart"
-0.523840122847655,0.878223713132612,"Sigmoid","X1","sebart"
-0.372432796270848,0.822861854062166,"Sigmoid","X1","sebart"
-0.232443623353946,0.573425186161151,"Sigmoid","X1","sebart"
-0.108482912532366,0.373498248200606,"Sigmoid","X1","sebart"
0.0182748502395449,0.209505620429198,"Sigmoid","X1","sebart"
0.108645091088079,0.0269643788698246,"Sigmoid","X1","sebart"
0.196091501564764,-0.150506380166656,"Sigmoid","X1","sebart"
0.303588871728069,-0.4392167532658,"Sigmoid","X1","sebart"
0.414509175131318,-0.837010784120127,"Sigmoid","X1","sebart"
0.547200733738572,-1.10043388578849,"Sigmoid","X1","sebart"
0.734459654966149,-1.1916416321798,"Sigmoid","X1","sebart"
0.946251892712593,-1.04416650522729,"Sigmoid","X1","sebart"
1.15258024060452,-0.886523733370956,"Sigmoid","X1","sebart"
1.38355016592565,-0.561370884038869,"Sigmoid","X1","sebart"
1.75577593224596,-0.544228526375363,"Sigmoid","X1","sebart"
2.59266321873377,-1.32301938457138,"Sigmoid","X1","sebart"
-2.43369909167122,2.84735006060629,"Sigmoid","X1","bart"
-1.25600593912032,1.3398919115342,"Sigmoid","X1","bart"
-0.878168316082182,0.452869393454364,"Sigmoid","X1","bart"
-0.672342553381966,0.261633258465761,"Sigmoid","X1","bart"
-0.523840122847655,0.291840767018033,"Sigmoid","X1","bart"
-0.372432796270848,0.347086835352782,"Sigmoid","X1","bart"
-0.232443623353946,0.255709233617117,"Sigmoid","X1","bart"
-0.108482912532366,0.0728077377525246,"Sigmoid","X1","bart"
0.0182748502395449,0.0255279155652676,"Sigmoid","X1","bart"
0.108645091088079,0.0228357739297989,"Sigmoid","X1","bart"
0.196091501564764,0.0256160752614752,"Sigmoid","X1","bart"
0.303588871728069,0.0189275989400902,"Sigmoid","X1","bart"
0.414509175131318,0.0269306205773417,"Sigmoid","X1","bart"
0.547200733738572,-0.0223483769050622,"Sigmoid","X1","bart"
0.734459654966149,-0.102977805297771,"Sigmoid","X1","bart"
0.946251892712593,-0.366253771493312,"Sigmoid","X1","bart"
1.15258024060452,-0.806061242073622,"Sigmoid","X1","bart"
1.38355016592565,-1.11829831243559,"Sigmoid","X1","bart"
1.75577593224596,-1.54627938408546,"Sigmoid","X1","bart"
2.59266321873377,-2.02680828978424,"Sigmoid","X1","bart"
-2.43369909167122,-1.55956490886184,"Sigmoid","X1","truth"
-1.25600593912032,-2.27055530558555,"Sigmoid","X1","truth"
-0.878168316082182,-1.57429108461834,"Sigmoid","X1","truth"
-0.672342553381966,-0.255465308920361,"Sigmoid","X1","truth"
-0.523840122847655,0.248519864203642,"Sigmoid","X1","truth"
-0.372432796270848,-0.0373368006963103,"Sigmoid","X1","truth"
-0.232443623353946,-0.489103979908089,"Sigmoid","X1","truth"
-0.108482912532366,-0.42584888345448,"Sigmoid","X1","truth"
0.0182748502395449,-0.194542301267051,"Sigmoid","X1","truth"
0.108645091088079,-0.0438650659599015,"Sigmoid","X1","truth"
0.196091501564764,0.0394797712459432,"Sigmoid","X1","truth"
0.303588871728069,-0.00808698680544612,"Sigmoid","X1","truth"
0.414509175131318,-0.0047086325601953,"Sigmoid","X1","truth"
0.547200733738572,0.133616047542476,"Sigmoid","X1","truth"
0.734459654966149,0.651573815969365,"Sigmoid","X1","truth"
0.946251892712593,1.001896976545,"Sigmoid","X1","truth"
1.15258024060452,0.643293219913714,"Sigmoid","X1","truth"
1.38355016592565,0.698933117627197,"Sigmoid","X1","truth"
1.75577593224596,1.55368784408023,"Sigmoid","X1","truth"
2.59266321873377,1.89236860150999,"Sigmoid","X1","truth"
-2.28489619670749,2.59787322419783,"Sigmoid","X2","sebart"
-1.54058154720162,1.29357065604598,"Sigmoid","X2","sebart"
-1.27668242255551,-0.297289766862178,"Sigmoid","X2","sebart"
-1.10103331453181,-0.422586701841972,"Sigmoid","X2","sebart"
-0.964284352084597,-0.224913574542017,"Sigmoid","X2","sebart"
-0.79989770769451,0.136341606915946,"Sigmoid","X2","sebart"
-0.654890888240096,0.40004812430623,"Sigmoid","X2","sebart"
-0.496741981847886,0.239717869163159,"Sigmoid","X2","sebart"
-0.314627045570808,-0.365410861202,"Sigmoid","X2","sebart"
-0.178682672348962,-0.724327634791566,"Sigmoid","X2","sebart"
-0.0464074791434762,-0.587070125429442,"Sigmoid","X2","sebart"
0.150674228249957,0.179050828600378,"Sigmoid","X2","sebart"
0.32556742079639,0.729880345933893,"Sigmoid","X2","sebart"
0.440865344310794,0.913488628463975,"Sigmoid","X2","sebart"
0.551823302461393,0.836613946537176,"Sigmoid","X2","sebart"
0.762765507500627,0.162764773306677,"Sigmoid","X2","sebart"
1.03463556475272,-0.462869702067667,"Sigmoid","X2","sebart"
