"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"sebart",443.150535364181,221.504348349658,209.146656963526,1.461,0.76,477.786119049858,0.7,242.723917053963,0.94,801.720867864177,0.86,494.380788381373,0.96,1301.82740199136,0.96,821.003142857151,"almost_linear",1,50
"bart",504.229626481498,416.677654505889,280.995611995769,0.351,0.9,1413.19001741987,0.88,1399.14113588523,0.92,1815.87568242489,0.94,1798.54663013221,0.96,2165.86624735175,0.98,2143.277869634,"almost_linear",1,50
"bart_bc",446.603614234621,228.578892036173,210.526803847734,1.025,0.82,766.348432621703,0.78,412.58443495729,0.86,1253.12032284117,0.92,785.450005187875,0.88,1844.1894443269,0.98,1281.64202479693,"almost_linear",1,50
"sblm",563.211081667819,209.847199030962,207.178994331412,0.507,0.82,718.238666010375,0.74,222.359407539392,0.92,2424.53115321872,0.9,736.472501983116,0.94,4981.56403289401,0.96,2508.92758612369,"almost_linear",1,50
"drbart",1469.49809531852,1009.70712205712,705.857851494736,55.883,0.46,1539.5711576766,0.4,1312.16484862944,0.5,1887.57466253937,0.5,1652.24079076529,0.56,2074.25856539121,0.5,1936.39045761622,"almost_linear",1,50
"sebart",44052.9470083547,44400.2127497285,33376.3403539131,1.308,0.92,77754.0275226402,0.88,59588.2351141256,0.94,101790.961538571,0.94,82471.2040787155,0.94,126203.75070604,0.96,105101.712055861,"polynomial",1,50
"bart",42338.9015815451,45787.7470822585,33885.4522930753,0.350999999999999,0.88,69655.8618999603,0.86,68972.5537222664,0.92,89616.4069338653,0.9,88760.5159657145,0.92,107640.383051811,0.92,106170.928595239,"polynomial",1,50
"bart_bc",89555.5021906607,52094.2701779758,34915.1500095619,0.995000000000005,0.86,151112.427108266,0.76,101147.885437859,0.96,229754.031199869,0.9,160762.70140716,0.98,326283.99423651,0.98,238267.708545979,"polynomial",1,50
"sblm",73691.0054015654,34406.4246785725,33119.6761915462,0.507000000000005,0.8,138129.38412359,0.9,83318.0644496513,0.92,199484.812146417,0.92,141432.670095104,0.94,241365.22993688,0.96,200964.815851225,"polynomial",1,50
"drbart",56994.8435613259,48009.9505419441,38807.6782002869,59.126,0.66,122673.731004674,0.64,80361.1270282539,0.66,142390.162757639,0.74,127699.267299548,0.72,156306.575813341,0.74,145588.110211906,"polynomial",1,50
"sebart",0.911054026252527,1.20120348894446,0.862834633670508,1.32100000000001,0.88,2.88440610562602,0.78,2.59161322172683,0.96,3.6751091611375,0.92,3.31360223643737,1,4.2081803778548,0.96,3.98379817440803,"step",1,50
"bart",0.901989423324316,1.25800262998386,0.864868012759396,0.364000000000004,0.66,1.69633667676415,0.66,1.67714563195994,0.78,2.17610291788309,0.84,2.15613945842582,0.84,2.59516991639629,0.84,2.5699534970779,"step",1,50
"bart_bc",0.912689998093647,1.19751219924344,0.799535530474086,1.051,0.76,1.92826983958433,0.76,1.90964443359839,0.86,2.47338780769201,0.86,2.44899754782315,0.92,2.95636154867703,0.92,2.93247986460467,"step",1,50
"sblm",1.1338084154524,1.11674189533422,0.83213716894331,0.504000000000005,0.82,3.07597517875026,0.84,2.76603058361732,0.94,3.97057256625714,0.94,3.66723879245639,0.98,4.72824033264048,0.94,4.41947936908703,"step",1,50
"drbart",0.802581051340952,1.04960225012563,0.784581334715206,54.066,0.96,2.87830499675957,0.94,2.84103520993228,0.98,3.70559247344273,0.96,3.65164081364074,0.98,4.44043538416033,0.98,4.37172968010146,"step",1,50
