"Scenario","Iteration","N_train","Latent_Min","Latent_Max"
"arctangent",1,200,-42.0328925050484,286.456098106301
"arctangent",2,200,-40.5444280321995,280.926640285414
"arctangent",3,200,-28.5753085233062,259.337481577151
"arctangent",4,200,-35.8627017757874,318.3191748239
"arctangent",5,200,-38.4504288774643,241.948430131247
"box_cox",1,200,-37.7510048018816,260.755926955688
"box_cox",2,200,-31.4416169975368,266.553620707865
"box_cox",3,200,-36.5262248344667,243.182561573299
"box_cox",4,200,-38.646985129507,390.366390340316
"box_cox",5,200,-36.5956525163179,318.12994792656
