"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"sebart",61.7106488776462,61.1127629989665,55.6407740279711,1.472,0.8,121.283096428514,0.74,85.6274583749339,0.9,153.11650995773,0.9,129.451930574175,0.94,184.651761670744,0.92,159.250782936271,"arctangent",1,50
"bart",76.5126356672972,63.4002860631153,58.8381413817381,0.351,0.4,81.9319378289749,0.4,81.0588942712941,0.54,104.851571134897,0.5,103.889056354403,0.62,125.426999679404,0.64,124.074814479343,"arctangent",1,50
"bart_bc",261.930991934305,87.632387409176,82.2214700205243,1.015,0.8,676.933297444839,0.84,322.562389717119,0.82,1384.86933125176,0.86,826.867733754455,0.82,2466.07100061689,1,1660.02544531612,"arctangent",1,50
"sblm",90.6691163196381,48.8391274600314,48.4302742351778,0.526,0.7,199.046950510406,0.78,135.20374247599,0.88,254.417695185066,0.84,206.625957951088,0.92,278.641009086101,0.9,257.539819800982,"arctangent",1,50
"drbart",77.996696410342,56.2741469214941,52.1214045905079,59.526,0.7,132.271197207374,0.74,93.4717117826008,0.78,172.570670612219,0.8,151.658394316466,0.82,193.154606669562,0.82,185.553916564115,"arctangent",1,50
"sebart",643.569007388413,699.345324540556,521.135284868838,1.389,0.92,1227.95508721332,0.88,940.648762656666,0.94,1611.49784670197,0.94,1310.70302508956,0.94,2008.21360307391,0.96,1674.51194366284,"box_cox",1,50
"bart",616.965246687173,723.593948869526,525.601689441297,0.397000000000006,0.86,1097.66394963287,0.86,1086.3094512162,0.92,1418.24951049964,0.92,1401.42871161091,0.92,1691.95058305317,0.92,1676.70717754219,"box_cox",1,50
"bart_bc",2296.23018816603,827.450342016673,543.394483614017,1.018,0.76,3640.11439393339,0.74,2102.00334725324,0.9,5922.64409043566,0.88,3727.24458059792,0.9,8752.83226186252,0.98,6061.77194098196,"box_cox",1,50
"sblm",1114.91322591425,539.072063384001,506.932876012015,0.527999999999992,0.8,2202.3976273172,0.9,1363.5637997282,0.92,3113.80277046265,0.92,2264.81470138855,0.94,3749.3464183166,0.96,3151.52828235889,"box_cox",1,50
"drbart",963.413914572701,775.436011021367,646.746221375614,59.808,0.62,1025.21923416904,0.5,792.582704366316,0.74,1687.15156038739,0.7,1212.70545226016,0.76,1963.5202165366,0.76,1773.65589458009,"box_cox",1,50
