"Scenario","Iteration","N_train","Latent_Min","Latent_Max"
"arctangent",1,200,-40.5816219047914,242.933587025349
"arctangent",2,200,-26.1852233364729,172.115812382644
"arctangent",3,200,-28.5532428525247,257.331650113429
"arctangent",4,200,-29.5024786306283,172.819346934385
"arctangent",5,200,-30.3152483013752,192.638162572165
"arctangent",6,200,-37.8001945691522,207.408645507944
"arctangent",7,200,-26.5651415776233,256.598279776664
"arctangent",8,200,-48.7510530033446,269.880598512701
"arctangent",9,200,-29.3546422365821,384.9177446992
"arctangent",10,200,-26.6778220431918,214.810623624141
"arctangent",11,200,-21.8553173810213,172.318086402937
"arctangent",12,200,-31.3132961058463,188.145711922052
"arctangent",13,200,-32.3683200240925,232.294690587522
"arctangent",14,200,-43.3108995847386,256.230598997263
"arctangent",15,200,-24.2680180439956,224.938630893659
"arctangent",16,200,-37.0229681409263,261.925320769602
"arctangent",17,200,-28.6801168544672,306.944848176147
"arctangent",18,200,-30.3220345599489,299.443068771036
"arctangent",19,200,-36.8386905656008,292.372692259986
"arctangent",20,200,-32.0230424136528,257.517318322037
"arctangent",21,200,-37.044336717307,266.538927850282
"arctangent",22,200,-26.7265515283465,231.976488898843
"arctangent",23,200,-40.7643903896413,272.284634434966
"arctangent",24,200,-24.1433583826187,222.8964001024
"arctangent",25,200,-30.9240313825686,242.37230994907
"arctangent",26,200,-30.714988680428,165.452359434418
"arctangent",27,200,-29.7907132212598,158.10650738258
"arctangent",28,200,-27.7007485320165,165.448109573328
"arctangent",29,200,-33.24856951147,285.426739624834
"arctangent",30,200,-30.9369750136317,268.760666230979
"arctangent",31,200,-37.4874558484156,190.159305189386
"arctangent",32,200,-32.1106626022129,297.877701347991
"arctangent",33,200,-31.8880306156678,289.950993180181
"arctangent",34,200,-25.1603270615371,247.975871261881
"arctangent",35,200,-28.8967077759939,264.395647659306
"arctangent",36,200,-26.8055924557319,217.773102768011
"arctangent",37,200,-32.2988508316776,208.155496814479
"arctangent",38,200,-32.4552343714267,566.758620718253
"arctangent",39,200,-38.0545205952992,205.163730851706
"arctangent",40,200,-31.5632503402367,224.335526794094
"arctangent",41,200,-34.000127453598,192.490045679433
"arctangent",42,200,-28.8800496413126,255.582673939731
"arctangent",43,200,-24.5910687932053,197.252318758124
"arctangent",44,200,-26.175367343479,271.233650699118
"arctangent",45,200,-42.9104031570965,288.846103906416
"arctangent",46,200,-35.5961563195137,257.976000669991
"arctangent",47,200,-37.7062884601083,253.136167233893
"arctangent",48,200,-30.3296282387885,219.785295358911
"arctangent",49,200,-32.3309845657712,191.823079068369
"arctangent",50,200,-29.096231570926,159.116931208947
"arctangent",51,200,-30.6810758049025,242.341911602623
"arctangent",52,200,-30.16138030793,209.537169947886
"arctangent",53,200,-28.8077854755483,220.037537811555
"arctangent",54,200,-38.1416737015487,223.074974768634
"arctangent",55,200,-35.6564530676896,266.685137057394
"arctangent",56,200,-49.5241198475971,265.265224031628
"arctangent",57,200,-28.7557157218686,175.580868796602
"arctangent",58,200,-31.6111851808391,207.309772128179
"arctangent",59,200,-31.2093074771997,232.035513522622
"arctangent",60,200,-36.3177748311704,224.232073948124
"arctangent",61,200,-31.74135023954,158.972735864698
"arctangent",62,200,-30.016988693662,277.629194885076
"arctangent",63,200,-28.5071131624284,270.132011629893
"arctangent",64,200,-34.8049399398485,226.810158363504
"arctangent",65,200,-34.3502514006046,193.976070943087
"arctangent",66,200,-45.9692173122501,224.028561186827
"arctangent",67,200,-32.1632524432033,229.519872690212
"arctangent",68,200,-29.5688510855423,306.750414121716
"arctangent",69,200,-22.7388531648209,291.098610380435
"arctangent",70,200,-33.5724598249773,183.688563971408
"arctangent",71,200,-36.2264259861841,267.463566052766
"arctangent",72,200,-32.8002326988677,346.874298165693
"arctangent",73,200,-31.8976358674523,178.594937113167
"arctangent",74,200,-35.0323408491447,199.099188198032
"arctangent",75,200,-33.1936943533907,292.967630642757
"arctangent",76,200,-34.6655374151355,234.737487198277
"arctangent",77,200,-37.7083811908954,203.086695216984
"arctangent",78,200,-28.5864384524644,252.235317577231
"arctangent",79,200,-33.9578546111425,213.068743674703
"arctangent",80,200,-31.9019191182395,349.033793900362
"arctangent",81,200,-36.1699900996309,295.722792546219
"arctangent",82,200,-35.2329618837049,168.666890676515
"arctangent",83,200,-34.9129566148265,189.381922279551
"arctangent",84,200,-34.4550206486413,237.718158270956
"arctangent",85,200,-28.3256129834438,198.434605561677
"arctangent",86,200,-31.103830735798,254.666456615799
"arctangent",87,200,-31.5447799574818,285.954884471887
"arctangent",88,200,-32.249308804671,288.030897637584
"arctangent",89,200,-28.7764987449214,323.443955046059
"arctangent",90,200,-34.4267687488806,224.534410227723
"arctangent",91,200,-28.8254528924485,243.305869185001
"arctangent",92,200,-46.9068298540562,279.124585082613
"arctangent",93,200,-29.6949230790512,216.284049983747
"arctangent",94,200,-31.333907977255,216.169712237828
"arctangent",95,200,-34.6819550178051,180.248882342598
"arctangent",96,200,-39.7298823936428,237.67981903341
"arctangent",97,200,-28.7184011212186,224.28786640281
"arctangent",98,200,-43.5458523805473,238.652602795566
"arctangent",99,200,-30.847178749529,189.983713803409
"arctangent",100,200,-25.2726857511745,219.810809909106
