"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"drbart",83.1937372843669,NA,NA,382.817,0.625,188.136189208282,NA,NA,0.685,208.132163037958,NA,NA,0.743718592964824,219.442066941435,NA,NA,"arctangent",1,200
"drbart",73.5191086706634,NA,NA,1334.473,0.597938144329897,155.473351533815,NA,NA,0.678756476683938,175.196842715708,NA,NA,0.709844559585492,182.8759159531,NA,NA,"arctangent",2,200
"drbart",73.3391484042434,NA,NA,6157.734,0.658163265306122,157.016751455676,NA,NA,0.69109947643979,178.448717799146,NA,NA,0.705263157894737,182.979388280465,NA,NA,"arctangent",3,200
"drbart",82.7123265326937,NA,NA,3274.581,0.668341708542714,193.669704305613,NA,NA,0.762626262626263,220.990776194556,NA,NA,0.782828282828283,228.653681732202,NA,NA,"arctangent",4,200
"drbart",77.3414248958829,NA,NA,2995.344,0.597989949748744,130.931772926755,NA,NA,0.656565656565657,170.926542341817,NA,NA,0.696969696969697,175.594251726214,NA,NA,"arctangent",5,200
"drbart",72.7589203803414,NA,NA,4078.915,0.675,185.507662280986,NA,NA,0.695,202.003722261516,NA,NA,0.71356783919598,203.633096670434,NA,NA,"arctangent",6,200
"drbart",74.3292444406357,NA,NA,3154.982,0.62303664921466,161.888432547788,NA,NA,0.680628272251309,181.147999667468,NA,NA,0.726315789473684,185.454219866277,NA,NA,"arctangent",7,200
"drbart",77.1057738162739,NA,NA,1823.162,0.699481865284974,186.843629248287,NA,NA,0.740932642487047,191.975850588093,NA,NA,0.760416666666667,195.028700947535,NA,NA,"arctangent",8,200
"drbart",72.7424430088362,NA,NA,3120.085,0.592964824120603,156.993115280012,NA,NA,0.828282828282828,203.500806380117,NA,NA,0.892857142857143,223.000492141197,NA,NA,"arctangent",9,200
"drbart",74.9813343962137,NA,NA,2220.93,0.663157894736842,172.951017918404,NA,NA,0.757894736842105,191.894040508928,NA,NA,0.768421052631579,194.044799245433,NA,NA,"arctangent",10,200
"drbart",69.3780183131807,NA,NA,2137.662,0.701030927835051,170.324385304305,NA,NA,0.72680412371134,179.301698455451,NA,NA,0.766839378238342,183.851217094987,NA,NA,"arctangent",11,200
"drbart",69.7171608632286,NA,NA,2380.772,0.655,184.600618148175,NA,NA,0.745,199.684426115671,NA,NA,0.814070351758794,208.002813620523,NA,NA,"arctangent",12,200
"drbart",80.8459352914061,NA,NA,2234.403,0.597989949748744,196.489655998194,NA,NA,0.64321608040201,216.569587205868,NA,NA,0.691919191919192,222.724690457734,NA,NA,"arctangent",13,200
"drbart",74.6451800805115,NA,NA,371.991999999998,0.645,185.395399529573,NA,NA,0.829145728643216,201.698316497544,NA,NA,0.829145728643216,203.926979847859,NA,NA,"arctangent",14,200
"drbart",74.5766898391272,NA,NA,376.192999999999,0.585,150.105030671534,NA,NA,0.625,169.976670825098,NA,NA,0.675,181.587797747125,NA,NA,"arctangent",15,200
"drbart",78.2184537729457,NA,NA,392.423000000003,0.653266331658292,190.267453560425,NA,NA,0.751269035532995,207.274231007698,NA,NA,0.769230769230769,212.81503822983,NA,NA,"arctangent",16,200
"drbart",68.0908696477471,NA,NA,412.917000000001,0.72,171.264125580791,NA,NA,0.805,191.664054423245,NA,NA,0.825,196.942640884859,NA,NA,"arctangent",17,200
"drbart",70.0387630984027,NA,NA,391.801999999996,0.612244897959184,128.357101805372,NA,NA,0.671794871794872,150.256413363076,NA,NA,0.759162303664921,180.179380544678,NA,NA,"arctangent",18,200
"drbart",86.9579665091776,NA,NA,357.577000000005,0.7,199.976993481932,NA,NA,0.755,212.59826146413,NA,NA,0.785,221.354806971486,NA,NA,"arctangent",19,200
"drbart",80.2564448858819,NA,NA,383.962,0.68,197.396046905106,NA,NA,0.795,221.191026731925,NA,NA,0.815,224.155400113064,NA,NA,"arctangent",20,200
"drbart",80.5144605516168,NA,NA,363.526000000005,0.695,191.759573858424,NA,NA,0.753768844221106,208.735601315566,NA,NA,0.793969849246231,211.847165862068,NA,NA,"arctangent",21,200
"drbart",78.0483781637346,NA,NA,381.732000000004,0.678756476683938,196.447867353043,NA,NA,0.71875,208.449630248961,NA,NA,0.746031746031746,215.665365481052,NA,NA,"arctangent",22,200
"drbart",78.630258144311,NA,NA,1667.481,0.5678391959799,135.06371663562,NA,NA,0.661616161616162,162.165329437727,NA,NA,0.826530612244898,186.685114776479,NA,NA,"arctangent",23,200
"drbart",82.8250579272371,NA,NA,2453.334,0.54,180.103713709228,NA,NA,0.62,192.319245026834,NA,NA,0.635,195.226299032016,NA,NA,"arctangent",24,200
"drbart",82.5034199743553,NA,NA,2191.557,0.613065326633166,174.355029549246,NA,NA,0.683417085427136,198.040257647059,NA,NA,0.728643216080402,208.087614568645,NA,NA,"arctangent",25,200
"drbart",68.3385532517539,NA,NA,2295.189,0.551020408163265,141.451680652493,NA,NA,0.682051282051282,176.944665783107,NA,NA,0.715025906735751,184.455756963752,NA,NA,"arctangent",26,200
"drbart",85.6299635408764,NA,NA,2405.446,0.688442211055276,203.825746937524,NA,NA,0.742424242424242,213.801012720618,NA,NA,0.771573604060914,218.875596159273,NA,NA,"arctangent",27,200
"drbart",69.7626641850204,NA,NA,1660.025,0.67,184.022378542874,NA,NA,0.69,200.004746140599,NA,NA,0.71,206.337150765597,NA,NA,"arctangent",28,200
"drbart",78.9124634476871,NA,NA,1325.844,0.585,182.689064653035,NA,NA,0.638190954773869,196.772216950073,NA,NA,0.668341708542714,200.288278524947,NA,NA,"arctangent",29,200
"drbart",66.9018867508762,NA,NA,1124.775,0.66,173.138257378666,NA,NA,0.735,191.201179203547,NA,NA,0.755,195.500782387502,NA,NA,"arctangent",30,200
"drbart",77.7277611891988,NA,NA,3316.479,0.646464646464647,162.898083178832,NA,NA,0.696969696969697,176.928684377309,NA,NA,0.730964467005076,180.832386186883,NA,NA,"arctangent",31,200
"drbart",65.061445495545,NA,NA,1438.023,0.620320855614973,122.155934922002,NA,NA,0.75,147.694865264333,NA,NA,0.751445086705202,150.468683704244,NA,NA,"arctangent",32,200
"drbart",69.3169616817358,NA,NA,2446.292,0.655,157.27323145051,NA,NA,0.705,169.437582440711,NA,NA,0.715,173.232672823204,NA,NA,"arctangent",33,200
"drbart",69.1963639857707,NA,NA,3873.514,0.67,166.149079912588,NA,NA,0.79,193.665791053852,NA,NA,0.855,200.175597504246,NA,NA,"arctangent",34,200
"drbart",81.7273517376359,NA,NA,1942.66299999999,0.645,199.375756317874,NA,NA,0.695,216.072678047857,NA,NA,0.73,220.218756137655,NA,NA,"arctangent",35,200
"drbart",86.9225573768979,NA,NA,2282.95599999999,0.67,210.788395449206,NA,NA,0.72,218.936823372004,NA,NA,0.745,221.372304970087,NA,NA,"arctangent",36,200
"drbart",75.9632502500113,NA,NA,3444.35800000001,0.678391959798995,184.178023329462,NA,NA,0.758793969849246,205.106583506386,NA,NA,0.763819095477387,207.404229740761,NA,NA,"arctangent",37,200
"drbart",77.2790497487944,NA,NA,832.856,0.641414141414141,175.517155002608,NA,NA,0.688775510204082,182.869555801396,NA,NA,0.719387755102041,189.81773610486,NA,NA,"arctangent",38,200
"drbart",80.4510421846474,NA,NA,1632.67599999999,0.575,168.553519263975,NA,NA,0.736040609137056,206.397309651689,NA,NA,0.770408163265306,210.380043942899,NA,NA,"arctangent",39,200
"drbart",72.5244956908834,NA,NA,818.449999999997,0.673575129533679,183.307072715628,NA,NA,0.701570680628272,189.970939034451,NA,NA,0.721052631578947,192.329367390508,NA,NA,"arctangent",40,200
"drbart",87.4060768921975,NA,NA,388.15400000001,0.707070707070707,180.260765871746,NA,NA,0.787878787878788,205.147925313978,NA,NA,0.802030456852792,211.474201794756,NA,NA,"arctangent",41,200
"drbart",73.1552821545388,NA,NA,387.220000000001,0.655,174.752150551962,NA,NA,0.733668341708543,183.624200120564,NA,NA,0.767676767676768,187.534025086103,NA,NA,"arctangent",42,200
"drbart",70.7074743868416,NA,NA,381.646999999997,0.61,162.728405076275,NA,NA,0.66,176.832828178095,NA,NA,0.793969849246231,195.740543102017,NA,NA,"arctangent",43,200
"drbart",76.7282460650177,NA,NA,374.857999999993,0.653266331658292,148.641914671873,NA,NA,0.727272727272727,176.866494142396,NA,NA,0.787878787878788,191.160532454585,NA,NA,"arctangent",44,200
"drbart",72.5991471738993,NA,NA,390.367999999988,0.733668341708543,198.27506638808,NA,NA,0.776649746192893,205.693323512602,NA,NA,0.785714285714286,208.570170129009,NA,NA,"arctangent",45,200
"drbart",76.1522968195888,NA,NA,368.849000000002,0.580808080808081,167.855538692845,NA,NA,0.651515151515151,186.484540541053,NA,NA,0.686868686868687,189.892913538821,NA,NA,"arctangent",46,200
"drbart",77.6652294325289,NA,NA,378.683000000005,0.64321608040201,195.838760247248,NA,NA,0.752525252525252,211.069151183797,NA,NA,0.767676767676768,214.000270104002,NA,NA,"arctangent",47,200
"drbart",71.336083427639,NA,NA,404.889999999999,0.590909090909091,144.427109676168,NA,NA,0.661616161616162,157.964597174295,NA,NA,0.732323232323232,173.945984401667,NA,NA,"arctangent",48,200
"drbart",77.2356522671376,NA,NA,385.114000000001,0.675,177.371479473596,NA,NA,0.763819095477387,209.260221296637,NA,NA,0.809045226130653,217.006372905167,NA,NA,"arctangent",49,200
"drbart",67.5336699050097,NA,NA,388.307000000001,0.707182320441989,134.410242127067,NA,NA,0.72316384180791,140.715924141636,NA,NA,0.732954545454545,143.625688600716,NA,NA,"arctangent",50,200
"drbart",68.881642947821,NA,NA,374.922999999995,0.624338624338624,107.787302873653,NA,NA,0.721311475409836,132.251046311089,NA,NA,0.737704918032787,135.506255283501,NA,NA,"arctangent",51,200
"drbart",83.7296861013749,NA,NA,398.490999999995,0.712121212121212,210.519603110573,NA,NA,0.813131313131313,220.688864648835,NA,NA,0.83756345177665,224.910447831341,NA,NA,"arctangent",52,200
"drbart",73.9140644681011,NA,NA,410.020999999993,0.67,190.592986219711,NA,NA,0.705,201.605207815885,NA,NA,0.765,209.532956965216,NA,NA,"arctangent",53,200
"drbart",72.8984401806268,NA,NA,394.633000000002,0.79,196.257402643258,NA,NA,0.814070351758794,204.534684899138,NA,NA,0.839195979899497,209.596093381795,NA,NA,"arctangent",54,200
"drbart",70.924650755684,NA,NA,391.008999999991,0.649746192893401,161.690087572545,NA,NA,0.697435897435897,169.932721877288,NA,NA,0.762886597938144,178.872447544692,NA,NA,"arctangent",55,200
"drbart",81.4166626042415,NA,NA,390.657000000007,0.585,168.895269375056,NA,NA,0.648241206030151,178.589048494009,NA,NA,0.678391959798995,184.679198236179,NA,NA,"arctangent",56,200
"drbart",77.1672894915807,NA,NA,362.604999999996,0.63,188.704829190406,NA,NA,0.67,192.299663981431,NA,NA,0.685,196.091256885125,NA,NA,"arctangent",57,200
"drbart",68.480846572181,NA,NA,375.665999999997,0.647668393782383,158.423292704674,NA,NA,0.704663212435233,174.765994260355,NA,NA,0.71875,179.66273163104,NA,NA,"arctangent",58,200
"drbart",68.4160727769503,NA,NA,35790.653,0.535714285714286,118.766953299311,NA,NA,0.649484536082474,150.77467422163,NA,NA,0.689119170984456,157.051082560356,NA,NA,"arctangent",59,200
"drbart",76.0153509674394,NA,NA,13058.347,0.585,173.925823386866,NA,NA,0.685,201.874033417507,NA,NA,0.728643216080402,206.393900581532,NA,NA,"arctangent",60,200
"drbart",73.121137845286,NA,NA,386.881999999983,0.650793650793651,169.702477159048,NA,NA,0.702127659574468,186.240211484706,NA,NA,0.705882352941177,188.847567329651,NA,NA,"arctangent",61,200
"drbart",78.6799717466284,NA,NA,386.894,0.65,192.304098790576,NA,NA,0.71,204.151300241692,NA,NA,0.73,210.846270126438,NA,NA,"arctangent",62,200
"drbart",85.1868802008982,NA,NA,401.072000000015,0.59,184.330121687821,NA,NA,0.62,208.751481037704,NA,NA,0.66,213.694930016839,NA,NA,"arctangent",63,200
"drbart",80.0229672643768,NA,NA,372.708000000013,0.577889447236181,190.220506643385,NA,NA,0.653266331658292,201.769388072747,NA,NA,0.663316582914573,203.642662755903,NA,NA,"arctangent",64,200
"drbart",78.8085313427039,NA,NA,389.353999999992,0.641414141414141,149.012843901162,NA,NA,0.707070707070707,189.872470865897,NA,NA,0.792929292929293,213.091433714327,NA,NA,"arctangent",65,200
"drbart",80.1896589198745,NA,NA,369.260000000009,0.688442211055276,171.358241553256,NA,NA,0.742424242424242,195.067190764758,NA,NA,0.767676767676768,205.33871757004,NA,NA,"arctangent",66,200
"drbart",79.0504751026037,NA,NA,360.507000000012,0.61,186.429421131074,NA,NA,0.645,203.300834309668,NA,NA,0.655,205.514887021115,NA,NA,"arctangent",67,200
"drbart",83.7888811795091,NA,NA,404.116000000009,0.631313131313131,164.436578777272,NA,NA,0.691919191919192,183.633246645592,NA,NA,0.732323232323232,186.167822630234,NA,NA,"arctangent",68,200
"drbart",70.5724251942254,NA,NA,408.907999999996,0.647959183673469,153.547622997838,NA,NA,0.697435897435897,162.349275402687,NA,NA,0.721649484536082,166.334678780734,NA,NA,"arctangent",69,200
"drbart",75.0751494469277,NA,NA,414.094000000012,0.675257731958763,158.52642799485,NA,NA,0.706806282722513,166.063468382655,NA,NA,0.731578947368421,169.290741288315,NA,NA,"arctangent",70,200
"drbart",77.0486004000582,NA,NA,1280.321,0.695431472081218,179.874186790014,NA,NA,0.761421319796954,193.782861906664,NA,NA,0.791878172588833,205.767940416569,NA,NA,"arctangent",71,200
"drbart",78.0626123659473,NA,NA,391.088000000018,0.595959595959596,168.795716956821,NA,NA,0.646464646464647,180.59433572064,NA,NA,0.671717171717172,182.958980821495,NA,NA,"arctangent",72,200
"drbart",80.3886029377728,NA,NA,402.445000000007,0.57,170.910167221991,NA,NA,0.618090452261307,180.95216259359,NA,NA,0.698492462311558,195.677278047815,NA,NA,"arctangent",73,200
"drbart",78.1126586872044,NA,NA,393.696999999986,0.585,183.475115282391,NA,NA,0.665,202.002695677501,NA,NA,0.705,208.140499238817,NA,NA,"arctangent",74,200
"drbart",77.7182232032837,NA,NA,397.046000000002,0.495,162.448088401968,NA,NA,0.62,196.044347506522,NA,NA,0.68,206.569938733902,NA,NA,"arctangent",75,200
"drbart",76.4325921727324,NA,NA,384.039999999979,0.67005076142132,191.843539733611,NA,NA,0.724489795918367,201.369724598061,NA,NA,0.739795918367347,204.187987939244,NA,NA,"arctangent",76,200
"drbart",82.6706753416934,NA,NA,391.992999999988,0.64321608040201,205.684161390959,NA,NA,0.733668341708543,224.26959307751,NA,NA,0.78391959798995,228.329311382441,NA,NA,"arctangent",77,200
"drbart",77.6972946330934,NA,NA,381.059999999998,0.574468085106383,139.912630175412,NA,NA,0.598930481283422,152.969343862167,NA,NA,0.643243243243243,164.076428468981,NA,NA,"arctangent",78,200
"drbart",75.2434428996573,NA,NA,931.668999999994,0.525,147.544931417331,NA,NA,0.635897435897436,183.539744098109,NA,NA,0.72680412371134,199.181444695874,NA,NA,"arctangent",79,200
"drbart",81.5325614628961,NA,NA,400.638999999996,0.577889447236181,199.751730824894,NA,NA,0.668341708542714,219.721199708608,NA,NA,0.809045226130653,233.832427386875,NA,NA,"arctangent",80,200
"drbart",72.1499394143049,NA,NA,384.688999999984,0.617801047120419,154.319635657686,NA,NA,0.643979057591623,163.141460381973,NA,NA,0.69109947643979,168.011357600968,NA,NA,"arctangent",81,200
"drbart",80.0149130455608,NA,NA,387.239000000001,0.570707070707071,169.879670572184,NA,NA,0.626262626262626,188.750564718654,NA,NA,0.717171717171717,208.87774660251,NA,NA,"arctangent",82,200
"drbart",73.4322113521893,NA,NA,407.612000000023,0.722222222222222,186.250348811287,NA,NA,0.752525252525252,193.294299443181,NA,NA,0.766497461928934,199.352439091961,NA,NA,"arctangent",83,200
"drbart",75.5723761523934,NA,NA,386.562000000005,0.715736040609137,193.724920617891,NA,NA,0.739795918367347,206.445379374009,NA,NA,0.76530612244898,211.585885522471,NA,NA,"arctangent",84,200
"drbart",77.3858827440958,NA,NA,401.92300000001,0.57286432160804,161.438835542913,NA,NA,0.636363636363636,184.689598014975,NA,NA,0.651515151515151,187.699721701986,NA,NA,"arctangent",85,200
