"Scenario","Iteration","N_train","Latent_Min","Latent_Max"
"beta",1,200,-40.5816219047914,242.933587025349
"beta",2,200,-26.1852233364729,172.115812382644
"beta",3,200,-28.5532428525247,257.331650113429
"beta",4,200,-29.5024786306283,172.819346934385
"beta",5,200,-30.3152483013752,192.638162572165
"beta",6,200,-37.8001945691522,207.408645507944
"beta",7,200,-26.5651415776233,256.598279776664
"beta",8,200,-48.7510530033446,269.880598512701
"beta",9,200,-29.3546422365821,384.9177446992
"beta",10,200,-26.6778220431918,214.810623624141
"beta",11,200,-21.8553173810213,172.318086402937
"beta",12,200,-31.3132961058463,188.145711922052
"beta",13,200,-32.3683200240925,232.294690587522
"beta",14,200,-43.3108995847386,256.230598997263
"beta",15,200,-24.2680180439956,224.938630893659
"beta",16,200,-37.0229681409263,261.925320769602
"beta",17,200,-28.6801168544672,306.944848176147
"beta",18,200,-30.3220345599489,299.443068771036
"beta",19,200,-36.8386905656008,292.372692259986
"beta",20,200,-32.0230424136528,257.517318322037
"beta",21,200,-37.044336717307,266.538927850282
"beta",22,200,-26.7265515283465,231.976488898843
"beta",23,200,-40.7643903896413,272.284634434966
"beta",24,200,-24.1433583826187,222.8964001024
"beta",25,200,-30.9240313825686,242.37230994907
"beta",26,200,-30.714988680428,165.452359434418
"beta",27,200,-29.7907132212598,158.10650738258
"beta",28,200,-27.7007485320165,165.448109573328
"beta",29,200,-33.24856951147,285.426739624834
"beta",30,200,-30.9369750136317,268.760666230979
"beta",31,200,-37.4874558484156,190.159305189386
"beta",32,200,-32.1106626022129,297.877701347991
"beta",33,200,-31.8880306156678,289.950993180181
"beta",34,200,-25.1603270615371,247.975871261881
"beta",35,200,-28.8967077759939,264.395647659306
"beta",36,200,-26.8055924557319,217.773102768011
"beta",37,200,-32.2988508316776,208.155496814479
"beta",38,200,-32.4552343714267,566.758620718253
"beta",39,200,-38.0545205952992,205.163730851706
"beta",40,200,-31.5632503402367,224.335526794094
"beta",41,200,-34.000127453598,192.490045679433
"beta",42,200,-28.8800496413126,255.582673939731
"beta",43,200,-24.5910687932053,197.252318758124
"beta",44,200,-26.175367343479,271.233650699118
"beta",45,200,-42.9104031570965,288.846103906416
"beta",46,200,-35.5961563195137,257.976000669991
"beta",47,200,-37.7062884601083,253.136167233893
"beta",48,200,-30.3296282387885,219.785295358911
"beta",49,200,-32.3309845657712,191.823079068369
"beta",50,200,-29.096231570926,159.116931208947
"beta",51,200,-30.6810758049025,242.341911602623
"beta",52,200,-30.16138030793,209.537169947886
"beta",53,200,-28.8077854755483,220.037537811555
"beta",54,200,-38.1416737015487,223.074974768634
"beta",55,200,-35.6564530676896,266.685137057394
"beta",56,200,-49.5241198475971,265.265224031628
"beta",57,200,-28.7557157218686,175.580868796602
"beta",58,200,-31.6111851808391,207.309772128179
"beta",59,200,-31.2093074771997,232.035513522622
"beta",60,200,-36.3177748311704,224.232073948124
"beta",61,200,-31.74135023954,158.972735864698
"beta",62,200,-30.016988693662,277.629194885076
"beta",63,200,-28.5071131624284,270.132011629893
"beta",64,200,-34.8049399398485,226.810158363504
"beta",65,200,-34.3502514006046,193.976070943087
"beta",66,200,-45.9692173122501,224.028561186827
"beta",67,200,-32.1632524432033,229.519872690212
"beta",68,200,-29.5688510855423,306.750414121716
"beta",69,200,-22.7388531648209,291.098610380435
"beta",70,200,-33.5724598249773,183.688563971408
"beta",71,200,-36.2264259861841,267.463566052766
"beta",72,200,-32.8002326988677,346.874298165693
"beta",73,200,-31.8976358674523,178.594937113167
"beta",74,200,-35.0323408491447,199.099188198032
"beta",75,200,-33.1936943533907,292.967630642757
"beta",76,200,-34.6655374151355,234.737487198277
"beta",77,200,-37.7083811908954,203.086695216984
"beta",78,200,-28.5864384524644,252.235317577231
"beta",79,200,-33.9578546111425,213.068743674703
"beta",80,200,-31.9019191182395,349.033793900362
"beta",81,200,-36.1699900996309,295.722792546219
"beta",82,200,-35.2329618837049,168.666890676515
"beta",83,200,-34.9129566148265,189.381922279551
"beta",84,200,-34.4550206486413,237.718158270956
"beta",85,200,-28.3256129834438,198.434605561677
"beta",86,200,-31.103830735798,254.666456615799
"beta",87,200,-31.5447799574818,285.954884471887
"beta",88,200,-32.249308804671,288.030897637584
"beta",89,200,-28.7764987449214,323.443955046059
"beta",90,200,-34.4267687488806,224.534410227723
"beta",91,200,-28.8254528924485,243.305869185001
"beta",92,200,-46.9068298540562,279.124585082613
"beta",93,200,-29.6949230790512,216.284049983747
"beta",94,200,-31.333907977255,216.169712237828
"beta",95,200,-34.6819550178051,180.248882342598
"beta",96,200,-39.7298823936428,237.67981903341
"beta",97,200,-28.7184011212186,224.28786640281
"beta",98,200,-43.5458523805473,238.652602795566
"beta",99,200,-30.847178749529,189.983713803409
"beta",100,200,-25.2726857511745,219.810809909106
