"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"drbart",0.157332429329922,NA,NA,283.007,0.835,0.0869334524344815,NA,NA,0.85,0.154026283891271,NA,NA,0.89,0.239362855343241,NA,NA,"beta",1,200
"drbart",0.152167042785836,NA,NA,276.851,0.835,0.183454319152057,NA,NA,0.875,0.233350519577698,NA,NA,0.895,0.276958437428142,NA,NA,"beta",2,200
"drbart",0.154020511257593,NA,NA,286.01,0.76,0.138812323036422,NA,NA,0.8,0.18244536608038,NA,NA,0.85,0.225183663708388,NA,NA,"beta",3,200
"drbart",0.148364608240088,NA,NA,270.532,0.84,0.155182908205493,NA,NA,0.87,0.19618593633734,NA,NA,0.895,0.230489416956858,NA,NA,"beta",4,200
"drbart",0.184823003003436,NA,NA,307.828,0.815,0.131928464187563,NA,NA,0.86,0.216536540177174,NA,NA,0.885,0.285649064046401,NA,NA,"beta",5,200
"drbart",0.169348302896765,NA,NA,309.343,0.845,0.150113904817337,NA,NA,0.87,0.242572699231981,NA,NA,0.88,0.329430313098091,NA,NA,"beta",6,200
"drbart",0.133981400840722,NA,NA,300.358,0.875,0.122793111265475,NA,NA,0.89,0.166333489589964,NA,NA,0.91,0.212265889102794,NA,NA,"beta",7,200
"drbart",0.145454200092632,NA,NA,306.083,0.845,0.146144956098163,NA,NA,0.875,0.217379626562446,NA,NA,0.9,0.295371776658563,NA,NA,"beta",8,200
"drbart",0.137737395824796,NA,NA,277.885,0.91,0.197801713800992,NA,NA,0.925,0.247476648497179,NA,NA,0.94,0.288867735289192,NA,NA,"beta",9,200
"drbart",0.0879692031962249,NA,NA,286.05,0.865,0.133396593705793,NA,NA,0.89,0.170076758754012,NA,NA,0.915,0.202248338771708,NA,NA,"beta",10,200
"drbart",0.124328315979118,NA,NA,292.754,0.835,0.133705263298015,NA,NA,0.87,0.176299866306007,NA,NA,0.89,0.218846342547344,NA,NA,"beta",11,200
"drbart",0.104860297845905,NA,NA,273.186,0.89,0.15199080304892,NA,NA,0.915,0.190858867691962,NA,NA,0.93,0.223352443011674,NA,NA,"beta",12,200
"drbart",0.152526732227056,NA,NA,304.001,0.86,0.145797624303644,NA,NA,0.89,0.268746717698472,NA,NA,0.91,0.34965652940751,NA,NA,"beta",13,200
"drbart",0.173025990200597,NA,NA,279.666,0.795,0.135764949132372,NA,NA,0.835,0.176312427045066,NA,NA,0.855,0.210687991158337,NA,NA,"beta",14,200
"drbart",0.15802425954449,NA,NA,303.221,0.875,0.157200612501149,NA,NA,0.91,0.225338854366004,NA,NA,0.93,0.297334385018647,NA,NA,"beta",15,200
"drbart",0.13631254872888,NA,NA,279.234,0.85,0.174993038004669,NA,NA,0.9,0.226392208248053,NA,NA,0.915,0.273479602925194,NA,NA,"beta",16,200
"drbart",0.0737276677386573,NA,NA,298.62,0.92,0.131538866875473,NA,NA,0.95,0.187033550515143,NA,NA,0.96,0.248093700118715,NA,NA,"beta",17,200
"drbart",0.099830301888372,NA,NA,304.932,0.84,0.128230225897265,NA,NA,0.865,0.200261444102594,NA,NA,0.88,0.269248032941192,NA,NA,"beta",18,200
"drbart",0.152968122891609,NA,NA,1288.529,0.825,0.117883947409413,NA,NA,0.835,0.14844590129312,NA,NA,0.855,0.173763998713669,NA,NA,"beta",19,200
"drbart",0.114576977627075,NA,NA,1447.289,0.895,0.116470856352053,NA,NA,0.9,0.159348095918343,NA,NA,0.915,0.209123902711952,NA,NA,"beta",20,200
"drbart",0.150523152468628,NA,NA,2218.377,0.815,0.142849835529146,NA,NA,0.87,0.204801918260143,NA,NA,0.905,0.27012549854867,NA,NA,"beta",21,200
"drbart",0.11352345372678,NA,NA,2230.637,0.855,0.158419929821729,NA,NA,0.89,0.202720032576015,NA,NA,0.91,0.242117868004845,NA,NA,"beta",22,200
"drbart",0.0904576182225422,NA,NA,1450.585,0.865,0.141302601947946,NA,NA,0.935,0.195382517943222,NA,NA,0.945,0.252444716142986,NA,NA,"beta",23,200
"drbart",0.0850613023734573,NA,NA,2109.319,0.88,0.136843451448312,NA,NA,0.92,0.201174671117959,NA,NA,0.96,0.278563175807099,NA,NA,"beta",24,200
"drbart",0.106460918890244,NA,NA,1714.736,0.92,0.213347343157449,NA,NA,0.94,0.399216471542679,NA,NA,0.95,0.490909714047273,NA,NA,"beta",25,200
"drbart",0.146638452975361,NA,NA,3262.52,0.875,0.211399966317551,NA,NA,0.9,0.266574346219304,NA,NA,0.925,0.308821555485843,NA,NA,"beta",26,200
"drbart",0.114334701014233,NA,NA,3079.29,0.835,0.254607843461561,NA,NA,0.93,0.333254800553202,NA,NA,0.955,0.390770622943584,NA,NA,"beta",27,200
"drbart",0.152924257631966,NA,NA,2958.139,0.86,0.209797692620865,NA,NA,0.88,0.261024116932287,NA,NA,0.92,0.302596374456542,NA,NA,"beta",28,200
