"Scenario","Iteration","N_train","y","truth","mean","lower","upper"
"beta",1,200,5.42534987254025e-13,-1.35120342429909,-2.50565060370457,-2.9064596879031,-2.28479542768127
"beta",1,200,2.71630509509396e-10,-1.29537050904591,-2.36912925619349,-2.59397001355321,-2.16489264506375
"beta",1,200,3.43725748959044e-10,-1.28200237777664,-2.29172036929951,-2.44784975352105,-2.05735882925384
"beta",1,200,2.69595300043634e-09,-1.16123095264429,-2.22146497195316,-2.40535754910879,-1.96072486737394
"beta",1,200,3.93910190791414e-09,-1.13819758152363,-2.15022498423,-2.36088426397151,-1.86184162502408
"beta",1,200,4.41818243949964e-09,-1.13117351648738,-2.08507728137216,-2.31304275670401,-1.78862386442907
"beta",1,200,1.08363291852423e-08,-1.07539563287943,-2.01893958664429,-2.26026803034103,-1.71671455411205
"beta",1,200,3.02889995262094e-08,-1.0094740196519,-1.95383308584071,-2.22439968925681,-1.64444285780937
"beta",1,200,4.98909993530284e-08,-0.976632303892264,-1.8915514968823,-2.17265182583352,-1.56025526097759
"beta",1,200,5.01751639532957e-08,-0.976255251287892,-1.82730204869215,-2.1242208109783,-1.48444817298933
"beta",1,200,1.13416498172701e-07,-0.921309841924288,-1.76667117032526,-2.06690132471249,-1.42472125478381
"beta",1,200,1.85102527182659e-07,-0.887507228877835,-1.7082485392449,-2.01179299829832,-1.36587612227435
"beta",1,200,1.95163484414865e-07,-0.883817205133953,-1.65343641970653,-1.97268985787732,-1.30273424911762
"beta",1,200,2.73422665921196e-07,-0.860131907239965,-1.59674056710631,-1.90596632452199,-1.25276854413554
"beta",1,200,4.63747973410687e-07,-0.82238198496894,-1.54124213919534,-1.85922807440444,-1.17786350103884
"beta",1,200,4.98799065644707e-07,-0.817112621018656,-1.48781734483234,-1.81337394819962,-1.12492549258127
"beta",1,200,5.07037103204064e-07,-0.815925807170907,-1.4353822651423,-1.76326090407022,-1.06853273303213
"beta",1,200,5.0902261176433e-07,-0.81564253139273,-1.38396571630064,-1.70566629077221,-1.00917493841546
"beta",1,200,5.75087263756086e-07,-0.806774809885355,-1.33197906763505,-1.66263252425736,-0.963007842580044
"beta",1,200,6.18089009086607e-07,-0.801513631881393,-1.28183421934092,-1.61642490256138,-0.919885449560615
"beta",1,200,7.20090762698363e-07,-0.790317259310813,-1.23406805109039,-1.56333856385074,-0.875398145768847
"beta",1,200,9.32879006113088e-07,-0.771174922004177,-1.18555150632838,-1.51847535368915,-0.839196437700606
"beta",1,200,9.38609742687012e-07,-0.770719557727863,-1.14019199008947,-1.45800476962075,-0.79404811201248
"beta",1,200,1.12691754024905e-06,-0.757069342335684,-1.09490944940482,-1.41200077667543,-0.758122438150804
"beta",1,200,1.1660671041654e-06,-0.754507853685186,-1.05024618099285,-1.37598594405155,-0.724612268726297
"beta",1,200,1.18398200678272e-06,-0.753363038725226,-1.00695279837606,-1.3252895718411,-0.689438237622132
"beta",1,200,1.26758962918901e-06,-0.748230322084574,-0.96519351208542,-1.28283873177655,-0.654058159710035
"beta",1,200,1.32877326187885e-06,-0.74467547997568,-0.9241781351411,-1.23940907620643,-0.620688928463866
"beta",1,200,1.45087429420908e-06,-0.738026351422239,-0.886271919094493,-1.20449391039091,-0.574612690031798
"beta",1,200,1.8516092775405e-06,-0.71944372745669,-0.848504870069543,-1.14955710515716,-0.552225943056462
"beta",1,200,1.92388924511946e-06,-0.716507592298122,-0.811124332212827,-1.09974854706069,-0.515885947283335
"beta",1,200,2.31508459573806e-06,-0.702243543630153,-0.774585316327377,-1.06807497960212,-0.490431199351364
"beta",1,200,2.77698988805955e-06,-0.688106306257352,-0.738557142412581,-1.01527268776065,-0.4698562615095
"beta",1,200,2.81850711643749e-06,-0.686947856613215,-0.704188778807561,-0.976476655097127,-0.434150578813555
"beta",1,200,3.08522313431611e-06,-0.679872313648983,-0.670861606555388,-0.935855847655441,-0.404290538965379
"beta",1,200,3.24946641451709e-06,-0.675799994114698,-0.637995299844803,-0.905737260271498,-0.376585487312575
"beta",1,200,3.25460629973752e-06,-0.675675744921389,-0.605484533641245,-0.869217820419426,-0.353057024892539
"beta",1,200,3.88843614361215e-06,-0.661628343334493,-0.574712489853395,-0.837388039014479,-0.320788050682695
"beta",1,200,4.11344218394353e-06,-0.65716265270466,-0.54515574915007,-0.798825413413089,-0.302318018631369
"beta",1,200,4.51341668556103e-06,-0.649769824959943,-0.515857507165236,-0.773472472445975,-0.283239985205745
"beta",1,200,4.7562677446259e-06,-0.64557987037837,-0.486897619731145,-0.731749578217035,-0.263487527982977
"beta",1,200,5.15924031736905e-06,-0.639056991929858,-0.460910253350599,-0.702837130114861,-0.241316453103546
