"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"sebart",1474.8909405086,820.72670345394,580.687968520581,6.369,0.815,1134.42907363823,0.746,832.361026727411,0.892,1413.67047707074,0.866,1214.88316765256,0.928,1726.61779284115,0.917,1471.24397884453,"box_cox",1,500
"bart",688.316098194636,925.239921558882,577.840226898687,1.172,0.636,268.637609736672,0.622,259.164548777308,0.731,356.15483828244,0.733,346.205274821668,0.79,430.625881679057,0.792,422.912310300344,"box_cox",1,500
"bart_bc",1088.73836564389,831.030188108446,584.173971398387,3.238,0.802,835.427270881268,0.739,737.351543324165,0.882,1106.86014868797,0.854,986.897994404547,0.932,1354.42071040976,0.923,1223.719663857,"box_cox",1,500
"sblm",1701.894612418,551.328033773967,514.587215667562,1.317,0.825,1522.62159657267,0.807,851.273727427241,0.918,2598.29334477495,0.901,1605.25977035611,0.955,3909.27200880579,0.941,2715.75488856655,"box_cox",1,500
"sebart",1562.29141576134,834.334940128056,553.829821226123,5.998,0.806,1471.34469444616,0.749,1097.76266431498,0.886,2089.6682262604,0.847,1541.95305682441,0.926,2519.28020752168,0.913,2148.84199403942,"box_cox",2,500
"bart",426.868437277989,872.003899546478,550.04390594435,1.123,0.708,364.323269837427,0.7,347.568108852862,0.775,482.692215963956,0.782,469.284890253082,0.819,588.902714939243,0.819,575.52431040955,"box_cox",2,500
"bart_bc",565.093858105938,802.631615372601,555.149737160075,3.198,0.808,921.870873794322,0.753,797.292218246214,0.881,1228.76215669732,0.862,1077.9601094871,0.922,1526.30118403613,0.914,1352.1712005303,"box_cox",2,500
"sblm",1312.06262530632,526.929926445042,492.701711502688,1.356,0.796,1330.08793893964,0.762,713.578494424796,0.885,2377.76156601904,0.862,1394.37019136058,0.931,3871.13669770394,0.919,2484.52366296647,"box_cox",2,500
"sebart",850.302274957402,783.870846364086,584.358770018078,6.08,0.779,986.595857440419,0.726,749.011041751121,0.867,1301.64447640749,0.831,1061.80637297105,0.919,1563.12945593928,0.901,1359.64208986616,"box_cox",3,500
"bart",413.767234223174,921.667326077888,586.145205768121,1.198,0.667,294.661683885779,0.672,283.922852021472,0.766,382.902921469855,0.765,373.297056413203,0.811,461.062850584945,0.804,451.694487759867,"box_cox",3,500
"bart_bc",667.959920048963,818.268892485595,589.574188017976,3.175,0.783,719.029452966689,0.692,642.790744385057,0.865,953.053781465168,0.842,859.379440458711,0.913,1176.99101904992,0.908,1065.75509723213,"box_cox",3,500
"sblm",1313.82261500101,586.890235658093,531.418653591717,1.38999999999999,0.804,1458.55166384689,0.821,863.317066461553,0.88,2246.61798771924,0.889,1522.23922885335,0.932,3201.25816180584,0.924,2324.62107206392,"box_cox",3,500
"sebart",879.052630108544,760.014589557878,527.386378218316,6.108,0.811,989.361253044017,0.729,755.116212523537,0.886,1267.64239474044,0.851,1070.24593024592,0.926,1507.17451822831,0.917,1328.31168298089,"box_cox",4,500
"bart",353.238384247799,824.066138277153,523.697113320934,1.119,0.648,268.661660315871,0.655,259.1350432838,0.746,351.915662621552,0.746,343.243783887101,0.805,427.171970141443,0.807,418.163181410788,"box_cox",4,500
"bart_bc",629.34628489492,772.331086371088,530.716720259854,3.063,0.792,759.888142258125,0.71,675.565667681457,0.883,1006.35056088696,0.851,902.919076194351,0.932,1244.23502183506,0.927,1119.97810322405,"box_cox",4,500
"sblm",1270.0841256749,517.97494617992,475.096087736433,1.314,0.801,1349.29061736776,0.797,781.797639854167,0.898,2169.50012715494,0.887,1419.81312981078,0.942,3132.77922090376,0.927,2256.49658858467,"box_cox",4,500
"sebart",863.397753275106,791.471103592081,552.458336422142,6,0.828,896.730164023884,0.753,716.08808350817,0.889,1142.24693377602,0.865,965.906528310564,0.928,1318.02017681323,0.916,1188.63181235554,"box_cox",5,500
"bart",490.520930383627,831.896492819804,548.331012259551,1.16900000000001,0.62,272.033918369641,0.62,259.148303207608,0.727,349.920068039968,0.721,340.494549242069,0.79,416.473217306608,0.785,408.793543780139,"box_cox",5,500
"bart_bc",684.740991084463,766.116857891655,549.761300835427,3.115,0.82,849.781192835116,0.747,739.545961324302,0.883,1130.08263225516,0.864,994.084386219795,0.922,1395.69830425407,0.93,1242.17232571312,"box_cox",5,500
"sblm",1257.00431169426,520.101355591911,486.340244571613,1.357,0.829,1206.64684139122,0.796,734.145073599509,0.923,1903.91530977299,0.885,1287.18118682101,0.957,2721.07370906167,0.938,2000.13020106982,"box_cox",5,500
"sebart",506.235579657629,613.004619270482,437.030596607731,6.04000000000001,0.844,731.131328660064,0.781,588.937495844288,0.913,918.317404340355,0.892,791.787759416277,0.949,1081.66428667889,0.943,963.439266780041,"box_cox",6,500
