"Scenario","Iteration","N_train","y","truth","mean","lower","upper"
"box_cox",1,500,-430.50069372299,-43.4970212773394,-2.96801458787266,-3.21317511778462,-2.85925785585996
"box_cox",1,500,-271.582596188726,-34.9595264643608,-2.89656668094708,-2.9501593729112,-2.79838473033858
"box_cox",1,500,-255.55800082609,-33.9723631172981,-2.85812861736024,-2.93455089911882,-2.74864302340715
"box_cox",1,500,-190.690503916424,-29.6181464922195,-2.82521976758217,-2.91299691129803,-2.69463684316431
"box_cox",1,500,-161.614703996113,-27.4255543889303,-2.7951115691244,-2.89515651126368,-2.66211185745439
"box_cox",1,500,-138.335166885066,-25.5231942461109,-2.76400763220377,-2.86982582726565,-2.62580007530205
"box_cox",1,500,-137.00265857325,-25.4096269575788,-2.73308204669478,-2.85037884901705,-2.58760975844899
"box_cox",1,500,-96.8952745538786,-21.687079473998,-2.70160200889138,-2.83086706252252,-2.54347475052442
"box_cox",1,500,-90.2893192862538,-21.004138421539,-2.66865989880898,-2.80642050351055,-2.49400909123237
"box_cox",1,500,-88.3557551042993,-20.7995484099272,-2.63556693157953,-2.78063168636235,-2.44994399461471
"box_cox",1,500,-79.0054573771056,-19.7770028269228,-2.60328885816632,-2.75813985799062,-2.42129276140081
"box_cox",1,500,-66.8568548041302,-18.35320822397,-2.57366446523411,-2.73573891540904,-2.38873947462601
"box_cox",1,500,-65.6968566645214,-18.2107194984703,-2.54325855221975,-2.71065567802857,-2.34770268676098
"box_cox",1,500,-61.9916151368322,-17.7469508333305,-2.51268064438947,-2.68821385391659,-2.31348663547534
"box_cox",1,500,-56.4848036826434,-17.0312745544273,-2.48335106046093,-2.66389122610577,-2.28913128561183
"box_cox",1,500,-55.5877485605752,-16.9114383693291,-2.45320348034677,-2.6378037078553,-2.25317555446231
"box_cox",1,500,-48.9640032310388,-15.9948566596502,-2.42221740397422,-2.61197926762939,-2.21742277669855
"box_cox",1,500,-48.6134801602849,-15.9446735580701,-2.39340136268204,-2.5924864641321,-2.18221906930543
"box_cox",1,500,-47.604646784187,-15.7992241498118,-2.36170179114062,-2.55571805121237,-2.13668343395241
"box_cox",1,500,-38.6232720010081,-14.4295248502922,-2.33143153111955,-2.52536868388939,-2.10682099043113
"box_cox",1,500,-38.0117946976895,-14.3307412101121,-2.30220794309575,-2.48986402689553,-2.08558405391887
"box_cox",1,500,-36.9610227187405,-14.159115546575,-2.27409070480411,-2.46235213643182,-2.05779110992679
"box_cox",1,500,-36.8559880799149,-14.1418265643872,-2.24583870168313,-2.43896216391545,-2.0257792670801
"box_cox",1,500,-36.5512556451105,-14.09152689202,-2.2177939119344,-2.41994173874254,-1.99203599942803
"box_cox",1,500,-34.5828965403006,-13.7614449010826,-2.1894470758597,-2.39442603189664,-1.96007054611552
"box_cox",1,500,-31.9985205386813,-13.3134469616791,-2.16274874819775,-2.37376925149296,-1.92162010246121
"box_cox",1,500,-29.9996375116211,-12.9543849688827,-2.13581110234346,-2.34855998000677,-1.89718876563131
"box_cox",1,500,-29.9347539863123,-12.9425324283389,-2.10813608073965,-2.32004553241959,-1.87590919906537
"box_cox",1,500,-29.2573514550138,-12.8180130255077,-2.08069248793313,-2.29507370357969,-1.84894333001039
"box_cox",1,500,-27.7419582304587,-12.5341270602663,-2.05555385743761,-2.27310263801781,-1.82870035357136
"box_cox",1,500,-27.0701188213109,-12.4057904690246,-2.02876849059072,-2.24537579296788,-1.79098039297239
"box_cox",1,500,-26.0697537498257,-12.2117097001091,-2.00336229631093,-2.22799014354592,-1.7672557019329
"box_cox",1,500,-25.7037767554093,-12.1397784503231,-1.97681598790191,-2.20759764170674,-1.73590829763741
"box_cox",1,500,-25.6093825999742,-12.1211427418003,-1.95130608070094,-2.18303524117075,-1.69818963965132
"box_cox",1,500,-23.7689614105979,-11.7506843678991,-1.92654115336432,-2.15214680923379,-1.67175229999522
"box_cox",1,500,-21.9413927372224,-11.3683280764974,-1.9014191499021,-2.13133013721879,-1.65244155917279
"box_cox",1,500,-20.9541355059871,-11.1551374661415,-1.87594959741322,-2.11049277291848,-1.62699524410925
"box_cox",1,500,-20.53174850779,-11.0623944976568,-1.85019854886864,-2.0835766271898,-1.60389382929556
"box_cox",1,500,-20.4619169300959,-11.0469700850828,-1.82501596134162,-2.05896536608872,-1.57469336569198
"box_cox",1,500,-18.8494740833286,-10.6831962049302,-1.80151923591013,-2.03465190123629,-1.55938445495619
"box_cox",1,500,-18.3489026209371,-10.5671238162961,-1.77773623058722,-2.0107716083543,-1.53309166234742
"box_cox",1,500,-18.2127369535851,-10.5352766688808,-1.7542312678493,-1.99254680570754,-1.50240148892664
"box_cox",1,500,-17.8390294697637,-10.4472550499588,-1.73083213663612,-1.97051624700534,-1.47996918935712
"box_cox",1,500,-17.5901134746308,-10.388113846302,-1.70784954107009,-1.94110827983845,-1.45687813137987
"box_cox",1,500,-11.9348676652274,-8.90937556230009,-1.68401911458851,-1.91537635645238,-1.438169002746
"box_cox",1,500,-11.5126154205366,-8.78604904802097,-1.66087433045812,-1.89550977569881,-1.41139872954733
"box_cox",1,500,-11.3142038788003,-8.72731859771791,-1.6377177722663,-1.87171740723734,-1.39470371074934
"box_cox",1,500,-10.1484557341525,-8.37132819250509,-1.61538751364546,-1.85317145442625,-1.37579193463748
"box_cox",1,500,-9.69494596906434,-8.22734163799107,-1.59231114552478,-1.82775594482271,-1.34994034318661
"box_cox",1,500,-8.61732698577672,-7.87105679951292,-1.57058086843889,-1.80684131613652,-1.32824145546141
"box_cox",1,500,-8.0911704134756,-7.68899654191338,-1.54857926029789,-1.79279070664877,-1.30938097170069
"box_cox",1,500,-7.94366383816373,-7.63690121899035,-1.52711760209598,-1.77118061727509,-1.28164997007641
"box_cox",1,500,-6.9648741703225,-7.27820960944997,-1.5062915763944,-1.74381941014502,-1.26581720564643
"box_cox",1,500,-6.57372712790695,-7.12785613211094,-1.48519646607312,-1.72292747758075,-1.23740278257841
"box_cox",1,500,-6.27759250315144,-7.01102484653646,-1.46307265754697,-1.69640959499102,-1.22170792621098
"box_cox",1,500,-5.99990326022294,-6.89893999155856,-1.44198627200688,-1.6786455595028,-1.20565964903626
"box_cox",1,500,-5.27763190823428,-6.59461942199102,-1.42266803729189,-1.65716977704057,-1.18390064496263
"box_cox",1,500,-5.20771512875224,-6.56408375416238,-1.40278654329342,-1.63512014889038,-1.16374250967444
"box_cox",1,500,-4.99556178771569,-6.47015068547613,-1.38351478497569,-1.61136159448019,-1.15184317988564
"box_cox",1,500,-4.18793671659054,-6.09288979406509,-1.36388134755739,-1.59012683461194,-1.13474310539281
"box_cox",1,500,-4.00945637196504,-6.004725394813,-1.34364168945492,-1.5698481792404,-1.11262521214212
"box_cox",1,500,-4.00705323188414,-6.0035250626837,-1.32492248178292,-1.54510261679478,-1.08878841228003
"box_cox",1,500,-3.98759499561581,-5.99379268145747,-1.3054898284273,-1.52450977173482,-1.07956819501002
"box_cox",1,500,-3.40659507459926,-5.69139273153061,-1.28626947702833,-1.50485883367689,-1.0582851779965
"box_cox",1,500,-3.22864638703482,-5.59368690179588,-1.26824411509105,-1.48539836596529,-1.04285931871586
"box_cox",1,500,-3.14956351884724,-5.54940193207095,-1.25060850116571,-1.46685940513302,-1.02827555935207
"box_cox",1,500,-3.05322066686102,-5.49469350121639,-1.23111439142451,-1.44729413989527,-1.00899421109433
"box_cox",1,500,-2.82846222865297,-5.36360653385795,-1.21330213339082,-1.4226067967478,-0.990139000725156
"box_cox",1,500,-2.68524659934527,-5.27734441238346,-1.19538971635389,-1.40866382032226,-0.969480682971505
"box_cox",1,500,-2.09711398688717,-4.89628312627559,-1.17755690407526,-1.38522630827452,-0.954718370207384
"box_cox",1,500,-1.95295060294446,-4.79496018071418,-1.15948361988085,-1.37058919440119,-0.93826527467835
"box_cox",1,500,-1.73994671503074,-4.63814079611437,-1.14201187933435,-1.35663232945189,-0.918855643922156
"box_cox",1,500,-1.60239120496286,-4.53171183586352,-1.12416824207779,-1.34237522092049,-0.907773335430843
"box_cox",1,500,-1.37378367544183,-4.3441703653462,-1.10635467729664,-1.31116274449817,-0.890906809739884
"box_cox",1,500,-1.1005251025274,-4.09811830221978,-1.08976678945961,-1.29038930868068,-0.880226025494021
"box_cox",1,500,-1.06267096906394,-4.06171867049211,-1.07327237689322,-1.2753933093041,-0.863354330083871
"box_cox",1,500,-1.05047386040278,-4.049852541431,-1.0573031163328,-1.2601294370394,-0.841597523269604
"box_cox",1,500,-0.999002257076434,-3.99900200807947,-1.04132169958181,-1.24084416635116,-0.8328862989431
"box_cox",1,500,-0.85129599862133,-3.84531406391577,-1.02542134787639,-1.22803875342762,-0.813763944129068
"box_cox",1,500,-0.6461369305434,-3.60765286121526,-1.0101877807581,-1.21312921114388,-0.801238862290367
"box_cox",1,500,-0.546124279360631,-3.47800443755847,-0.994087665011619,-1.19707816801826,-0.791127437542125
