"Scenario","Iteration","N_train","Latent_Min","Latent_Max"
"box_cox_sqrt",1,200,-42.0328925050484,286.456098106301
"box_cox_sqrt",2,200,-40.5444280321995,280.926640285414
"box_cox_sqrt",3,200,-28.5753085233062,259.337481577151
"box_cox_sqrt",4,200,-35.8627017757874,318.3191748239
"box_cox_sqrt",5,200,-38.4504288774643,241.948430131247
"box_cox_sqrt",6,200,-37.5014020777414,290.887721005851
"box_cox_sqrt",7,200,-40.139613466451,337.367996358083
"box_cox_sqrt",8,200,-49.9025500249552,269.079761634003
"box_cox_sqrt",9,200,-34.5220446930762,232.938288384032
"box_cox_sqrt",10,200,-41.459336071004,298.129556040259
"box_cox_log",1,200,-37.7510048018816,260.755926955688
"box_cox_log",2,200,-31.4416169975368,266.553620707865
"box_cox_log",3,200,-36.5262248344667,243.182561573299
"box_cox_log",4,200,-38.646985129507,390.366390340316
"box_cox_log",5,200,-36.5956525163179,318.12994792656
"box_cox_log",6,200,-32.5059756243892,268.778157205213
"box_cox_log",7,200,-41.4926109994977,249.787235050681
"box_cox_log",8,200,-39.2468613223279,290.442871183023
"box_cox_log",9,200,-39.1332279246601,263.546884229976
"box_cox_log",10,200,-31.4384630079983,300.492400858365
"identity",1,200,-37.5156996861377,378.26495340068
"identity",2,200,-44.4759438216746,368.259116700903
"identity",3,200,-32.6113070553475,189.861170379107
"identity",4,200,-40.4232322162456,344.72157542389
"identity",5,200,-42.4355990663117,402.698699615419
"identity",6,200,-33.6858131858007,307.263381654013
"identity",7,200,-38.0041111928077,270.777538182873
"identity",8,200,-29.4525022766937,288.758157861505
"identity",9,200,-36.3380448370518,271.156428595911
"identity",10,200,-37.7237184550762,222.981093237174
