"Scenario","Model","N_train","Mean_RMSE","Coverage_Q_80","Width_Q_80","Coverage_Q_90","Width_Q_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_80","Width_HPD_80","Coverage_HPD_90","Width_HPD_90","Coverage_HPD_95","Width_HPD_95","Mean_CRPS","Median_CRPS","Mean_Runtime"
"box_cox_log","bart",200,Inf,0.9753,5.25181022124946e+127,0.979,7.16357270987165e+127,0.9812,8.87260315491706e+127,0.9786,4.95898688381325e+127,0.9804,6.84398481065961e+127,0.9812,8.59966187992825e+127,3.41955225981975e+165,2.96774345575127e+113,0.826799999999997
"box_cox_log","bart_bc",200,Inf,0.962,4.46041851435143e+126,0.981,6.30796458628003e+126,0.9864,8.03321021946701e+126,0.9538,3.93903884879721e+126,0.9786,5.65800446076955e+126,0.9867,7.46500295042566e+126,3.41955225981975e+165,2.96774345575127e+113,2.1909
"box_cox_log","sblm",200,Inf,0.8153,4.97756868445618e+127,0.9014,1.29300681444216e+128,0.9395,2.68564283789298e+128,0.8167,5.44847236766116e+126,0.892,5.05929576997109e+127,0.9302,1.32320043214629e+128,3.41955225981975e+165,2.96774345575127e+113,2.2176
"box_cox_log","sebart",200,Inf,0.8416,1.04215334174505e+128,0.9105,1.80893639549742e+128,0.9436,2.39170853135974e+128,0.8068,4.34364324866322e+127,0.9101,1.04850989284065e+128,0.9553,1.83730009697706e+128,3.41955225981975e+165,3.03878188658957e+112,4.4596
"box_cox_sqrt","bart",200,590.511396162087,0.885,580.024669987943,0.9262,756.255231756202,0.947,911.146781458975,0.883,569.318857823599,0.9244,744.498212796484,0.9456,898.785750895258,755.353646503331,500.279408308366,0.9475
"box_cox_sqrt","bart_bc",200,1061.83750653918,0.8029,1218.5742476492,0.8842,1704.7611992067,0.9336,2219.17963454359,0.729,922.65600973021,0.8744,1338.20147137329,0.943,1795.99682956699,677.410628472477,513.040645297084,2.3648
"box_cox_sqrt","sblm",200,1253.67515250357,0.8131,1349.39393958993,0.9048,2146.5037043286,0.9417,3070.8488503545,0.7953,798.606124890418,0.884,1424.36501097519,0.9321,2238.83203849599,512.675896507347,465.011301845054,2.1644
"box_cox_sqrt","sebart",200,1006.05811398391,0.8301,985.253234838674,0.9019,1301.10650503769,0.9359,1591.58030603849,0.7721,739.548937225715,0.8789,1058.49881968354,0.9322,1356.28557855485,660.783359703215,509.950694662864,4.4153
"identity","bart",200,9.63571584022368,0.8294,21.4866224621265,0.9183,27.6186640832976,0.9542,32.8605893010087,0.825,21.1872314718367,0.9143,27.2801732782963,0.9541,32.5009530377497,30.9413926652579,24.1150857211998,1.0837
"identity","bart_bc",200,21.2255190734976,0.7905,55.7690666070706,0.8864,75.6151182040902,0.9392,95.2696367484074,0.7068,45.8942431899653,0.8686,64.4403883345429,0.9473,83.3526113530643,27.6189050540711,23.3263787171964,2.441
"identity","sblm",200,27.9693007838473,0.8096,59.9813741099989,0.9016,81.8736310945018,0.9387,102.738860605694,0.7911,51.9748283759285,0.8813,71.9937583267404,0.9239,92.0611870101655,22.3011863773255,19.8579221726805,2.22210000000001
"identity","sebart",200,15.2031912369851,0.8429,40.2142545254235,0.9128,51.5205780213163,0.949,61.2044874156902,0.78,34.3962323733216,0.8931,46.4722819517217,0.9424,56.8537582797603,28.2801553623143,23.9168075623266,4.508
