"Scenario","Iteration","N_train","ISE_raw_mean","ISE_raw_expected","Mu_mean","Sigma_mean"
"box_cox_sqrt",1,200,2300.20288401999,2300.21935793554,0.0606273085460533,0.309623826850748
"box_cox_sqrt",2,200,1562.61600803539,1562.63124074003,0.140029986754025,0.2998968160641
"box_cox_sqrt",3,200,1862.09023427793,1862.10607176041,0.0146861846718847,0.284360767967934
"box_cox_sqrt",4,200,1903.19044587496,1903.20626330528,0.0603257846428062,0.256789737112057
"box_cox_sqrt",5,200,2350.20996277504,2350.22610249353,-0.00219836810191697,0.29679179713112
"box_cox_sqrt",6,200,1870.71407325896,1870.73013312367,0.0373438674120135,0.280848601371489
"box_cox_sqrt",7,200,1574.36206981217,1574.37787596284,0.148673346231155,0.312454478975207
"box_cox_sqrt",8,200,1960.87957999471,1960.89580308376,0.017903576612066,0.287039439127816
"box_cox_sqrt",9,200,1537.42269074234,1537.43742471157,-0.0195646233343021,0.311455303088373
"box_cox_sqrt",10,200,1796.439586707,1796.45480082456,0.0563154669220976,0.291430212658888
"box_cox_log",1,200,2063.86396994921,2063.88120296779,0.135399933071802,0.29195246441136
"box_cox_log",2,200,1751.456841706,1751.4738500549,0.0573081292983406,0.272009989746317
"box_cox_log",3,200,1671.02143240053,1671.03994051102,0.119073968579239,0.343269414333822
"box_cox_log",4,200,1803.02387131275,1803.03950710582,0.0740364702484826,0.255824543824734
"box_cox_log",5,200,1911.50118934201,1911.51610029694,0.112516502986854,0.282793906271846
"box_cox_log",6,200,1438.43361217599,1438.44935279136,0.000338249967505802,0.32309223111172
"box_cox_log",7,200,1836.16405263907,1836.17849629424,0.116901465646215,0.314548742085984
"box_cox_log",8,200,1764.05344821616,1764.06857490556,0.0179492310975103,0.25992389861272
"box_cox_log",9,200,1575.05582860679,1575.07215385599,0.0364589839610831,0.290411045206061
"box_cox_log",10,200,1768.38915218984,1768.4062082722,0.31226684117788,0.315622785122595
"identity",1,200,1644.5383152543,1644.55316680252,-0.0569997976301023,0.269700261534694
"identity",2,200,1728.12019793921,1728.13776789296,0.0882869982292196,0.299641646959465
"identity",3,200,1608.09669971746,1608.11297887259,0.109879485977795,0.291579428040043
"identity",4,200,1505.80937508287,1505.8247255299,-0.0023582592323518,0.287012018023909
"identity",5,200,2050.14213247316,2050.15801537895,0.203153772204474,0.321713218727872
"identity",6,200,1883.51685955584,1883.53265265305,0.105881769274585,0.262744927111609
"identity",7,200,1523.06236849646,1523.07883714363,-0.00572104318217795,0.303926668521125
"identity",8,200,2639.29367701992,2639.30761390805,0.106369723600901,0.307722457032896
"identity",9,200,1870.99857761066,1871.01376203546,0.195739240469364,0.282392677927515
"identity",10,200,1805.39107967098,1805.40635373377,0.114348149166623,0.281661133124736
