"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"drbart",13.3244585330963,NA,NA,1844.124,0.564,19.7712863037661,NA,NA,0.656,23.7940297774931,NA,NA,0.705,25.8166027778314,NA,NA,"identity",1,200
"drbart",16.1970694232207,NA,NA,1731.689,0.531,12.9887434472687,NA,NA,0.605,15.8065528695214,NA,NA,0.668,18.1282755787036,NA,NA,"identity",2,200
"drbart",16.7228839090724,NA,NA,1639.718,0.444,17.2636010803457,NA,NA,0.517,19.9482836573349,NA,NA,0.578,22.220222899851,NA,NA,"identity",3,200
"drbart",15.3806612567884,NA,NA,1977.288,0.512,13.1727330970536,NA,NA,0.653,17.3835531061522,NA,NA,0.764,21.3321644158571,NA,NA,"identity",4,200
"drbart",13.4879379276125,NA,NA,1736.574,0.488,14.6627938795553,NA,NA,0.612,19.7415735946118,NA,NA,0.772,30.779682768323,NA,NA,"identity",5,200
"drbart",15.0828572822901,NA,NA,1820.267,0.62,20.5412506828138,NA,NA,0.757,28.4107535555312,NA,NA,0.839,36.8770034024526,NA,NA,"identity",6,200
"drbart",17.7949600400135,NA,NA,1760.956,0.49,15.4207385404798,NA,NA,0.601,20.3732326294396,NA,NA,0.688,25.2465025696092,NA,NA,"identity",7,200
"drbart",15.7198331702708,NA,NA,1636.126,0.364,13.955454741675,NA,NA,0.552,22.8345124107993,NA,NA,0.603,25.6079844737721,NA,NA,"identity",8,200
"drbart",13.670913260219,NA,NA,1705.602,0.519,16.5470815664396,NA,NA,0.687,23.8801806987734,NA,NA,0.735,27.0086137529976,NA,NA,"identity",9,200
"drbart",17.2217165538062,NA,NA,1632.268,0.4,12.6658446305031,NA,NA,0.497,16.4511535591598,NA,NA,0.581,19.842852416833,NA,NA,"identity",10,200
"drbart",772.052642321737,NA,NA,1505.688,0.485,332.621495205085,NA,NA,0.596,441.263383684499,NA,NA,0.705,552.058036775158,NA,NA,"box_cox",1,200
"drbart",971.588384658178,NA,NA,1611.381,0.561,334.656390641364,NA,NA,0.658,432.696952913913,NA,NA,0.727,514.083376639343,NA,NA,"box_cox",2,200
"drbart",977.702999141107,NA,NA,1765.55,0.564,340.382426846565,NA,NA,0.746,558.97863796706,NA,NA,0.876,1373.6677130414,NA,NA,"box_cox",3,200
"drbart",1480.56597265521,NA,NA,1637.427,0.568,622.912426348958,NA,NA,0.624,709.621111651333,NA,NA,0.717,893.459081611052,NA,NA,"box_cox",4,200
"drbart",954.423325528999,NA,NA,1722.279,0.571,646.986560224657,NA,NA,0.672,790.332458252542,NA,NA,0.896793587174349,1615.06711926283,NA,NA,"box_cox",5,200
"drbart",1041.53018076846,NA,NA,1816.949,0.535,391.430236308447,NA,NA,0.719,1278.04284730207,NA,NA,0.778,2153.13277668898,NA,NA,"box_cox",6,200
"drbart",927.823334861391,NA,NA,1727.383,0.678678678678679,782.532697306217,NA,NA,0.760847628657921,955.028813264952,NA,NA,0.830769230769231,1210.30675245272,NA,NA,"box_cox",7,200
"drbart",993.320710908342,NA,NA,1553.524,0.505,459.80855013648,NA,NA,0.644288577154309,703.361413024894,NA,NA,0.74222668004012,1139.05918192668,NA,NA,"box_cox",8,200
"drbart",926.843800540035,NA,NA,1618.079,0.595,599.357903495402,NA,NA,0.75,990.508017970067,NA,NA,0.801,1428.26041278085,NA,NA,"box_cox",9,200
"drbart",661.618655706102,NA,NA,1395.908,0.552,393.3847927639,NA,NA,0.658,508.944425298979,NA,NA,0.732,636.341456403634,NA,NA,"box_cox",10,200
"sebart",12.7738999456359,27.9963570993966,24.1329037661728,4.311,0.822,40.6016883436144,0.751,33.6274413747581,0.907,52.3790924312553,0.87,46.9532375662227,0.938,62.2024695934758,0.939,57.8417436394244,"identity",1,200
"bart",8.28288402496263,30.4570440915604,24.1165524268961,1,0.856,22.0387550285349,0.845,21.7443142282926,0.93,28.3146265064138,0.928,27.9664112344094,0.965,33.693739919894,0.966,33.3186386196674,"identity",1,200
"bart_bc",17.2380790418792,28.0036936095461,23.8235140253198,2.307,0.787,52.6792465886806,0.695,44.2046299503065,0.888,71.1406329746394,0.865,61.4588202716936,0.944,89.3039514334907,0.956,78.9323373656997,"identity",1,200
"sblm",25.2733142842631,22.4378574989594,20.0374600071633,2.083,0.818,65.1027408331453,0.805,54.7296773756065,0.928,91.1806892572699,0.902,78.1361506933729,0.964,117.58577200807,0.955,103.282845551355,"identity",1,200
"sebart",18.0817982720189,28.8645005456759,24.6517487848374,4.94,0.828,39.0375719118907,0.781,33.8577044852459,0.904,49.3318587614899,0.886,44.962016258445,0.936,57.9473625489003,0.941,54.367339645439,"identity",2,200
"bart",13.9427024995036,31.9884545678768,25.8534673085931,1.097,0.78,17.8724945747848,0.765,17.6481729012109,0.872,22.9611756279062,0.87,22.7084754256516,0.927,27.2867503147046,0.915,27.0085307540882,"identity",2,200
"bart_bc",25.0032528720046,27.8785735705228,24.635195013026,2.979,0.783,56.0074627293745,0.67,45.4595243664431,0.864,76.2181418771107,0.844,64.2784800396818,0.92,96.33352838819,0.927,83.6730281148238,"identity",2,200
"sblm",29.3864403410652,23.9062826497524,21.4728763872363,2.266,0.806,58.852283511591,0.81,52.547747629733,0.89,76.2499369918111,0.879,70.0632795704306,0.92,91.5159544137218,0.912,85.0674918927804,"identity",2,200
"sebart",15.7347805829828,29.21497131842,24.2080006132414,4.377,0.836,41.572156751065,0.778,35.0949249365346,0.915,52.5820376201317,0.895,48.0745065222877,0.95,63.2657959076632,0.948,57.9943539864575,"identity",3,200
"bart",8.728778403997,32.0414752599166,24.5945430134473,1.091,0.847,23.0704073299235,0.841,22.7436255735876,0.935,29.708105655958,0.929,29.3341810431614,0.972,35.4069323399671,0.971,35.0084152402603,"identity",3,200
"bart_bc",22.9171897715836,28.5617600643572,23.7388590729631,2.442,0.806,61.4767727637863,0.701,49.5616794897984,0.864,83.1426199603928,0.86,69.6703307936124,0.915,104.633337017682,0.921,90.2221152366131,"identity",3,200
"sblm",29.2562479296021,22.1364401805215,20.4366018465451,2.225,0.824,59.9434942382516,0.772,51.5279318625791,0.912,82.6052238563481,0.882,72.5328018302285,0.951,105.870801073013,0.936,93.4243761352315,"identity",3,200
"sebart",17.6708117757101,28.7721560631942,24.5927915856607,4.47,0.825,35.4112992497646,0.748,30.8447556315957,0.896,45.146123905261,0.873,41.1975349837949,0.929,52.9325913806003,0.925,49.8499909144029,"identity",4,200
"bart",13.5977217351055,31.0119935744905,24.5240244634995,1.048,0.815,19.0965011153631,0.814,18.85537806304,0.911,24.570761950213,0.907,24.2943234114535,0.94,29.2544646146392,0.943,28.9481288288124,"identity",4,200
"bart_bc",22.938891916398,27.7376187443953,24.1429785183552,2.402,0.791,50.4092919895321,0.704,42.5315178507383,0.869,67.4361816634632,0.846,58.5551942639319,0.924,83.8296679468407,0.924,74.3057981869741,"identity",4,200
"sblm",30.434832924423,22.5602259074382,20.348123912657,2.187,0.805,61.9215400060864,0.818,54.4083584847063,0.913,83.4476727860173,0.907,74.4546545093969,0.95,102.994223430862,0.942,94.0989002333959,"identity",4,200
"sebart",14.9567144325934,29.1632252978984,25.6260214779858,4.542,0.813,39.9732363396131,0.745,34.9792695447585,0.907,51.6355189260845,0.883,46.9652207794782,0.942,61.637909670433,0.937,57.3282601335579,"identity",5,200
"bart",9.02223505686873,32.4723312368384,25.9390798572827,1.112,0.863,21.1179968614807,0.845,20.8591897765436,0.94,27.1338866160152,0.937,26.828861771429,0.969,32.2810318690477,0.97,31.9624989467918,"identity",5,200
"bart_bc",20.4795653447135,28.7718141887809,25.3403511403172,2.458,0.774,52.9815225430354,0.668,44.3071265969808,0.862,71.390655354513,0.834,61.2675209184625,0.915,89.0432737757359,0.909,78.4342413039584,"identity",5,200
"sblm",27.0601903514907,22.9784098731999,20.7111164113611,2.24,0.821,64.7712186847829,0.803,56.2016940987218,0.907,87.7092950343294,0.899,77.4855858552308,0.941,108.306085624534,0.935,98.2884535847171,"identity",5,200
"sebart",14.6454305216091,30.084260176445,25.8142857541905,4.365,0.868,42.2410546990768,0.805,36.5457967177959,0.925,54.3690357582707,0.908,49.0127218660914,0.953,64.2913752563932,0.949,59.6228140093155,"identity",6,200
"bart",8.68558239941194,32.0363818411773,25.4230186540521,1.063,0.879,23.5295610084947,0.885,23.1896542895829,0.943,30.1772557144454,0.948,29.8204330207651,0.969,35.8619166638462,0.97,35.449189942747,"identity",6,200
"bart_bc",27.7451064643303,30.0182558022313,25.3681702693608,2.405,0.842,66.0089304114428,0.75,53.5752532140245,0.946,90.547005452917,0.927,76.247912682091,0.986,115.720356073833,0.989,100.126598588924,"identity",6,200
"sblm",28.5707590341732,23.550704133322,21.2628361012968,2.2,0.849,66.5817014207793,0.82,58.2381251699749,0.937,88.3664968911759,0.902,78.790642956015,0.958,109.080409717871,0.947,98.2660679423727,"identity",6,200
"sebart",18.8886441990785,28.9258466004467,24.3952140954716,4.464,0.841,41.9769052157994,0.79,36.5828573777515,0.898,53.7008891577844,0.891,48.18783860181,0.93,64.3044723311316,0.925,59.2989226497163,"identity",7,200
"bart",10.5552933785175,32.0957012032871,24.7199058908744,1.04900000000001,0.841,22.6990745770664,0.838,22.3559362819898,0.93,29.1322355043653,0.919,28.7550804826619,0.96,34.6620520910815,0.959,34.2537451625381,"identity",7,200
"bart_bc",22.423409746907,28.4251447593174,24.3190160299005,2.44399999999999,0.801,54.8197463812455,0.704,45.3655529511623,0.88,74.4759209803209,0.883,63.9135591910454,0.944,94.2123368143774,0.96,82.7407826298566,"identity",7,200
"sblm",33.3405099255183,22.7786907087595,20.748458327091,2.257,0.759,59.064825431555,0.737,48.7327273952689,0.861,82.5214786195735,0.833,69.3507841300786,0.914,105.83156195221,0.898,90.7973069661614,"identity",7,200
"sebart",14.4811011830899,28.3943310278059,23.4394378022635,4.547,0.833,41.5802386459903,0.777,35.7526901080622,0.89,53.7297223766859,0.874,47.6464796534521,0.931,63.0559240086444,0.921,58.4038219225163,"identity",8,200
"bart",8.38672637480107,29.6347614799295,22.9059830682463,1.099,0.829,23.6683354014144,0.821,23.3408234152348,0.93,30.3710534067104,0.93,30.0028643217263,0.973,36.1360197541738,0.971,35.737281610342,"identity",8,200
"bart_bc",25.0116144850626,27.9728207824589,22.9454998255982,2.47099999999999,0.802,60.6792341473007,0.727,49.4968636521212,0.893,82.846038163862,0.887,69.9964770820128,0.954,105.163194246907,0.965,91.302429140665,"identity",8,200
"sblm",26.6874174443691,19.9036526284249,18.5221007331755,2.294,0.827,66.8268352934948,0.79,56.6319445673285,0.926,92.9376460617675,0.901,79.8283013823091,0.968,118.79829605837,0.962,105.80819854968,"identity",8,200
"sebart",14.2645666879689,27.3203717160328,23.8620621432203,4.65100000000001,0.842,36.5895611554213,0.778,31.5631850412153,0.9,47.009882343238,0.881,42.3268700699219,0.928,55.474283298189,0.925,51.7857102852724,"identity",9,200
"bart",8.69307640450333,30.4901346007056,24.6839456990064,1.09999999999999,0.774,19.0754676839073,0.767,18.8266911526706,0.899,24.4718387546072,0.897,24.201835540552,0.942,29.0998978552845,0.938,28.8143983890285,"identity",9,200
"bart_bc",19.4219738491112,26.1251888744541,23.1286629968219,2.42299999999999,0.775,53.7139485216401,0.709,44.2476717695253,0.862,72.4500456849647,0.845,61.5897238920699,0.908,90.9639577581702,0.921,79.2133550879792,"identity",9,200
"sblm",26.4034039998753,20.557747602347,19.2977953787737,2.414,0.801,60.0988098803157,0.804,53.1228920206683,0.901,80.836747224954,0.884,71.9709863872411,0.939,99.7692262559113,0.936,90.1870187081635,"identity",9,200
"sebart",18.2713151784285,31.1661997851963,27.1460029047792,5.25,0.791,40.5172134635591,0.717,34.707210087277,0.874,51.9687671390534,0.839,46.6333223452883,0.921,61.6917158719505,0.908,57.3212698804493,"identity",10,200
"bart",12.0122031991202,33.5494004094027,26.8387335416602,1.139,0.817,21.2284735374137,0.813,20.93300890317,0.911,27.2314874372678,0.901,26.9076126743107,0.949,32.3867586698538,0.949,32.0332449214658,"identity",10,200
"bart_bc",24.9114519510153,29.6590456774784,26.0623241882051,2.688,0.8,59.3483570284229,0.713,48.8789202919993,0.891,80.6340280357702,0.881,68.7422190501689,0.959,101.993491039662,0.964,89.0619356040246,"identity",10,200
"sblm",30.6702940161366,24.2787565690384,21.9805503983022,2.27799999999999,0.811,62.2385074222405,0.797,53.3645389090704,0.885,82.1765356089161,0.868,72.5309242523919,0.916,99.953822576526,0.908,89.9849641642356,"identity",10,200
"sebart",14.1679850896786,29.0929992313482,24.7790226783652,4.625,0.868,46.1488234528041,0.821,39.6301976389902,0.912,58.5917877627924,0.923,53.1673463332619,0.94,69.3428478311149,0.942,64.5279649349875,"identity",11,200
"bart",8.94706899648127,33.1027178204852,26.0785158609123,1.14399999999998,0.833,20.2227826786667,0.826,19.959635149029,0.926,25.9838189591725,0.913,25.6943697291679,0.959,30.9224560939095,0.957,30.6035832683507,"identity",11,200
"bart_bc",19.9619888761493,28.7801626350172,24.7337048214619,2.49799999999999,0.836,66.2404418513639,0.767,53.0606329614539,0.904,90.3690214410982,0.91,75.6237940132362,0.956,114.534333723116,0.967,98.887180901807,"identity",11,200
"sblm",30.4691279896857,21.8038517289617,20.5721422439829,2.27600000000001,0.816,69.754498977586,0.802,58.5366793955175,0.905,94.6686186029974,0.893,82.2982720678424,0.944,116.872322723257,0.939,105.056717898123,"identity",11,200
"sebart",12.8820395809084,27.4720067763884,23.2879740141548,4.57899999999998,0.86,39.4185558720962,0.801,34.0609285063384,0.915,49.9149465082231,0.909,45.4686421407899,0.945,58.6186397355474,0.95,55.1513321170135,"identity",12,200
"bart",9.88792183300206,30.4205103495321,24.4700560915183,1.12400000000002,0.785,19.7553055980475,0.789,19.5086349367989,0.891,25.3645510002671,0.894,25.0837205119651,0.942,30.1767065858433,0.939,29.8664192254228,"identity",12,200
"bart_bc",19.0772862048953,26.5261620849588,23.1928978667623,2.46100000000001,0.82,55.0556193363944,0.73,45.0438937786282,0.889,74.8016222744149,0.881,63.3689160931157,0.939,94.2226220848305,0.951,82.1340294186941,"identity",12,200
"sblm",27.8753922557879,21.3671031102348,19.0463574872703,2.32900000000001,0.833,66.165876884254,0.824,58.7011415433476,0.922,87.944891873185,0.905,79.3818969136589,0.957,107.479740709087,0.947,99.4688191348166,"identity",12,200
"sebart",14.5656959721574,30.7189025107806,26.3120091232333,4.548,0.858,43.2456506953169,0.795,37.4477142472943,0.926,55.3592020536935,0.893,50.4589214973477,0.965,66.0970753635585,0.946,61.4483800832364,"identity",13,200
"bart",7.73501682145541,34.5064389055899,26.7921665472446,1.07199999999997,0.84,21.412624873614,0.838,21.1247118839654,0.924,27.4787040700674,0.921,27.1667081508484,0.96,32.6938292404374,0.962,32.3295606724427,"identity",13,200
"bart_bc",22.7251159558777,29.9357109707655,26.0332326404465,2.43099999999998,0.808,62.7616509439027,0.716,50.95546947563,0.911,85.6263943817043,0.901,72.2621371881311,0.958,108.868242672369,0.97,94.208668766489,"identity",13,200
"sblm",27.5346292870389,24.7068425867471,21.7903649806132,2.251,0.823,63.8166480186403,0.801,55.0590470925887,0.908,86.5045288311878,0.881,76.2379021768311,0.953,108.149854425203,0.935,97.0758795890631,"identity",13,200
