"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"sebart",12.7738999456359,27.9963570993966,24.1329037661728,4.311,0.822,40.6016883436144,0.751,33.6274413747581,0.907,52.3790924312553,0.87,46.9532375662227,0.938,62.2024695934758,0.939,57.8417436394244,"identity",1,200
"bart",8.28288402496263,30.4570440915604,24.1165524268961,1,0.856,22.0387550285349,0.845,21.7443142282926,0.93,28.3146265064138,0.928,27.9664112344094,0.965,33.693739919894,0.966,33.3186386196674,"identity",1,200
"bart_bc",17.2380790418792,28.0036936095461,23.8235140253198,2.307,0.787,52.6792465886806,0.695,44.2046299503065,0.888,71.1406329746394,0.865,61.4588202716936,0.944,89.3039514334907,0.956,78.9323373656997,"identity",1,200
"sblm",25.2733142842631,22.4378574989594,20.0374600071633,2.083,0.818,65.1027408331453,0.805,54.7296773756065,0.928,91.1806892572699,0.902,78.1361506933729,0.964,117.58577200807,0.955,103.282845551355,"identity",1,200
"sebart",18.0817982720189,28.8645005456759,24.6517487848374,4.94,0.828,39.0375719118907,0.781,33.8577044852459,0.904,49.3318587614899,0.886,44.962016258445,0.936,57.9473625489003,0.941,54.367339645439,"identity",2,200
"bart",13.9427024995036,31.9884545678768,25.8534673085931,1.097,0.78,17.8724945747848,0.765,17.6481729012109,0.872,22.9611756279062,0.87,22.7084754256516,0.927,27.2867503147046,0.915,27.0085307540882,"identity",2,200
"bart_bc",25.0032528720046,27.8785735705228,24.635195013026,2.979,0.783,56.0074627293745,0.67,45.4595243664431,0.864,76.2181418771107,0.844,64.2784800396818,0.92,96.33352838819,0.927,83.6730281148238,"identity",2,200
"sblm",29.3864403410652,23.9062826497524,21.4728763872363,2.266,0.806,58.852283511591,0.81,52.547747629733,0.89,76.2499369918111,0.879,70.0632795704306,0.92,91.5159544137218,0.912,85.0674918927804,"identity",2,200
"sebart",15.7347805829828,29.21497131842,24.2080006132414,4.377,0.836,41.572156751065,0.778,35.0949249365346,0.915,52.5820376201317,0.895,48.0745065222877,0.95,63.2657959076632,0.948,57.9943539864575,"identity",3,200
"bart",8.728778403997,32.0414752599166,24.5945430134473,1.091,0.847,23.0704073299235,0.841,22.7436255735876,0.935,29.708105655958,0.929,29.3341810431614,0.972,35.4069323399671,0.971,35.0084152402603,"identity",3,200
"bart_bc",22.9171897715836,28.5617600643572,23.7388590729631,2.442,0.806,61.4767727637863,0.701,49.5616794897984,0.864,83.1426199603928,0.86,69.6703307936124,0.915,104.633337017682,0.921,90.2221152366131,"identity",3,200
"sblm",29.2562479296021,22.1364401805215,20.4366018465451,2.225,0.824,59.9434942382516,0.772,51.5279318625791,0.912,82.6052238563481,0.882,72.5328018302285,0.951,105.870801073013,0.936,93.4243761352315,"identity",3,200
"sebart",17.6708117757101,28.7721560631942,24.5927915856607,4.47,0.825,35.4112992497646,0.748,30.8447556315957,0.896,45.146123905261,0.873,41.1975349837949,0.929,52.9325913806003,0.925,49.8499909144029,"identity",4,200
"bart",13.5977217351055,31.0119935744905,24.5240244634995,1.048,0.815,19.0965011153631,0.814,18.85537806304,0.911,24.570761950213,0.907,24.2943234114535,0.94,29.2544646146392,0.943,28.9481288288124,"identity",4,200
