"Scenario","Iteration","N_train","y","truth","mean","lower","upper"
"identity",1,200,-42.0328925050484,-42.0328925050484,-2.50565060370457,-2.9064596879031,-2.28479542768127
"identity",1,200,-28.4451975557425,-28.4451975557425,-2.36912925619349,-2.59397001355321,-2.16489264506375
"identity",1,200,-27.888832161371,-27.888832161371,-2.29172036929951,-2.44784975352105,-2.05735882925384
"identity",1,200,-22.862472065175,-22.862472065175,-2.22146497195316,-2.40535754910879,-1.96072486737394
"identity",1,200,-21.9038511218941,-21.9038511218941,-2.15022498423,-2.36088426397151,-1.86184162502408
"identity",1,200,-21.6115180623761,-21.6115180623761,-2.08507728137216,-2.31304275670401,-1.78862386442907
"identity",1,200,-19.2901102615656,-19.2901102615656,-2.01893958664429,-2.26026803034103,-1.71671455411205
"identity",1,200,-16.546532748585,-16.546532748585,-1.95383308584071,-2.22439968925681,-1.64444285780937
"identity",1,200,-15.1797004088662,-15.1797004088662,-1.8915514968823,-2.17265182583352,-1.56025526097759
"identity",1,200,-15.1640079372181,-15.1640079372181,-1.82730204869215,-2.1242208109783,-1.48444817298933
"identity",1,200,-12.8772467038244,-12.8772467038244,-1.76667117032526,-2.06690132471249,-1.42472125478381
"identity",1,200,-11.4704229855679,-11.4704229855679,-1.7082485392449,-2.01179299829832,-1.36587612227435
"identity",1,200,-11.3168486770761,-11.3168486770761,-1.65343641970653,-1.97268985787732,-1.30273424911762
"identity",1,200,-10.3310953329354,-10.3310953329354,-1.59674056710631,-1.90596632452199,-1.25276854413554
"identity",1,200,-8.75998939682812,-8.75998939682812,-1.54124213919534,-1.85922807440444,-1.17786350103884
"identity",1,200,-8.54068486628197,-8.54068486628197,-1.48781734483234,-1.81337394819962,-1.12492549258127
"identity",1,200,-8.49129111474345,-8.49129111474345,-1.4353822651423,-1.76326090407022,-1.06853273303213
"identity",1,200,-8.47950152075559,-8.47950152075559,-1.38396571630064,-1.70566629077221,-1.00917493841546
"identity",1,200,-8.11043771712816,-8.11043771712816,-1.33197906763505,-1.66263252425736,-0.963007842580044
"identity",1,200,-7.89147387573014,-7.89147387573014,-1.28183421934092,-1.61642490256138,-0.919885449560615
"identity",1,200,-7.42549444185966,-7.42549444185966,-1.23406805109039,-1.56333856385074,-0.875398145768847
"identity",1,200,-6.62881360216138,-6.62881360216138,-1.18555150632838,-1.51847535368915,-0.839196437700606
"identity",1,200,-6.6098618937983,-6.6098618937983,-1.14019199008947,-1.45800476962075,-0.79404811201248
"identity",1,200,-6.04175650068453,-6.04175650068453,-1.09490944940482,-1.41200077667543,-0.758122438150804
"identity",1,200,-5.93515045272568,-5.93515045272568,-1.05024618099285,-1.37598594405155,-0.724612268726297
"identity",1,200,-5.88750464390984,-5.88750464390984,-1.00695279837606,-1.3252895718411,-0.689438237622132
