"Scenario","Iteration","N_train","Latent_Min","Latent_Max"
"identity",1,500,-43.4970212773394,386.078975324058
"identity",2,500,-40.2768027282536,357.475907257359
"identity",3,500,-32.1329251841261,284.42633650371
"identity",4,500,-46.4244813637921,300.450286701988
"identity",5,500,-36.4338205956166,318.063830561614
"identity",6,500,-45.3251687338359,236.622484265844
"identity",7,500,-37.7223655473078,255.713473485086
"identity",8,500,-40.7074441283767,287.460927413445
"identity",9,500,-32.1815068917606,322.885032780259
"identity",10,500,-38.1417739501022,295.726136861851
"identity",11,500,-32.8233657278598,334.245617116912
"identity",12,500,-38.5619341350385,260.442444010101
"identity",13,500,-39.2221678582182,260.571434405666
"identity",14,500,-46.0791810481562,344.49966681189
"identity",15,500,-38.7221020554646,241.323082144896
"identity",16,500,-37.1711187890672,245.317573211321
"identity",17,500,-34.6955489413505,351.232833062769
"identity",18,500,-40.4204061768477,297.805850206946
"identity",19,500,-33.2687014676564,310.315584209233
"identity",20,500,-33.6054008072878,280.950735764718
"identity",21,500,-35.9877265282509,283.038368844251
"identity",22,500,-35.7282657514075,255.829921746362
"identity",23,500,-46.4805673331854,320.307512378052
"identity",24,500,-39.4107507964986,246.108071208966
"identity",25,500,-43.9397965860715,258.212720506607
"identity",26,500,-39.1602599938477,310.150144002081
"identity",27,500,-38.9412978449057,283.810079850594
"identity",28,500,-34.7299450675279,299.246917208882
"identity",29,500,-34.7459709653562,354.857586372547
"identity",30,500,-37.9663009503293,422.979661053995
"identity",31,500,-34.1894108201257,276.623737691924
"identity",32,500,-34.7631740589676,274.353692023505
"identity",33,500,-44.7460756232284,310.009574879539
"identity",34,500,-40.1673507886995,323.072865322575
"identity",35,500,-36.3354866987758,253.023021507633
"identity",36,500,-42.7705831663389,315.878324273156
"identity",37,500,-32.5021742047018,383.281028058024
"identity",38,500,-42.0240535164227,221.332906854837
"identity",39,500,-39.6759048828146,354.742121160538
"identity",40,500,-33.8823624048195,284.858177984627
"identity",41,500,-38.5588612778239,259.628558140246
"identity",42,500,-31.4199103823252,309.865753367382
"identity",43,500,-32.2173061875895,246.984939669838
"identity",44,500,-37.6225215385395,264.902938725707
"identity",45,500,-35.8083033210292,312.52652845608
"identity",46,500,-33.4593981043956,272.701522381615
"identity",47,500,-43.4126718101237,306.005045743204
"identity",48,500,-35.0016369038576,406.738968919195
"identity",49,500,-33.8053183005681,274.480973059705
"identity",50,500,-30.6043477401959,354.02255466938
"identity",51,500,-43.4614845080632,400.619129838709
"identity",52,500,-44.848138906504,387.129170612413
"identity",53,500,-35.3524637591378,235.242533751674
"identity",54,500,-39.406110894747,368.613999831468
"identity",55,500,-35.7348332113895,245.054541726907
"identity",56,500,-32.5176683418472,260.579283002237
"identity",57,500,-34.883097473088,235.956948040704
"identity",58,500,-36.6345707330555,285.28427487029
"identity",59,500,-37.9643433513302,299.741874247915
"identity",60,500,-38.1989760346838,407.76035680125
"identity",61,500,-36.8174626496909,255.439164593092
"identity",62,500,-42.282798489971,322.925907229596
"identity",63,500,-41.8706805800799,257.406032691026
"identity",64,500,-44.4630418651668,337.824528189405
"identity",65,500,-32.2095737175316,226.032512412308
"identity",66,500,-51.5044307034293,294.289802242003
"identity",67,500,-32.098742547487,246.91302072666
"identity",68,500,-44.1085068124468,281.814288417052
"identity",69,500,-35.8863087600032,371.676885515451
"identity",70,500,-39.153439414435,391.314556170047
"identity",71,500,-44.8260641243503,244.745957768154
"identity",72,500,-43.6587840948376,426.065684179889
"identity",73,500,-28.0345575422285,287.050085557918
"identity",74,500,-38.0985113511886,305.225407666536
"identity",75,500,-44.1025516164034,287.867369023008
"identity",76,500,-39.2718192284921,353.478854674718
"identity",77,500,-36.0147474301438,282.952204110748
"identity",78,500,-38.4409089068605,275.687660503165
"identity",79,500,-32.7077859408689,361.153702130183
"identity",80,500,-46.3115504255828,241.603696517465
"identity",81,500,-35.2677692671065,332.498851069268
"identity",82,500,-34.0249577984722,284.108795868529
"identity",83,500,-33.7515047794673,372.691992132011
"identity",84,500,-37.9218973882742,293.29339606841
"identity",85,500,-33.5490873851689,280.349067327368
"identity",86,500,-40.3656252643513,433.038749825477
"identity",87,500,-34.2240747282548,369.43145121922
"identity",88,500,-39.0460698415806,275.897325240031
"identity",89,500,-36.4727163152077,297.582437313673
"identity",90,500,-30.0285601825168,290.6349553104
"identity",91,500,-36.5117730686585,309.809905295502
"identity",92,500,-37.596998132156,277.348804076361
"identity",93,500,-38.5039266392471,324.896978249829
"identity",94,500,-40.6773835083048,281.389167519249
"identity",95,500,-30.2557124962071,368.372367679421
"identity",96,500,-36.1867389905587,283.896288533661
"identity",97,500,-36.7760885242248,337.262017709449
"identity",98,500,-33.6109737471095,329.295516137739
"identity",99,500,-44.645504196507,301.477773884215
"identity",100,500,-38.2187390541769,467.322303992011
