"Scenario","Iteration","N_train","Latent_Min","Latent_Max"
"sigmoid",1,150,-37.498771949274,267.502356250805
"sigmoid",2,150,-42.8029257512876,227.368989042353
"sigmoid",3,150,-36.3509399291209,259.074717940945
"sigmoid",4,150,-33.6669825482692,317.2793609285
"sigmoid",5,150,-44.1426753732459,256.825185846727
"sigmoid",6,150,-37.7754435660597,271.296773084544
"sigmoid",7,150,-39.0527044499669,322.373279874409
"sigmoid",8,150,-39.7664444636777,328.731013304478
"sigmoid",9,150,-34.0099330069408,292.9744525701
"sigmoid",10,150,-39.7723280972509,298.979132209407
"sigmoid",11,150,-33.049561152133,235.548382332173
"sigmoid",12,150,-40.6234681947362,331.030272060352
"sigmoid",13,150,-36.2081341072838,266.600394039859
"sigmoid",14,150,-39.8008631705037,243.87606140407
"sigmoid",15,150,-29.7793195515169,288.603179731563
"sigmoid",16,150,-40.662137945046,231.715529673744
"sigmoid",17,150,-41.4153395276667,310.644780141505
"sigmoid",18,150,-36.2947165338554,277.371068931772
"sigmoid",19,150,-29.42598685285,239.752358954875
"sigmoid",20,150,-44.5263498896347,336.245726584001
"sigmoid",21,150,-38.9040257318103,336.933953253978
"sigmoid",22,150,-38.3105232401965,236.806821072451
"sigmoid",23,150,-40.0135324722584,217.611917288287
"sigmoid",24,150,-37.838078415198,270.869343078518
"sigmoid",25,150,-37.6286343231434,296.640398609389
"sigmoid",26,150,-34.1471034646221,239.077752397652
"sigmoid",27,150,-43.2399805177656,258.666762147375
"sigmoid",28,150,-33.4818517522858,413.701061869351
"sigmoid",29,150,-34.9891480961193,296.194403981101
"sigmoid",30,150,-34.3727041291083,327.146732504374
"sigmoid",31,150,-36.5567035856565,418.44157450018
"sigmoid",32,150,-34.8136001871571,290.305314628321
"sigmoid",33,150,-57.0470854475007,237.05476531296
"sigmoid",34,150,-34.8714289194117,417.511205354964
"sigmoid",35,150,-37.5233179607175,322.424882686587
"sigmoid",36,150,-31.3196630363467,268.442069338673
