"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"sebart",4.86494866796745,4.83474669545782,4.29626714392456,4.156,0.833,9.07555889514397,0.846,6.38270820712359,0.906,11.2580874745705,0.908,9.14817191066656,0.935,12.8819676156773,0.938,11.3203367193759,"sigmoid",1,150
"bart",6.23128549839859,5.096248295451,4.83910267622716,1.09,0.424,5.23900155747413,0.42,5.18734148404852,0.534,6.72246010608377,0.533,6.66069944062173,0.617,7.99630538480196,0.618,7.93000434698815,"sigmoid",1,150
"bart_bc",13.8927194659035,7.63056500555088,6.62793825730217,2.263,0.858,49.753339980189,0.883,34.0905376826169,0.888,72.7788992736048,0.956,52.8173399833031,0.905,99.4283205016272,0.968,75.1069042090644,"sigmoid",1,150
"sblm",6.68376042925652,3.95111118007547,3.82057208066521,1.869,0.832,11.8567508248474,0.722,6.83078400356226,0.923,15.6235830104046,0.873,11.9148139015488,0.958,17.843718549313,0.936,15.7037164322106,"sigmoid",1,150
"lm",6.58365055991382,3.00679484432679,3.00823262942052,0.0239999999999991,0.785,17.7890212595635,0.782,17.6096424248866,0.81,22.8240308477633,0.809,22.6249758930035,0.834,27.1651718067107,0.832,26.9493001676607,"sigmoid",1,150
"sebart",5.32349562108595,5.54822783011273,4.20440535289083,4.03,0.855,9.66886190859301,0.806,6.69716269377626,0.919,11.9077658352182,0.919,9.71355527694235,0.947,13.5229177395294,0.954,11.9629854497463,"sigmoid",2,150
"bart",5.69553334952926,5.63383836431422,5.06888602659034,1.075,0.364,5.4425994997866,0.357,5.38983893182959,0.446,6.99326114388688,0.447,6.93078977791686,0.544,8.32368863848885,0.533,8.25126051938336,"sigmoid",2,150
"bart_bc",16.3148891401551,8.72600904157671,7.44436052820869,2.16,0.831,50.8164894607072,0.834,34.5924212500974,0.894,74.8908304654792,0.925,53.826157193868,0.932,102.987237632551,0.974,77.1722733985394,"sigmoid",2,150
"sblm",6.48560997792036,4.74386821452313,3.93736257991955,1.959,0.797,10.908246850446,0.759,7.46058494941501,0.887,13.3759191905161,0.873,10.9560513755645,0.926,15.1712824046512,0.916,13.4309829179231,"sigmoid",2,150
"lm",6.36583395800412,2.52525349789313,2.52756732261534,0.0229999999999997,0.824,20.4022074805317,0.826,20.1963521639695,0.849,26.095560217444,0.851,25.8658620116906,0.976,31.0420585769486,0.958,30.7764702612683,"sigmoid",2,150
"sebart",5.14728872995927,4.98944167612188,4.16626498104488,4.187,0.854,10.6205438237531,0.863,7.45225835055062,0.895,12.8887289325581,0.919,10.6999124557435,0.929,14.4716066159588,0.928,12.949723887175,"sigmoid",3,150
"bart",5.91421594100527,5.50427402555428,5.01998652496503,1.089,0.393,5.2275533809734,0.402,5.17419008682052,0.471,6.71718317874396,0.464,6.65338540229285,0.545,8.00193994507852,0.545,7.93437236845805,"sigmoid",3,150
"bart_bc",9.41024524002256,7.14037943694752,6.26596935408748,2.17,0.805,35.0333922195473,0.784,26.5779581079101,0.867,48.8486478044611,0.896,38.368782766791,0.897,63.3483231777589,0.941,51.2151677703888,"sigmoid",3,150
"sblm",6.51871663997806,4.06342257170316,3.79873470250739,1.844,0.838,12.2170497008493,0.753,7.92631776530886,0.922,15.400427267338,0.894,12.2631133847504,0.961,17.5528695408933,0.94,15.4631653607159,"sigmoid",3,150
"lm",6.65199284939047,2.86809821106138,2.86839585888953,0.0240000000000009,0.812,18.4497419316371,0.813,18.2664776129031,0.831,23.6123301870442,0.834,23.4080163225111,0.862,28.0574061926329,0.867,27.823874830878,"sigmoid",3,150
"sebart",4.97993954547479,5.21766593259884,4.30656037757445,4.07899999999999,0.849,9.93539517860011,0.853,7.03749424947624,0.901,12.243751763966,0.916,10.0011877924452,0.938,13.9283058463306,0.942,12.2997338464278,"sigmoid",4,150
"bart",5.7160918963658,5.54955914414649,5.17508723342456,1.11199999999999,0.337,5.35482879951815,0.336,5.30130024578639,0.449,6.87851508840241,0.436,6.8155051942175,0.527,8.19805237606697,0.529,8.12947133424311,"sigmoid",4,150
"bart_bc",13.9035577361181,7.96116032213667,6.7689940691144,2.25,0.848,50.0614520526217,0.885,32.5230682325995,0.889,75.3025299344169,0.946,52.4755682425899,0.919,105.680159653271,0.965,77.2242690604203,"sigmoid",4,150
"sblm",6.4221223461127,4.40146153556291,3.92681299190751,1.853,0.865,12.6159019991114,0.787,8.51924282543576,0.924,15.4428269516498,0.902,12.6585234946485,0.954,17.2203912191765,0.936,15.5092095708435,"sigmoid",4,150
"lm",6.28070788228617,2.7698881538109,2.77143531142001,0.0229999999999961,0.813,18.7086348593438,0.811,18.5137657796882,0.834,24.0097626610844,0.832,23.7902702087495,0.873,28.5765246819585,0.872,28.3455944098538,"sigmoid",4,150
"sebart",5.09774160503403,5.52437748445013,4.56541891224623,4.014,0.848,10.1045371605475,0.849,7.31366310470382,0.92,12.1677831244815,0.931,10.1609037390852,0.957,13.6152203448122,0.957,12.2166064411704,"sigmoid",5,150
"bart",5.92194412417134,5.69808917406555,5.38486371361143,1.082,0.347,5.31074968507014,0.346,5.2594444810556,0.437,6.82767816757545,0.441,6.76801328413082,0.534,8.13626642118523,0.526,8.06626429878764,"sigmoid",5,150
"bart_bc",9.44008903426132,7.39436097261877,6.45666208371363,2.326,0.83,36.3355588290065,0.828,26.9635532873685,0.872,50.6277374363859,0.956,39.3125200215531,0.909,65.9701126415214,0.98,52.709891449115,"sigmoid",5,150
"sblm",6.55556167354668,4.45306201695327,4.00169106304141,2.055,0.83,12.0021109076926,0.772,7.93884515415352,0.924,14.7984299015685,0.89,12.0498538307474,0.95,16.6579149052723,0.941,14.8611234711232,"sigmoid",5,150
"lm",6.527589412861,2.78766592693126,2.78424339828214,0.0260000000000034,0.798,18.8844797117226,0.798,18.6868910507475,0.819,24.2547258785716,0.822,24.0352445391722,0.854,28.892985383341,0.857,28.6496267677287,"sigmoid",5,150
"sebart",4.57324262165872,4.62953992850731,4.16269765455247,4.48299999999999,0.926,9.78617686011222,0.911,6.86452225257688,0.982,11.9883550755136,0.967,9.82974262826407,0.991,13.6061343104461,0.99,12.0372777742522,"sigmoid",6,150
"bart",6.05554010458796,5.1497638442273,4.83058316728965,1.179,0.425,5.34979057097309,0.421,5.29635959468514,0.534,6.86746068764929,0.532,6.80357963860019,0.61,8.16742429949364,0.608,8.10149531974603,"sigmoid",6,150
"bart_bc",9.07104536786658,6.88031011117191,6.09893709826091,2.44199999999999,0.864,40.3410312825681,0.918,29.7233856092178,0.91,56.299287002306,0.973,43.3139893628956,0.931,73.0706341744987,0.994,58.3175970258566,"sigmoid",6,150
"sblm",6.55948860426955,4.30722369588486,3.96035443386244,2.133,0.893,11.7118742802859,0.786,8.01840933542672,0.953,14.372653543723,0.918,11.7460157843298,0.975,16.3178840869358,0.957,14.4412325473366,"sigmoid",6,150
"lm",6.40058126836633,2.87212396671216,2.86979763667172,0.0330000000000013,0.799,18.1252277830508,0.803,17.9435618898549,0.822,23.2498234075822,0.821,23.0421780980295,0.848,27.6786956632469,0.849,27.4427843069947,"sigmoid",6,150
"sebart",4.64949232099663,4.98016595022421,4.50367368764138,4.592,0.806,8.13692768259052,0.835,5.85344729223298,0.881,9.989448095799,0.9,8.24892957988055,0.926,11.3714723016805,0.938,10.0521415912765,"sigmoid",7,150
"bart",6.25484629792198,5.15703727703585,4.88081084031017,1.196,0.472,5.2672780729949,0.469,5.21414486501062,0.572,6.76704134045387,0.575,6.7089181336171,0.657,8.06157225257759,0.65,7.99647429001837,"sigmoid",7,150
"bart_bc",10.7244304131858,7.48898063916247,6.57199493006537,2.41499999999999,0.811,38.6048507266139,0.817,29.4027254928084,0.854,54.3094551149655,0.903,42.5560377619655,0.882,71.1922656943087,0.931,57.1745469494944,"sigmoid",7,150
"sblm",6.85688258361386,4.1091344781497,3.93492277276221,2.06699999999999,0.771,11.002185755473,0.73,6.46921457303006,0.895,14.5072421085012,0.846,11.0575533142457,0.953,16.7524019696525,0.922,14.5751545599372,"sigmoid",7,150
"lm",6.67917860513059,3.16297012875052,3.16185073600606,0.0259999999999962,0.784,16.6443741893806,0.781,16.481074216799,0.797,21.3534274414267,0.798,21.1629751396446,0.813,25.4577584766029,0.814,25.2338479703493,"sigmoid",7,150
"sebart",4.82550759670868,4.93639707312004,4.32248365839491,4.465,0.85,10.3771075140937,0.886,7.39256009314668,0.918,12.5529542162507,0.942,10.4623135815946,0.947,14.0632762085832,0.965,12.6096539911284,"sigmoid",8,150
"bart",6.12031985011595,5.32473056834064,5.09363042929358,1.176,0.342,5.27581711242366,0.345,5.22279191300355,0.457,6.76095884627768,0.456,6.70453742000212,0.533,8.06501198398932,0.53,7.99766379959705,"sigmoid",8,150
"bart_bc",8.70673629099357,6.89572951789015,6.09831837952921,2.375,0.84,36.0633616238789,0.827,27.0076299142014,0.877,50.3850804179755,0.951,39.1736607010991,0.9,65.4557721699599,0.964,52.5648940434851,"sigmoid",8,150
"sblm",6.58560087727044,4.16147073736613,3.91071976847932,2.083,0.868,12.8046219046955,0.781,8.45506821182927,0.958,15.8598433177825,0.91,12.8517651883681,0.972,17.8430507541346,0.965,15.9243915970422,"sigmoid",8,150
"lm",6.43465138869208,3.06181459468897,3.06422762415426,0.0249999999999915,0.799,17.4430226150538,0.795,17.2611636904229,0.816,22.3323285935639,0.814,22.1347416629285,0.841,26.5256700543291,0.835,26.3093065970556,"sigmoid",8,150
"sebart",5.81017968190089,5.88819800706414,4.49868507629516,4.429,0.891,12.4891332956485,0.851,9.07186580613677,0.928,14.5268348673279,0.939,12.5269965606925,0.943,15.8051021363583,0.957,14.5608487082321,"sigmoid",9,150
"bart",5.71296103705161,5.71646929010312,5.37432896126399,1.197,0.335,5.61872171257016,0.327,5.5625384137717,0.44,7.21288163351558,0.434,7.15390305700277,0.525,8.591640478669,0.515,8.52495682789826,"sigmoid",9,150
"bart_bc",16.9149531467019,8.64794470601717,7.5996264947193,2.399,0.845,50.9351130654626,0.792,31.5964568397408,0.901,79.1220247600811,0.929,52.9995572043683,0.923,114.323370577225,0.974,80.9679671554081,"sigmoid",9,150
"sblm",6.29607007060244,4.29790387480445,3.84323544707395,2.10400000000001,0.853,15.2157196732839,0.848,10.6224611200542,0.916,17.7004060956235,0.908,15.2571941669901,0.954,19.00638856062,0.938,17.7581903465336,"sigmoid",9,150
"lm",6.44270985594014,2.73277506729266,2.7342432723093,0.027000000000001,0.823,21.0218372984416,0.823,20.8068530142813,0.859,26.9086611128942,0.86,26.679583776687,0.995,31.9958919074079,0.976,31.7361895508465,"sigmoid",9,150
"sebart",4.87438692056574,5.13053175579736,4.38299348373371,4.428,0.875,10.1770298440015,0.868,7.36601537681848,0.945,12.3824173255803,0.94,10.2311922501975,0.967,13.9252709969208,0.963,12.4289142919514,"sigmoid",10,150
