"Scenario","Model","N_train","Mean_RMSE","Coverage_Q_80","Width_Q_80","Coverage_Q_90","Width_Q_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_80","Width_HPD_80","Coverage_HPD_90","Width_HPD_90","Coverage_HPD_95","Width_HPD_95","Mean_CRPS","Median_CRPS","Mean_Runtime"
"arctangent","bart",150,64.0846487440365,0.43975,72.4253221813509,0.54676,92.9540450241221,0.62779,110.704441219309,0.43595,71.6893800050783,0.54259,92.1280093853374,0.62381,109.789031497449,73.2593287663662,67.7448880001259,1.16285000000006
"arctangent","bart",200,60.6536743696793,0.43278,67.3548276834101,0.53372,86.4475220040663,0.60999,102.940986518429,0.42926,66.67126792772,0.53008,85.6776804842808,0.60655,102.090953289747,76.1753755193671,70.1366033298275,1.19104999999994
"arctangent","bart",250,57.6141905395162,0.43796,63.4255607080032,0.53561,81.4131680610217,0.60885,96.9619969958469,0.43361,62.7816558027951,0.53106,80.6859147487268,0.60581,96.1592024966188,77.7670337858396,70.6757376511825,1.23494000000006
"arctangent","bart",500,49.9188532822124,0.47831,52.6839821646818,0.57193,67.583415556848,0.63635,80.4346856679137,0.47509,52.1383725162313,0.56796,66.9735839947891,0.63341,79.7610146357573,82.397867858418,71.5077096020643,1.48052000000003
"arctangent","bart_bc",150,352.232308393227,0.78855,815.563833233224,0.8619,1546.73392304456,0.93427,2577.37140424303,0.74262,406.602436147327,0.92219,959.056452075152,0.98898,1804.6277494018,104.27224831962,87.0294919439695,2.33446999999998
"arctangent","bart_bc",200,361.60367315101,0.78273,806.11362458268,0.86971,1468.06660173599,0.93378,2370.04101576449,0.70617,409.40750030469,0.90669,917.045838757412,0.983,1665.3933904368,109.016904938907,87.882798810163,2.42319000000009
"arctangent","bart_bc",250,362.946053073673,0.78261,800.233444673041,0.87919,1422.02799250763,0.94035,2252.15409644152,0.68806,412.277206517913,0.90177,894.326013064677,0.9829,1588.26433948961,112.145919344961,89.4416094124897,2.5552600000002
"arctangent","bart_bc",500,328.030530256529,0.78225,763.429526104701,0.87561,1272.87691855878,0.93339,1914.18075387002,0.67405,410.309385349761,0.8662,816.69789575444,0.9639,1364.45087283436,116.9508166373,96.0506110668382,3.1415200000006
"arctangent","lm",150,78.5225171471849,0.82183,240.157017440596,0.8589,307.931911441842,0.91202,366.31589530244,0.82093,237.730516762573,0.85832,305.208598901086,0.90878,363.300964218582,32.2339977198059,32.2032353378684,0.0250399999999718
"arctangent","lm",200,77.7152908333603,0.8202,239.967396385241,0.85917,307.711021106342,0.91129,366.118596897116,0.81931,237.531979512232,0.85755,304.985533613368,0.90838,363.109580880649,32.3433642594853,32.3859997633605,0.0249799999999595
"arctangent","lm",250,77.1126363119294,0.82132,239.028543800239,0.85945,306.448311962337,0.90985,364.530333959327,0.82046,236.620420521284,0.85842,303.74494353505,0.90721,361.527785457916,32.6417849818162,32.5719282124945,0.0249600000006467
"arctangent","lm",500,76.837485407043,0.81968,239.837449862832,0.85681,307.51995428148,0.90824,365.809793653083,0.81872,237.418877665842,0.85527,304.802101789064,0.90602,362.798303392813,32.6912633107499,32.6849397397976,0.0257499999995343
"arctangent","sblm",150,80.1697780519986,0.80653,162.660056422458,0.89392,201.459283607267,0.93352,228.972294677211,0.75711,119.860303742291,0.8686,168.877174485615,0.92103,205.479164429371,60.0526399372746,54.1539857099338,1.97999000000001
"arctangent","sblm",200,79.120204427439,0.81471,165.196693167314,0.90323,204.493558883232,0.94267,231.880949735484,0.76782,121.631652155785,0.87958,171.574260606904,0.93197,208.605794487442,59.6162665923074,54.3519667866411,2.23052999999993
"arctangent","sblm",250,78.703810175909,0.81482,165.61536433988,0.90083,204.77904717625,0.94013,232.030308804269,0.7718,121.841634896988,0.8836,171.991204712464,0.9325,208.909896775674,59.312087130841,54.1302134671514,2.5256500000001
"arctangent","sblm",500,78.9242341308984,0.81625,164.840098183085,0.904,203.521048162374,0.94309,230.70820524119,0.77357,121.967790821632,0.88532,171.417474979431,0.93661,207.864432445938,59.6883602029339,54.1559393966001,1.37790999999976
"arctangent","sebart",150,58.3268067838371,0.84845,133.058085991233,0.91118,162.181949624318,0.94319,183.727933920483,0.80889,105.040063925043,0.90742,140.522315621401,0.94469,167.19163789389,73.9843383032982,64.8237944561331,4.28967
"arctangent","sebart",200,56.1619573485214,0.83845,122.439363630018,0.90554,150.256721566379,0.93946,171.354924702503,0.79702,97.1794003904361,0.89681,130.081251572619,0.9423,155.572833811375,76.318749274646,66.3618464665953,4.49820000000011
"arctangent","sebart",250,54.4660804948413,0.83812,116.0881128155,0.90492,143.12484354739,0.93854,163.875927294495,0.79425,92.3699259133304,0.8949,123.658217420362,0.94067,148.380545198365,77.5372631363519,66.4327044643637,4.79659000000007
"arctangent","sebart",500,49.2310770224337,0.82453,96.5670570083931,0.89201,120.291255253807,0.92779,138.995065755594,0.78171,77.7785125615678,0.8791,104.006092867088,0.92654,125.516787905995,81.3123930093064,68.1964868518475,6.10456999999973
