"Scenario","Iteration","N_train","adjustment","y","truth","mean","lower","upper"
"sigmoid",1,150,"raw",0.000105601726526489,-24.3031256611937,-2.21320912190995,-2.60727521176134,-1.84640306544475
"sigmoid",1,150,"raw",0.000731327052016411,-20.4326910024465,-2.01925458278417,-2.36627856624558,-1.6970471605844
"sigmoid",1,150,"raw",0.00726421545080431,-15.8403279496995,-1.89203908794402,-2.18961910500022,-1.58166786361705
"sigmoid",1,150,"raw",0.0151534674837103,-14.3690004188055,-1.79399514808445,-2.09913711327821,-1.4569520625319
"sigmoid",1,150,"raw",0.0156046480458921,-14.3102763881153,-1.70892946296122,-2.01460480312239,-1.36941977837418
"sigmoid",1,150,"raw",0.0231461754645907,-13.521000026786,-1.62425128468712,-1.93587204843602,-1.2406187790482
"sigmoid",1,150,"raw",0.0517192823183933,-11.9101351230399,-1.54603028916629,-1.88860459226682,-1.16608477660076
"sigmoid",1,150,"raw",0.0833269854259867,-10.9530800968889,-1.46778931057398,-1.8232516217483,-1.07201160739456
"sigmoid",1,150,"raw",0.118847707416817,-10.2393690740678,-1.39219571586662,-1.75413636081605,-0.995513462939598
"sigmoid",1,150,"raw",0.239928855339669,-8.82215225684447,-1.31744824087908,-1.6894895124155,-0.911811546626667
"sigmoid",1,150,"raw",0.327942030289197,-8.18823534972762,-1.24439162073417,-1.62496158247156,-0.833948702737525
"sigmoid",1,150,"raw",0.464916961104694,-7.47621689376909,-1.1742089994103,-1.5540435869334,-0.769637358410468
"sigmoid",1,150,"raw",0.579594047034197,-7.02350341182151,-1.10486056609169,-1.47968901705011,-0.707043380791007
"sigmoid",1,150,"raw",0.667750241636741,-6.73123147690293,-1.0394949391588,-1.41990286650456,-0.646833944296277
"sigmoid",1,150,"raw",0.748409217485073,-6.49479812755091,-0.977215609779183,-1.36671863538567,-0.583372211057028
"sigmoid",1,150,"raw",1.00448850286965,-5.87944850936527,-0.915721845628111,-1.30080561086195,-0.508511601882168
"sigmoid",1,150,"raw",1.47517059831567,-5.06067663815032,-0.856894257899226,-1.2364661178959,-0.465809100072058
"sigmoid",1,150,"raw",2.41423722790984,-3.97141250343836,-0.796944083638511,-1.19001133855941,-0.398758894928751
"sigmoid",1,150,"raw",2.69992934060748,-3.71496996666176,-0.738605602678769,-1.12898970257193,-0.34446847151296
"sigmoid",1,150,"raw",3.01818881770154,-3.45497183715927,-0.685923164499036,-1.08539824237946,-0.295175700355169
"sigmoid",1,150,"raw",4.05701929361603,-2.7371402228262,-0.632821601648227,-1.0312423583652,-0.256676186937013
"sigmoid",1,150,"raw",4.18159645613823,-2.66096188506362,-0.58451949055852,-0.970063200799927,-0.20962037890168
"sigmoid",1,150,"raw",6.00672694664015,-1.69139343795597,-0.533991775917026,-0.909786368445454,-0.169570421756682
"sigmoid",1,150,"raw",7.82290125038583,-0.885003092746289,-0.48538870580188,-0.875533261033804,-0.123683654368374
"sigmoid",1,150,"raw",8.99094378912942,-0.405000801795835,-0.440893344211197,-0.828964088999958,-0.0740698754024644
"sigmoid",1,150,"raw",10.0059368910052,0.00237475668109332,-0.398038782815378,-0.799141304124675,-0.0511227112015507
"sigmoid",1,150,"raw",11.5836931567275,0.638854463810639,-0.356616830171132,-0.74650742413458,-0.0202246958029569
"sigmoid",1,150,"raw",12.2580400042267,0.919054327211077,-0.318630030034604,-0.711737998453445,0.0112904788931011
"sigmoid",1,150,"raw",13.7521032910517,1.57789379698811,-0.2782439176265,-0.659565614090716,0.0457969774998676
"sigmoid",1,150,"raw",15.9599456103722,2.74764805896569,-0.240947608404149,-0.62068947810431,0.0683029969904273
"sigmoid",1,150,"raw",16.1529281042894,2.86957805526596,-0.207175626471335,-0.570578569086576,0.089942242942415
"sigmoid",1,150,"raw",16.3417674099951,2.99348823266915,-0.171259491296484,-0.511277151947243,0.120466499439971
"sigmoid",1,150,"raw",17.4223676791614,3.8217672139872,-0.137744323500052,-0.48053005023003,0.142333278214229
"sigmoid",1,150,"raw",17.6615526824425,4.04380588509923,-0.108181661442281,-0.446961917291721,0.162348340564172
"sigmoid",1,150,"raw",17.6825144558229,4.06418697338095,-0.0782777927870293,-0.412300544120282,0.191805816500049
"sigmoid",1,150,"raw",17.9846015932254,4.37739805678832,-0.0503986116846276,-0.378417488124829,0.20873053500043
"sigmoid",1,150,"raw",18.0634464024924,4.46596092676241,-0.022238967098601,-0.336084405948603,0.222521552039569
"sigmoid",1,150,"raw",18.4037501598404,4.88979485730608,0.00351349004231939,-0.30403372738356,0.241846644810539
"sigmoid",1,150,"raw",18.5299869140682,5.06823806269827,0.0274272045501838,-0.268071130673037,0.261502367027632
"sigmoid",1,150,"raw",19.0714317917292,6.04460587563087,0.0517806025521372,-0.236994047987557,0.290538662702536
"sigmoid",1,150,"raw",19.1226843118609,6.16352735671918,0.07419293318277,-0.203304043864839,0.300600578610277
"sigmoid",1,150,"raw",19.4469552092286,7.12001359613436,0.0948105188949472,-0.181069814582954,0.331037487898284
"sigmoid",1,150,"raw",19.5025082773152,7.33743889448984,0.116604809177423,-0.154871447174014,0.347527883408086
"sigmoid",1,150,"raw",19.5083897760804,7.3618274444836,0.135111341419897,-0.137376094910485,0.371569866481628
"sigmoid",1,150,"raw",19.618222975262,7.87875484720086,0.153247687008628,-0.119604382135628,0.386005721445997
"sigmoid",1,150,"raw",19.6535630067946,8.07662592011374,0.169842505884659,-0.0957819061172555,0.415095472320138
"sigmoid",1,150,"raw",19.7544177870833,8.77500132012952,0.185553832510338,-0.0774345383236789,0.42437178357843
"sigmoid",1,150,"raw",19.8303583541316,9.52256209195884,0.200199336168901,-0.060505092230784,0.443056242582882
"sigmoid",1,150,"raw",19.8629626924763,9.95271779780232,0.214320749137732,-0.0382571899735617,0.456328201916118
"sigmoid",1,150,"raw",19.884334032625,10.2939620412555,0.227657476927098,-0.0188770322087781,0.470918713880101
"sigmoid",1,150,"raw",19.8875118136374,10.3499981212983,0.239669628879134,-0.000794259062443065,0.485024621137689
"sigmoid",1,150,"raw",19.895865587518,10.5051694746377,0.251390266769267,0.012015336649687,0.496333680807543
"sigmoid",1,150,"raw",19.9259387397895,11.1897700495982,0.262364722580414,0.0352086043909133,0.508840629565055
"sigmoid",1,150,"raw",19.9259919511147,11.1912128613117,0.272165072884582,0.0470341730397777,0.520000782453971
"sigmoid",1,150,"raw",19.949818438332,11.9706553193268,0.281447580587075,0.0648708870601968,0.530355976829441
"sigmoid",1,150,"raw",19.9525109461283,12.0812220733626,0.290306628507924,0.070931297796847,0.537941527767479
"sigmoid",1,150,"raw",19.9613782517791,12.4954781099065,0.297797363292627,0.0746791469180513,0.556590792931033
"sigmoid",1,150,"raw",19.9797606969846,13.7896973343534,0.30465151350926,0.0822352270706037,0.568681715966117
"sigmoid",1,150,"raw",19.9817860735165,14.0007798968012,0.311457470779297,0.0924920836270155,0.577263763985961
"sigmoid",1,150,"raw",19.9823939873768,14.0687327883808,0.317986831851599,0.0941687729915069,0.596548633166352
"sigmoid",1,150,"raw",19.986571128782,14.6108178514869,0.323911757618269,0.104945120823234,0.605811879673179
"sigmoid",1,150,"raw",19.9874871490442,14.752211043062,0.329017152639215,0.110291569340086,0.614176022549068
"sigmoid",1,150,"raw",19.9882761487177,14.8825517004432,0.333616412314164,0.11273664780671,0.629847248588299
"sigmoid",1,150,"raw",19.9904753852455,15.2982634677757,0.337620136224117,0.118168506949627,0.63732116165067
"sigmoid",1,150,"raw",19.9909014899858,15.3898437162224,0.341237880076215,0.122751681107003,0.651642882314985
"sigmoid",1,150,"raw",19.9918119804419,15.6008120226211,0.344734832120143,0.130138284499378,0.65926746155417
"sigmoid",1,150,"raw",19.9928442810324,15.8704356199203,0.347889833722213,0.141337787955774,0.671125673268636
"sigmoid",1,150,"raw",19.993428072325,16.0407034141313,0.350990588173705,0.144398581185735,0.676295220871565
