"Scenario","Iteration","N_train","ISE_raw_mean","ISE_raw_expected","ISE_adjusted_mean","ISE_adjusted_expected","Mu_mean","Sigma_mean"
"sigmoid",1,150,Inf,Inf,Inf,Inf,0.395064703519777,0.343702508334716
"sigmoid",2,150,Inf,Inf,Inf,Inf,0.334885550458215,0.360983460989423
"sigmoid",3,150,Inf,Inf,Inf,Inf,0.432461617921982,0.328809087429937
"sigmoid",4,150,Inf,Inf,Inf,Inf,0.59584177564596,0.445769482945593
"sigmoid",5,150,Inf,Inf,Inf,Inf,0.279383654931301,0.341841968706291
"sigmoid",6,150,Inf,Inf,Inf,Inf,0.535729040350416,0.437627799000384
"sigmoid",7,150,Inf,Inf,Inf,Inf,0.167208712825279,0.343665467728111
"sigmoid",8,150,Inf,Inf,Inf,Inf,0.451179067352797,0.39769104533981
"sigmoid",9,150,Inf,Inf,Inf,Inf,0.382496683077607,0.383183337000964
"sigmoid",10,150,Inf,Inf,Inf,Inf,0.501627920719343,0.383562959578021
"sigmoid",11,150,Inf,Inf,Inf,Inf,0.580704806864051,0.467283318971133
"sigmoid",12,150,Inf,Inf,Inf,Inf,0.33045399900219,0.333972975522619
"sigmoid",13,150,Inf,Inf,Inf,Inf,0.662863224680058,0.444133701543799
"sigmoid",14,150,Inf,Inf,Inf,Inf,0.152556535972275,0.275465296457415
"sigmoid",15,150,Inf,Inf,Inf,Inf,0.330203912680771,0.407574011943977
"sigmoid",16,150,Inf,Inf,Inf,Inf,0.473326120398482,0.385622208588883
"sigmoid",17,150,Inf,Inf,Inf,Inf,0.498343866979304,0.35563328355015
"sigmoid",18,150,Inf,Inf,Inf,Inf,0.517189111789811,0.40125011269187
"sigmoid",19,150,Inf,Inf,Inf,Inf,0.298556182182593,0.316649046842067
"sigmoid",20,150,Inf,Inf,Inf,Inf,0.337190524158093,0.319136629120644
"sigmoid",21,150,Inf,Inf,Inf,Inf,0.282842284409398,0.394384401440772
"sigmoid",22,150,Inf,Inf,Inf,Inf,0.722916413252995,0.422997216077111
"sigmoid",23,150,Inf,Inf,Inf,Inf,0.602058101603212,0.414546364236952
"sigmoid",24,150,Inf,Inf,Inf,Inf,0.569929535033116,0.400898995241612
"sigmoid",25,150,Inf,Inf,Inf,Inf,0.763814592635169,0.40956720737677
"sigmoid",26,150,Inf,Inf,Inf,Inf,0.252395117146234,0.327207882555319
"sigmoid",27,150,Inf,Inf,Inf,Inf,0.530726329124946,0.349647980643087
"sigmoid",28,150,Inf,Inf,Inf,Inf,0.435614069195765,0.353510481105904
"sigmoid",29,150,Inf,Inf,Inf,Inf,0.375871118575349,0.331037043199658
"sigmoid",30,150,Inf,Inf,Inf,Inf,0.389495353030576,0.415529214379594
"sigmoid",31,150,Inf,Inf,Inf,Inf,0.456804564468159,0.3685520055848
"sigmoid",32,150,Inf,Inf,Inf,Inf,0.431539926082183,0.395164043097575
"sigmoid",33,150,Inf,Inf,Inf,Inf,0.223355428340519,0.339689726477996
"sigmoid",34,150,Inf,Inf,Inf,Inf,0.058152368292596,0.324510485539112
"sigmoid",35,150,Inf,Inf,Inf,Inf,0.645667592443097,0.3913229242701
"sigmoid",36,150,Inf,Inf,Inf,Inf,0.247970990877131,0.376620376428662
"sigmoid",37,150,Inf,Inf,Inf,Inf,0.472766181598593,0.375689228189056
"sigmoid",38,150,Inf,Inf,Inf,Inf,0.435641045986053,0.342532964444679
"sigmoid",39,150,Inf,Inf,Inf,Inf,0.435962657786298,0.348993858849862
"sigmoid",40,150,Inf,Inf,Inf,Inf,0.498733339750679,0.337500737526027
"sigmoid",41,150,Inf,Inf,Inf,Inf,0.242351500944385,0.33808778178106
"sigmoid",42,150,Inf,Inf,Inf,Inf,0.393945173858248,0.31144922291371
"sigmoid",43,150,Inf,Inf,Inf,Inf,0.349240112119405,0.407547898226716
"sigmoid",44,150,Inf,Inf,Inf,Inf,0.262377593702511,0.309917366790825
"sigmoid",45,150,Inf,Inf,Inf,Inf,0.48994215958555,0.366023977676828
"sigmoid",46,150,Inf,Inf,Inf,Inf,0.32135509489638,0.345489233456688
"sigmoid",47,150,Inf,Inf,Inf,Inf,0.505742404908508,0.350541155489928
"sigmoid",48,150,Inf,Inf,Inf,Inf,0.381027638978423,0.402390695090438
"sigmoid",49,150,Inf,Inf,Inf,Inf,0.59048843747813,0.396086805678357
"sigmoid",50,150,Inf,Inf,Inf,Inf,0.399575210382184,0.421494498813479
"sigmoid",51,150,Inf,Inf,Inf,Inf,0.584033100330918,0.36316048876913
"sigmoid",52,150,Inf,Inf,Inf,Inf,0.253768495673042,0.350654436180946
"sigmoid",53,150,Inf,Inf,Inf,Inf,0.341771325931383,0.344951084920915
"sigmoid",54,150,Inf,Inf,Inf,Inf,0.319485635317785,0.372861788542854
"sigmoid",55,150,Inf,Inf,Inf,Inf,0.368121113423439,0.302556559181589
"sigmoid",56,150,Inf,Inf,Inf,Inf,0.45481724656567,0.383828728269818
"sigmoid",57,150,Inf,Inf,Inf,Inf,0.406671882997733,0.384156341069317
"sigmoid",58,150,Inf,Inf,Inf,Inf,0.26407461924779,0.345735749306868
"sigmoid",59,150,Inf,Inf,Inf,Inf,0.54192238057868,0.359989966776613
"sigmoid",60,150,Inf,Inf,Inf,Inf,0.496705857082296,0.368880038698477
"sigmoid",61,150,Inf,Inf,Inf,Inf,0.270384180635071,0.379984696939398
"sigmoid",62,150,Inf,Inf,Inf,Inf,0.627126175314086,0.436432556815452
"sigmoid",63,150,Inf,Inf,Inf,Inf,0.438487150994437,0.362819004034475
"sigmoid",64,150,Inf,Inf,Inf,Inf,0.384771757471342,0.393427171068
"sigmoid",65,150,Inf,Inf,Inf,Inf,0.426244211560801,0.355894788445151
"sigmoid",66,150,Inf,Inf,Inf,Inf,0.404243193563616,0.393164653842629
"sigmoid",67,150,Inf,Inf,Inf,Inf,0.284886192202961,0.327056845774144
"sigmoid",68,150,Inf,Inf,Inf,Inf,0.266521341995863,0.337736635450168
"sigmoid",69,150,Inf,Inf,Inf,Inf,0.290752041230631,0.323924025917048
"sigmoid",70,150,Inf,Inf,Inf,Inf,0.295813131924584,0.319407051283311
"sigmoid",71,150,Inf,Inf,Inf,Inf,0.541968487033111,0.451499090373906
"sigmoid",72,150,Inf,Inf,Inf,Inf,0.357288529014361,0.378881005458598
"sigmoid",73,150,Inf,Inf,Inf,Inf,0.305229262178093,0.326074096748748
"sigmoid",74,150,Inf,Inf,Inf,Inf,0.356067107056757,0.413334205816629
"sigmoid",75,150,Inf,Inf,Inf,Inf,0.60739522111236,0.437492763371222
"sigmoid",76,150,Inf,Inf,Inf,Inf,0.168855698063449,0.331856499794226
"sigmoid",77,150,Inf,Inf,Inf,Inf,0.529671280939099,0.396769994365295
"sigmoid",78,150,Inf,Inf,Inf,Inf,0.469476226677682,0.350699315934922
"sigmoid",79,150,Inf,Inf,Inf,Inf,0.381683888110011,0.358233814065707
"sigmoid",80,150,Inf,Inf,Inf,Inf,0.313827188315465,0.402126110329186
"sigmoid",81,150,Inf,Inf,Inf,Inf,0.326940301971939,0.382138437852855
"sigmoid",82,150,Inf,Inf,Inf,Inf,0.397798105505938,0.349485025670368
"sigmoid",83,150,Inf,Inf,Inf,Inf,0.396819994512003,0.296882716776169
"sigmoid",84,150,Inf,Inf,Inf,Inf,0.302996496876138,0.330227476269321
"sigmoid",85,150,Inf,Inf,Inf,Inf,0.396712641497808,0.371061273049853
"sigmoid",86,150,Inf,Inf,Inf,Inf,0.405079470104829,0.339315173650474
"sigmoid",87,150,Inf,Inf,Inf,Inf,0.422277272614863,0.342642605182671
"sigmoid",88,150,Inf,Inf,Inf,Inf,0.33046257891733,0.33308456392918
"sigmoid",89,150,Inf,Inf,Inf,Inf,0.227408628214123,0.345624705589602
"sigmoid",90,150,Inf,Inf,Inf,Inf,0.367108966978945,0.357866270425731
"sigmoid",91,150,Inf,Inf,Inf,Inf,0.278678640034111,0.363942890895733
"sigmoid",92,150,Inf,Inf,Inf,Inf,0.443036430036216,0.353134018568992
"sigmoid",93,150,Inf,Inf,Inf,Inf,0.246185001947033,0.308984167799031
"sigmoid",94,150,Inf,Inf,Inf,Inf,0.3604644293865,0.300257898151233
"sigmoid",95,150,Inf,Inf,Inf,Inf,0.37265782845083,0.394456767744105
"sigmoid",96,150,Inf,Inf,Inf,Inf,0.186645568147756,0.309074444569634
"sigmoid",97,150,Inf,Inf,Inf,Inf,0.386457615996249,0.364364658827033
