"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"sebart",4.9513774898396,5.51040736526423,4.63237873995864,4.375,0.841,10.0203918006471,0.868,7.40540428350682,0.921,12.0286392854676,0.945,10.1072120183036,0.949,13.4762691864824,0.967,12.0869988649187,"sigmoid",1,200
"sebart",5.08312007984054,5.21331476586906,4.18595106465523,4.238,0.88,10.0818360162309,0.852,7.15049085465129,0.936,12.1987316522432,0.926,10.1400422678513,0.969,13.7239174272992,0.953,12.2510237091311,"sigmoid",2,200
"sebart",4.55596425263041,4.67672771848506,3.74323493942692,4.331,0.863,7.6683603892928,0.853,5.14049650089428,0.936,9.9333426950946,0.916,7.74731327867126,0.967,11.6831646522283,0.956,9.99612162682891,"sigmoid",3,200
"sebart",4.55664838334349,5.25994366375683,4.22911182740449,4.352,0.842,8.64705701760593,0.849,6.01234826362571,0.919,10.8186034438526,0.924,8.738706791783,0.949,12.4439004491968,0.959,10.8905001323403,"sigmoid",4,200
"sebart",4.80651774988,5.4542638500102,4.35018532063027,4.221,0.851,8.85889472663971,0.843,6.2597489810263,0.925,11.0351841868879,0.922,8.94186116337567,0.958,12.6510904125861,0.957,11.0953392260911,"sigmoid",5,200
"sebart",5.59297155981691,6.00812043155808,4.63449813147781,4.353,0.897,10.946704618849,0.834,7.73221606144639,0.954,13.1623645103032,0.941,10.9874165638423,0.979,14.6725118396716,0.976,13.2158891696398,"sigmoid",6,200
"sebart",4.87290320017206,5.54686368728973,4.61135560866042,4.424,0.86,9.89870847318048,0.844,7.19039596413355,0.915,11.9406167218759,0.926,9.9671460869518,0.942,13.4110176874179,0.953,11.9851365023228,"sigmoid",7,200
"sebart",4.71502710935881,5.39020672004824,4.42543216105929,4.341,0.856,9.67671151346961,0.879,6.6779545089417,0.917,11.9117428671322,0.942,9.74220365094844,0.952,13.5366867116735,0.974,11.9759606024841,"sigmoid",8,200
"sebart",4.50158676672053,4.83075442990502,4.08405599239658,4.311,0.891,9.34440176446395,0.873,6.52706324317971,0.928,11.4535472591249,0.943,9.41928289423395,0.945,12.9340762088245,0.958,11.5069889632549,"sigmoid",9,200
"sebart",4.9852308977242,5.85487001371563,4.62970426692094,4.438,0.824,9.2383759210419,0.78,6.49102863874408,0.907,11.2775169554342,0.894,9.30949738880264,0.937,12.8067296017576,0.944,11.3416002359149,"sigmoid",10,200
