"Scenario","Iteration","N_train","adjustment","y","truth","mean","lower","upper"
"sigmoid",1,200,"raw",1.49177511653206e-08,-42.0328925050484,-2.44875280548047,-2.87097843339822,-2.153183724572
"sigmoid",1,200,"raw",1.33117005363889e-05,-28.4451975557425,-2.28712975968383,-2.59319437761771,-2.04013374227468
"sigmoid",1,200,"raw",1.75811247959277e-05,-27.888832161371,-2.19111669274047,-2.43746633693702,-1.92289309674812
"sigmoid",1,200,"raw",0.000217021396009523,-22.862472065175,-2.11139994189268,-2.3300105387237,-1.81714628902149
"sigmoid",1,200,"raw",0.000350478634175201,-21.9038511218941,-2.04163563773982,-2.2898768371887,-1.74076293341446
"sigmoid",1,200,"raw",0.000405638966200373,-21.6115180623761,-1.96610966097022,-2.22510255557269,-1.64381324901907
"sigmoid",1,200,"raw",0.0012948148072197,-19.2901102615656,-1.89858667324317,-2.18193053276773,-1.55565138776493
"sigmoid",1,200,"raw",0.00510370098880821,-16.546532748585,-1.8311066933706,-2.13689765114111,-1.4782751982699
"sigmoid",1,200,"raw",0.0101060263989847,-15.1797004088662,-1.76164313349584,-2.08740809017748,-1.40613006034202
"sigmoid",1,200,"raw",0.0101855920195199,-15.1640079372181,-1.69841006506301,-2.03330936168028,-1.35399659918902
"sigmoid",1,200,"raw",0.0319210884448576,-12.8772467038244,-1.63164855620346,-1.9746513156997,-1.2653783692706
"sigmoid",1,200,"raw",0.0643959708366929,-11.4704229855679,-1.57036208779843,-1.92437661784096,-1.20848250921063
"sigmoid",1,200,"raw",0.0695176915254361,-11.3168486770761,-1.50930367155069,-1.8647334988768,-1.14655206381093
"sigmoid",1,200,"raw",0.113550331857435,-10.3310953329354,-1.44935081970277,-1.8192658474838,-1.07622403413911
"sigmoid",1,200,"raw",0.247409590237202,-8.75998939682812,-1.39150657509803,-1.75649159544157,-1.0188275292065
"sigmoid",1,200,"raw",0.275686651673323,-8.54068486628197,-1.33356175853937,-1.694017643472,-0.96395674649756
"sigmoid",1,200,"raw",0.282482659763339,-8.49129111474345,-1.27826802340809,-1.63844505033837,-0.906334039412467
"sigmoid",1,200,"raw",0.28412902916675,-8.47950152075559,-1.22127157126262,-1.5800166733814,-0.84670616591694
"sigmoid",1,200,"raw",0.340728334896777,-8.11043771712816,-1.1674851853504,-1.53633085301235,-0.799713716347308
"sigmoid",1,200,"raw",0.379402723910713,-7.89147387573014,-1.115756379888,-1.48343226051788,-0.743230473705199
"sigmoid",1,200,"raw",0.476574058542848,-7.42549444185966,-1.0633988128173,-1.42941649659003,-0.704888666528173
"sigmoid",1,200,"raw",0.701604893124597,-6.62881360216138,-1.0156454829497,-1.37922245885791,-0.654078163348209
"sigmoid",1,200,"raw",0.708048312944095,-6.6098618937983,-0.96910503284661,-1.33366742030213,-0.598819180662545
"sigmoid",1,200,"raw",0.929830522206854,-6.04175650068453,-0.920365030030966,-1.29586962537958,-0.554427265426897
"sigmoid",1,200,"raw",0.978248002268079,-5.93515045272568,-0.874239091144867,-1.24292739027303,-0.493561074248698
"sigmoid",1,200,"raw",1.00065252595305,-5.88750464390984,-0.829131194819861,-1.20005495209086,-0.451900477622218
"sigmoid",1,200,"raw",1.10720312409533,-5.67388720849924,-0.782110824995993,-1.14764857970248,-0.396865595181229
"sigmoid",1,200,"raw",1.18716694308026,-5.52593899554372,-0.740599176539048,-1.11002159672756,-0.370182383965641
"sigmoid",1,200,"raw",1.3514312699726,-5.2492103372633,-0.697575341004295,-1.07310885913663,-0.331848843512326
"sigmoid",1,200,"raw",1.92794519175443,-4.47582408732306,-0.655442487884702,-1.0292655205082,-0.283540878198704
"sigmoid",1,200,"raw",2.0370422557623,-4.35362570652321,-0.614544344319056,-0.983698140816589,-0.256119936662325
"sigmoid",1,200,"raw",2.64780811886403,-3.75997331767122,-0.575185785697407,-0.935175313555605,-0.219598473612667
"sigmoid",1,200,"raw",3.39951445521264,-3.17159866097387,-0.538730108217106,-0.89653326918745,-0.180753803512805
"sigmoid",1,200,"raw",3.46807780484492,-3.12338539315529,-0.498057060999302,-0.842045171240379,-0.144412204461961
"sigmoid",1,200,"raw",3.91064691520248,-2.82890988476941,-0.458780018924795,-0.810245531566208,-0.104857497927108
"sigmoid",1,200,"raw",4.18413868386812,-2.6594248895923,-0.424767359931762,-0.764016354149889,-0.0845000874899557
"sigmoid",1,200,"raw",4.1927001535401,-2.65425378900664,-0.391213442642365,-0.729907978571782,-0.055979058762724
"sigmoid",1,200,"raw",5.24305686228631,-2.06961798865705,-0.357908558072444,-0.6930315591351,-0.0233026126821157
"sigmoid",1,200,"raw",5.61041219921493,-1.88376136603999,-0.325265947108759,-0.646844798730072,0.0155365755061802
"sigmoid",1,200,"raw",6.25179165858478,-1.57608085027748,-0.293225918851267,-0.613534158786169,0.0321749558765012
"sigmoid",1,200,"raw",6.6324759163895,-1.40170002724247,-0.262845309753297,-0.568301624512259,0.0727042074477103
"sigmoid",1,200,"raw",7.24730534041693,-1.13022574506015,-0.234021694453386,-0.545619421707878,0.101604209902749
"sigmoid",1,200,"raw",7.25909196434218,-1.12512634951261,-0.205913879128574,-0.510820643922084,0.121730267534809
"sigmoid",1,200,"raw",9.68937404510288,-0.124290367546874,-0.176916433804273,-0.483279639713325,0.154890755502189
"sigmoid",1,200,"raw",9.77474495215756,-0.0901172629838218,-0.149441041853886,-0.445870830724304,0.179599302847855
"sigmoid",1,200,"raw",10.3465943209671,0.138693282503234,-0.122870335717394,-0.413634119027153,0.214364041269671
"sigmoid",1,200,"raw",12.2220782957405,0.903909686417025,-0.0952144728733436,-0.379446636620732,0.233869274699099
