"Scenario","Iteration","N_train","ISE_raw_mean","ISE_raw_expected","ISE_adjusted_mean","ISE_adjusted_expected","Mu_mean","Sigma_mean"
"sigmoid",1,200,Inf,Inf,Inf,Inf,0.477021693032215,0.378401391813022
"sigmoid",2,200,Inf,Inf,Inf,Inf,0.54719843929087,0.385990853979354
"sigmoid",3,200,Inf,Inf,Inf,Inf,0.452168360503407,0.356944969660656
"sigmoid",4,200,Inf,Inf,Inf,Inf,0.285737327743813,0.340431262296108
"sigmoid",5,200,Inf,Inf,Inf,Inf,0.480020357814429,0.384570774734342
"sigmoid",6,200,Inf,Inf,Inf,Inf,0.455045859106201,0.370410949813723
"sigmoid",7,200,Inf,Inf,Inf,Inf,0.481681448259859,0.3665087356028
"sigmoid",8,200,Inf,Inf,Inf,Inf,0.537875869014051,0.422245044824254
"sigmoid",9,200,Inf,Inf,Inf,Inf,0.371059166330107,0.39780961004675
"sigmoid",10,200,Inf,Inf,Inf,Inf,0.58189593814806,0.374419058689148
"sigmoid",11,200,Inf,Inf,Inf,Inf,0.57111460747047,0.436218572490544
"sigmoid",12,200,Inf,Inf,Inf,Inf,0.498844963161536,0.351985283875357
"sigmoid",13,200,Inf,Inf,Inf,Inf,0.417831061416898,0.403391661692535
"sigmoid",14,200,Inf,Inf,Inf,Inf,0.531896131529485,0.413052956027653
"sigmoid",15,200,Inf,Inf,Inf,Inf,0.481003585802333,0.404935302516971
"sigmoid",16,200,Inf,Inf,Inf,Inf,0.374164980308562,0.356032268721376
"sigmoid",17,200,Inf,Inf,Inf,Inf,0.383402398721316,0.396312334734233
"sigmoid",18,200,Inf,Inf,Inf,Inf,0.596125720114598,0.380065801587771
"sigmoid",19,200,Inf,Inf,Inf,Inf,0.409642167442806,0.285768415680707
"sigmoid",20,200,Inf,Inf,Inf,Inf,0.533325993460753,0.395214510913892
"sigmoid",21,200,Inf,Inf,Inf,Inf,0.37183885180409,0.409808121434677
"sigmoid",22,200,Inf,Inf,Inf,Inf,0.502277685864626,0.410604146173156
"sigmoid",23,200,Inf,Inf,Inf,Inf,0.604012654072283,0.345835154145128
"sigmoid",24,200,Inf,Inf,Inf,Inf,0.340846591535234,0.38298427991012
"sigmoid",25,200,Inf,Inf,Inf,Inf,0.70882756906125,0.443697850310927
"sigmoid",26,200,Inf,Inf,Inf,Inf,0.385959797694442,0.324152041118199
