"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"sebart",4.84801387261465,5.13083164371108,4.2917865699556,4.38800000000083,0.857,9.39071050406008,0.853,6.69533177137793,0.925,11.4750879456782,0.93,9.46661034977593,0.969,12.9527711845527,0.96,11.5236659272921,"sigmoid",1,200
"bart",5.77065174463636,5.49176359971657,5.1545099789901,1.14700000000084,0.356,4.92040770905884,0.356,4.87069678633046,0.456,6.30604771948836,0.453,6.25199155866542,0.534,7.51289048844028,0.526,7.4529964948983,"sigmoid",1,200
"bart_bc",10.1299460068182,7.43237964845671,6.43014481876024,2.37200000000121,0.82,37.089390434544,0.82,28.152062870178,0.876,51.4656845813893,0.939,40.4866173215373,0.911,66.3612107412595,0.975,53.8549142186649,"sigmoid",1,200
"sblm",6.573410993357,3.96407370522268,3.69623377024,2.1780000000017,0.885,13.3954688152516,0.804,8.55923843806649,0.942,16.421829947698,0.926,13.4453920809267,0.968,18.121904588678,0.96,16.4852996635086,"sigmoid",1,200
"sebart",6.12869240066873,5.92903932632157,4.24425126655428,4.35299999999916,0.897,11.9984429226562,0.853,8.68799313744377,0.944,14.070337572096,0.953,12.0380770185746,0.961,15.4283935731897,0.976,14.1182738072937,"sigmoid",2,200
"bart",5.51976897926831,5.97319743151246,5.54610708543683,1.14799999999923,0.297,5.24451644485639,0.302,5.19080844533855,0.397,6.73565949850328,0.388,6.67545199449105,0.459,8.02223625462797,0.465,7.95441224248938,"sigmoid",2,200
"bart_bc",13.6114176435219,8.53337058082018,7.44453269694974,2.3809999999994,0.86,43.4417816741146,0.781,29.7859519529814,0.924,63.0200035331973,0.937,45.9658636648412,0.952,84.755914205077,0.981,64.8768206335508,"sigmoid",2,200
"sblm",6.14045985374878,4.48728022578898,3.82742678761079,2.18299999999908,0.85,11.4262013261524,0.77,7.62199716342245,0.916,14.4435846264147,0.902,11.4676646377323,0.941,16.4140199137106,0.939,14.5084631537455,"sigmoid",2,200
"sebart",5.80595807126792,5.68677261942044,4.22717166297342,4.35599999999977,0.856,10.8356484398334,0.845,7.76067231569108,0.932,13.0907962449469,0.925,10.9005525846311,0.972,14.5655542656094,0.969,13.1511440701437,"sigmoid",3,200
"bart",5.63211791299109,5.8036447811661,5.44197126349226,1.13800000000083,0.302,5.09946901365311,0.296,5.04593076467455,0.391,6.54837858927881,0.389,6.48688051759953,0.466,7.79413765518335,0.468,7.73129306571306,"sigmoid",3,200
"bart_bc",11.8093626202934,8.03043823037651,6.87320792425216,2.35899999999856,0.835,39.3313271317335,0.805,28.896407550206,0.905,55.4638209424927,0.932,42.429932326048,0.944,72.7182569823857,0.978,57.6754066529193,"sigmoid",3,200
"sblm",6.86780284141768,4.63779618640063,3.89077218343707,2.19700000000012,0.841,11.5206079310396,0.731,7.82760955937018,0.91,14.1724250127179,0.885,11.5562040972968,0.945,15.9003910133789,0.936,14.2359905104062,"sigmoid",3,200
"sebart",5.14633506275522,5.50655413659336,4.49466853702955,4.33699999999953,0.889,10.664758296448,0.847,7.59662702340303,0.939,12.7297687577253,0.939,10.7112943003927,0.97,14.1242211178979,0.965,12.7733262403192,"sigmoid",4,200
"bart",5.78737703602437,5.59558485500181,5.26029672716707,1.125,0.349,5.27516779992913,0.347,5.22147204958551,0.441,6.7713987901993,0.442,6.71070596491649,0.518,8.06349946369584,0.515,7.99180203664064,"sigmoid",4,200
"bart_bc",12.2418402541871,7.77193546928571,6.8751674390744,2.26800000000003,0.878,47.498076681747,0.897,32.279552356495,0.918,69.2630017070023,0.978,50.0281536473244,0.942,93.4534084746461,0.995,71.1095614593829,"sigmoid",4,200
"sblm",6.79555213263327,4.6168722206122,4.06424469979709,2.10399999999936,0.886,11.9034800790068,0.778,8.05008167265972,0.941,14.6133527613499,0.911,11.9411941121431,0.954,16.5272675389975,0.948,14.6814710261167,"sigmoid",4,200
"sebart",4.75096947283043,5.08390919907772,4.09285779674203,4.22199999999975,0.89,9.93614456900619,0.877,6.97608350322284,0.944,12.1366221230888,0.948,9.99556846779394,0.969,13.7392627492728,0.974,12.1944970187898,"sigmoid",5,200
