"Scenario","Iteration","N_train","Latent_Min","Latent_Max"
"sigmoid",1,200,-42.0328925050484,286.456098106301
"sigmoid",2,200,-40.5444280321995,280.926640285414
"sigmoid",3,200,-28.5753085233062,259.337481577151
"sigmoid",4,200,-35.8627017757874,318.3191748239
"sigmoid",5,200,-38.4504288774643,241.948430131247
"sigmoid",6,200,-37.5014020777414,290.887721005851
"sigmoid",7,200,-40.139613466451,337.367996358083
"sigmoid",8,200,-49.9025500249552,269.079761634003
"sigmoid",9,200,-34.5220446930762,232.938288384032
"sigmoid",10,200,-41.459336071004,298.129556040259
"beta",1,200,-37.7510048018816,260.755926955688
"beta",2,200,-31.4416169975368,266.553620707865
"beta",3,200,-36.5262248344667,243.182561573299
"beta",4,200,-38.646985129507,390.366390340316
"beta",5,200,-36.5956525163179,318.12994792656
"beta",6,200,-32.5059756243892,268.778157205213
"beta",7,200,-41.4926109994977,249.787235050681
"beta",8,200,-39.2468613223279,290.442871183023
"beta",9,200,-39.1332279246601,263.546884229976
"beta",10,200,-31.4384630079983,300.492400858365
