"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"sebart",4.9513774898396,5.51040736526423,4.63237873995864,4.246,0.841,10.0203918006471,0.868,7.40540428350682,0.921,12.0286392854676,0.945,10.1072120183036,0.949,13.4762691864824,0.967,12.0869988649187,"sigmoid",1,200
"bart",5.59466602354359,5.78928860615382,5.43595994314295,1.11,0.368,4.95535220905579,0.365,4.90772334710278,0.45,6.37040379402342,0.439,6.31476358687907,0.511,7.58781123802666,0.509,7.52630558736542,"sigmoid",1,200
"bart_bc",8.79158251506786,7.38094285312888,6.63999789966281,2.32,0.832,34.6034193529823,0.832,26.5462640399109,0.895,47.864730377912,0.95,37.9089296062259,0.918,61.4645948611338,0.986,50.1798202575971,"sigmoid",1,200
"sblm",6.8078317387658,4.40051366172126,4.09620331003669,2.202,0.852,12.190853381117,0.766,8.44388871604998,0.943,14.9969686580745,0.896,12.2287656706394,0.971,16.9801478969982,0.953,15.0567002054723,"sigmoid",1,200
"sebart",5.08312007984054,5.21331476586906,4.18595106465523,4.339,0.88,10.0818360162309,0.852,7.15049085465129,0.936,12.1987316522432,0.926,10.1400422678513,0.969,13.7239174272992,0.953,12.2510237091311,"sigmoid",2,200
"bart",5.71203647723918,5.6176157419505,5.18366403696966,1.215,0.351,5.01025863744298,0.346,4.95810538066809,0.434,6.4293037988024,0.423,6.36979336499925,0.509,7.65498949597184,0.506,7.59207987220528,"sigmoid",2,200
"bart_bc",9.80875362453761,7.47459822320769,6.50772745626151,2.438,0.825,36.8644493139097,0.835,27.7888818049582,0.89,51.276367399335,0.936,40.1113049519417,0.921,66.34146659515,0.978,53.5424499363502,"sigmoid",2,200
"sblm",6.58753605457715,4.2289594736419,3.78424983021323,2.507,0.884,12.3761849005843,0.792,8.44661579397306,0.944,15.0558469382467,0.912,12.4252950135086,0.964,16.9079415220564,0.955,15.11420760962,"sigmoid",2,200
"sebart",4.55596425263041,4.67672771848506,3.74323493942692,4.471,0.863,7.6683603892928,0.853,5.14049650089428,0.936,9.9333426950946,0.916,7.74731327867126,0.967,11.6831646522283,0.956,9.99612162682891,"sigmoid",3,200
"bart",5.42373933792123,5.12541576296144,4.41135609426098,1.166,0.45,4.88798360788422,0.438,4.84005921304427,0.553,6.28092961677791,0.552,6.22384279587243,0.623,7.48111448081339,0.611,7.41541094836083,"sigmoid",3,200
