"Scenario","Iteration","N_train","ISE_raw_mean","ISE_raw_expected","Mu_mean","Sigma_mean"
"sigmoid",1,200,Inf,Inf,0.477021693032215,0.378401391813022
"sigmoid",2,200,Inf,Inf,0.54719843929087,0.385990853979354
"sigmoid",3,200,Inf,Inf,0.452168360503407,0.356944969660656
"sigmoid",4,200,Inf,Inf,0.285737327743813,0.340431262296108
"sigmoid",5,200,Inf,Inf,0.480020357814429,0.384570774734342
"sigmoid",6,200,Inf,Inf,0.455045859106201,0.370410949813723
"sigmoid",7,200,Inf,Inf,0.481681448259859,0.3665087356028
"sigmoid",8,200,Inf,Inf,0.537875869014051,0.422245044824254
"sigmoid",9,200,Inf,Inf,0.371059166330107,0.39780961004675
"sigmoid",10,200,Inf,Inf,0.58189593814806,0.374419058689148
"beta",1,200,0.174818344554922,0.192051363129859,0.135399933071802,0.29195246441136
"beta",2,200,0.136752998668299,0.15376134757313,0.0573081292983406,0.272009989746317
"beta",3,200,0.186144369548805,0.204652480038083,0.119073968579239,0.343269414333822
"beta",4,200,0.179329743132162,0.194965536201868,0.0740364702484826,0.255824543824734
"beta",5,200,0.204637429614367,0.21954838454517,0.112516502986854,0.282793906271846
"beta",6,200,0.134891789029233,0.150632404396601,0.000338249967505802,0.32309223111172
"beta",7,200,0.192492839792082,0.20693649496529,0.116901465646215,0.314548742085984
"beta",8,200,0.144811123752083,0.15993781315056,0.0179492310975103,0.25992389861272
"beta",9,200,0.138414444596534,0.154739693801451,0.0364589839610831,0.290411045206061
"beta",10,200,0.240783579605749,0.257839661959208,0.31226684117788,0.315622785122595
