"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"sebart",5.14529827038797,4.2460702686783,3.85790592348618,1.44,0.82,8.50684950334753,0.76,4.91769885429438,0.88,10.7173106357193,0.9,8.54139211406045,0.94,12.9962094649391,0.92,10.7488928739329,"sigmoid",1,50
"bart",6.46400907668775,4.73932669204036,4.63477487664109,0.352,0.34,5.92358849906319,0.34,5.86596875098724,0.54,7.60085507313517,0.54,7.53529046188773,0.66,9.05173130166711,0.66,8.99173318451392,"sigmoid",1,50
"bart_bc",7.42244430820884,6.13712257125876,5.5833839494097,1.006,0.8,34.9861761944368,0.8,25.775606952535,0.86,49.020105401051,0.88,37.7868447518296,0.9,64.7071971841025,0.94,50.9163387915757,"sigmoid",1,50
"sblm",7.15331666840961,3.35613064227088,3.3465295110546,0.499,0.72,14.7271156313312,0.74,8.2495232772795,0.88,18.6568294375786,0.86,14.7915658409156,0.92,19.8223253664097,0.88,18.7074862633577,"sigmoid",1,50
"drbart",6.71706986071541,3.5409020246596,3.49346403556116,59.272,0.84,15.4690559086771,0.8,11.1762016869091,0.84,18.1070354362503,0.84,16.537353863536,0.88,19.5352878022409,0.86,18.6839625161965,"sigmoid",1,50
"sebart",6.12364962532206,4.52233825893935,4.0910306244783,1.298,0.74,10.329841564476,0.74,6.89145476940979,0.88,12.4755470737194,0.82,10.4024532289061,0.96,14.1083552753751,0.9,12.5492534181345,"sigmoid",2,50
"bart",6.49583548718699,5.01406950679306,4.86380275994421,0.343999999999994,0.38,5.8613459195446,0.38,5.79442762103067,0.52,7.5173112332057,0.5,7.45272497598251,0.62,8.92455572272293,0.62,8.86321449630419,"sigmoid",2,50
"bart_bc",13.8641257506356,7.40755075663521,6.64138774393794,0.974999999999994,0.86,43.6979599513166,0.76,29.0441527350307,0.94,65.8430499895723,0.96,46.1297787974263,0.96,94.5530576963307,0.98,67.9655648551914,"sigmoid",2,50
"sblm",7.51024533118672,4.24471690939317,3.96601734133521,0.506,0.84,10.8490756385283,0.58,5.64241702159223,0.96,14.6631442950219,0.88,10.9247999690579,0.98,16.6517978909707,0.96,14.7289500834789,"sigmoid",2,50
"drbart",6.99447391475433,3.79026848424585,3.81207279112444,60.217,0.8,16.8268655515386,0.78,13.8984243487066,0.86,18.8664063379013,0.84,18.0530212049398,0.92,20.1164130802796,0.9,19.5773558072678,"sigmoid",2,50
